HHID,PN,SSUBHH,RSUBHH,SPN_SP,SCSR,SFAMR,SFINR,SJ2JOBNDX,SJ2Z140,SJ2Z142,SJ2Z143,SJ2Z510M,SJ2Z504,SJ2Z139,SJ2Z505,SJ2Z507,SJ2Z200,SJ2Z503,SJ2W401,SJ2W403,SJ2W404M1,SJ2W404M2,SJ2W404M3,SJ2W404M4,SJ2W407,SJ2W408,SJ2W460,SJ2W410,SJ2W411,SJ2W412M,SJ2W405,SJ2W799,SJ2Z508,SJ2W790,SJ2W452,SJ2W419,SJ2W420M1,SJ2W420M2,SJ2W420M3,SJ2W420M4,SJ2W458,SJ2W434,SJ2W435,SJ2W436,SJ2W437,SJ2W439,SJ2W440,SJ2W441,SJ2W443,SJ2W444,SJ2W445,SJ2W446,SJ2W447,SJ2W448,SJ2W449,SJ2W451,SJ2W422,SJ2W424,SJ2352,SJ2850,SJ2338,SJ2945,SJ2W429M1,SJ2W429M2,SJ2W429M3,SJ2W429M4,SJ2W429M5,SJ2W425,SJ2W009,SJ2W455,SJ2W010,SJ2W011,SJ2W012,SJ2W002,SJ2W003,SJ2W004,SJ2W005,SJ2801,SJ2W431,SJ2W432,SJ2W433,SJ2881,SJ2404,SJ2405,SJ2809,SJ2810,SJ2811,SJ2406,SJ2407,SJ2408,SJ2409,SJ2878,SJ2396,SJ2397,SJ2806,SJ2807,SJ2808,SJ2398,SJ2399,SJ2400,SJ2401,SJ2938,SJ2812,SJ2813,SJ2814,SJ2815,SJ2417,SJ2939,SJ2660,SJ2661,SJ2662,SJ2664,SJ2816,SJ2817,SJ2818,SJ2819,SJ2988,SJ2W426,SJ2W013,SJ2W108,SJ2W014,SJ2W086,SJ2W015,SJ2W016,SJ2W028,SJ2W049,SJ2W051,SJ2W052,SJ2W053,SJ2W054,SJ2W065,SJ2W427M1,SJ2W427M2,SJ2W427M3,SJ2W427M4,SJ2W063,SJ2W453M1,SJ2W453M2,SJ2W453M3,SJ2W453M4,SJ2W453M5,SJ2W453M6,SJ2W099,SJ2W018,SJ2W100,SJ2W019,SJ2W428,SJ2353,SJ2903,SJ2354,SJ2W457,SJ2926,SJ2927,SJ2928,SJ2929,SJ2931M1,SJ2931M2,SJ2931M3,SJ2363,SJ2364,SJ2365,SJ2366,SJ2932,SJ2933,SJ2934,SJ2935,SJ2947,SJ2356,SJ2789,SJ2790,SJ2791,SJ2357,SJ2358,SJ2359,SJ2360,SJ2W089,SJ2W091,SJ2W092,SJ2W093,SJ2W094,SJ2W459,SWEBNONRSP,SJ2MODE,SVDATE,SVERSION
010038,040,0,0,010,5,1,5,2,,1989,1996,2,303,2,102,6,2012,2,,1,,,,,6,303,,1989,1996,2,97,2,97,2,5,1,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,1,99999998,,100001,99999996,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,0,99999996,98,9,,,,,,,,,,9,9,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,1,1,1
010038,040,0,0,010,5,1,5,1,2,1996,2014,2,302,1,101,3,2010,2,,1,,,,,3,302,,1996,2014,2,1,1,1,2,5,1,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,1,1,1
010059,030,0,0,020,5,5,1,3,2,2004,,2,303,1,101,1,2010,2,,1,,,,,1,303,,2004,,2,3,1,3,2,5,1,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,1,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,5,,,,,,,,,,8,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,2,2,1
010059,030,0,0,020,5,5,1,10,,2004,,2,,,,,,,5,,,,,,,302,,2004,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1
010059,030,0,0,020,5,5,1,1,1,,2004,,301,2,102,95,2018,2,,5,97,,,,95,301,,,2004,,1,2,1,2,5,1,,,,,,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,,,,,,,,,,,,1,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,5,,,,,5,,,,,8,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,2,2,1
010325,020,0,0,,1,1,1,1,1,,,,301,1,101,2,2012,2,,1,,,,,2,301,,,,,97,1,97,2,5,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,34,,,,,,,,,1,99999998,,0,99999996,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,0,99999996,98,5,,,,,,,,,,8,1,,,62,,295,4,5,1,,,,,5,5,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,1,6,1
010451,010,0,0,020,5,1,1,1,,,2006,,301,2,102,1,2012,2,,1,,,,,1,301,,,2006,,2,2,2,2,5,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,1,60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,1,1,5,,,,,,,,1,1,,,71,,500,4,1,1,,,,1,1,5,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,2,1,1
010451,010,0,0,020,5,1,1,1,2,,2006,,301,1,101,3,2006,2,,1,,,,,3,301,,,2006,,2,1,2,2,5,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,1,99999998,,100000,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,0,99999996,98,5,,,,,,,,,,8,1,,,68,,3300,4,1,1,,,,2,5,5,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,2,1,1
010451,020,0,0,010,1,5,5,1,,1973,2002,2,301,1,101,3,2012,2,,1,,,,,3,301,,1973,2002,2,2,1,2,2,5,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,1,99999998,,10001,49999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,3,5,,,,,,,,5,1,,,62,,2800,4,1,1,,,,3,5,5,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,2,1,1
010481,020,0,0,,1,5,5,3,,,,,303,1,101,2,2014,2,,1,,,,,2,303,,,,,2,1,2,2,5,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,1,99999998,,0,99999,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,8,,,,,,,,,,8,1,,,65,,5000,6,8,1,,,,8,8,5,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,2,1,1
