HHID,PN,SSUBHH,RSUBHH,SPN_SP,SCSR,SFAMR,SFINR,SJ3731,SJ3732,SJ3564,SJ3565,SJ3566M1,SJ3566M2,SJ3566M3,SJ3566M4,SJ3566M5,SJ3566M6,SJ3568,SJ3569,SJ3570,SJ3571,SJ3572,SJ3573,SJ3574,SJ3575,SJ3576,SJ3577,SJ3959,SJ3960,SJ3700,SJ3578,SJ3579,SJ3580,SJ3581,SJ3709,SJ3707,SJ3583,SJ3584,SJ3708,SJ3585,SJ3586,SJ3702,SJ3588_1,SJ3588_2,SJ3588_3,SJ3588_4,SJ3589,SJ3590_1,SJ3591_1,SJ3590_2,SJ3591_2,SJ3590_3,SJ3591_3,SJ3592,SJ3593_1,SJ3594_1,SJ3593_2,SJ3594_2,SJ3593_3,SJ3594_3,SJ3613,SJ3614,SJ3615,SJ3616_1,SJ3617_1,SJ3619_1,SJ3621_1M1,SJ3621_1M2,SJ3621_1M3,SJ3621_1M4,SJ3623_1,SJ3624_1,SJ3625_1,SJ3626_1,SJ3627_1,SJ3628_1,SJ3629_1,SJ3630_1,SJ3631_1,SJ3633_1,SJ3636_1,SJ3637_1,SJ3639_1,SJ3642_1,SJ3643_1,SJ3644_1,SJ3645_1,SJ3646_1,SJ3616_2,SJ3617_2,SJ3619_2,SJ3621_2M1,SJ3621_2M2,SJ3621_2M3,SJ3623_2,SJ3624_2,SJ3625_2,SJ3626_2,SJ3627_2,SJ3628_2,SJ3629_2,SJ3630_2,SJ3631_2,SJ3633_2,SJ3636_2,SJ3637_2,SJ3639_2,SJ3642_2,SJ3643_2,SJ3644_2,SJ3645_2,SJ3646_2,SJL3040,SJL3041,SJL3042,SJL3043_1,SJL3045_1M1,SJL3045_1M2,SJL3045_1M3,SJL3045_1M4,SJL3045_1M5,SJL3045_1M6,SJL3047_1,SJL3048_1,SJL3049_1,SJL3051_1,SJL3052_1,SJL3053_1,SJL3054_1,SJL3055_1,SJL3056_1,SJL3057_1,SJL3058_1,SJL3059_1,SJL3060_1,SJL3061_1,SJL3062_1,SJL3063_1,SJL3043_2,SJL3045_2M1,SJL3045_2M2,SJL3045_2M3,SJL3047_2,SJL3048_2,SJL3049_2,SJL3051_2,SJL3052_2,SJL3053_2,SJL3054_2,SJL3055_2,SJL3056_2,SJL3057_2,SJL3058_2,SJL3059_2,SJL3060_2,SJL3061_2,SJL3062_2,SJL3063_2,SJL3110,SJL3111,SJ3478,SJ3479,SJ3719,SJ3480,SJ3910,SJ3481,SJ3485,SJ3482,SJ3483,SJ3484,SJ3487,SJ3491,SJ3488,SJ3489,SJ3490,SJ3493,SJ3497,SJ3494,SJ3495,SJ3496,SJ3ASSIST,SWEBNONRSP,SJ3MODE,SVDATE,SVERSION
010001,010,0,0,,1,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,2,5,1
010003,030,0,0,,1,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,1,,7,1992,4,0,8,1,0,1,1,0,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,2,1,1
010004,040,1,1,,1,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,6,1
010013,040,1,1,,1,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,1,1,,,4,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,3,1
010038,010,0,0,040,1,5,1,0,3,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,2,1,1
010038,040,0,0,010,5,1,5,0,3,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,1,1
010059,020,0,0,030,1,1,5,0,3,,,,,,,,,,,,,,,,,,,,,,1,,1,2022,4,2,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,2,2,1
010059,030,0,0,020,5,5,1,0,3,65,,2,,,,,,,,,,,,,,,,95,,0,3,,98,9998,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,2,2,1
010075,020,0,0,,1,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,1,1,,,3,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,4,,2,6,1
010106,020,0,0,,1,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,1,1,,,4,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,2,2,1
