hhid,intmonth,hurespli_t,hrhtype_t,minsamp_x,hrlonglk_t,hrsample_t,hrhhid2_t,serial_t,hhnum,state,stfips_t,cbsafips_t,county_t,centcity_t,smsastat_t,icntcity_t,smsa04_t,relref95_t,age_t,spouse_t,sex_t,grade92_t,race_t,ethnic_t,lineno,famnum_t,pfamrel_t,marital_t,prpertyp_t,penatvty_t,pemntvty_t,pefntvty_t,prcitshp_t,prcitflg_t,peinusyr_t,selfproxy_t,lfsr94_t,absent94_t,uhourse_t,reason94_t,hourslw_t,laydur_t,dwrsn_t,why3594_t,prunedur_t,untype_t,ftpt94_t,class94_t,agri_t,eligible_t,otc_t,ernpdh2_t,paidhre_t,earnhre_t,earnwke_t,unionmme_t,unioncov_t,schenr_t,studftpt_t,schlvl_t,earnwt_t,weight_t,chldpres_t,ownchild_t,i25d_t,i25c_t,i25a_t,i25b_t,qstnum_t,occurnum_t,ged_t,gedhigr_t,yrcoll_t,grprof_t,gr6cor_t,ms123_t,cmpwgt_t,ind02_t,occ2011_t,occ002_t,vet1_t,vet2_t,vet3_t,vet4_t,linedad_t,linemom_t,recnum_t,year_t,ym_file_t,ym_t,ch02_t,ch35_t,ch613_t,ch1417_t,ch05_t,ihigrdc_t,race21_t,race26_t,occ2012_t,docc00_t,dind02_t,year_file_x,hurespli_t1,hrhtype_t1,minsamp_y,hrlonglk_t1,hrsample_t1,hrhhid2_t1,serial_t1,stfips_t1,cbsafips_t1,county_t1,centcity_t1,smsastat_t1,icntcity_t1,smsa04_t1,relref95_t1,age_t1,spouse_t1,sex_t1,grade92_t1,race_t1,ethnic_t1,famnum_t1,pfamrel_t1,marital_t1,prpertyp_t1,penatvty_t1,pemntvty_t1,pefntvty_t1,prcitshp_t1,prcitflg_t1,peinusyr_t1,selfproxy_t1,lfsr94_t1,absent94_t1,uhourse_t1,reason94_t1,hourslw_t1,laydur_t1,dwrsn_t1,why3594_t1,prunedur_t1,untype_t1,ftpt94_t1,class94_t1,agri_t1,eligible_t1,otc_t1,ernpdh2_t1,paidhre_t1,earnhre_t1,earnwke_t1,unionmme_t1,unioncov_t1,schenr_t1,studftpt_t1,schlvl_t1,earnwt_t1,weight_t1,chldpres_t1,ownchild_t1,i25d_t1,i25c_t1,i25a_t1,i25b_t1,qstnum_t1,occurnum_t1,ged_t1,gedhigr_t1,yrcoll_t1,grprof_t1,gr6cor_t1,ms123_t1,cmpwgt_t1,ind02_t1,occ2012_t1,occ002_t1,vet1_t1,vet2_t1,vet3_t1,vet4_t1,linedad_t1,linemom_t1,recnum_t1,year_t1,ym_file_t1,ym_t1,ch02_t1,ch35_t1,ch613_t1,ch1417_t1,ch05_t1,ihigrdc_t1,docc00_t1,dind02_t1,year_file_y,pair_type,pair,stayed_public,exited_public,switched_class94,analytic_sample
76199139700590,1,1.0,1,4,2,8900,89001,1,1,33,17,16980,0,1.0,1.0,1.0,7,3,41,1.0,2,44,1,,2,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,1.0,1.0,6041.0,1888.0,1.0,,,,,11756.3109,2920.6538,3,1,0.0,0.0,0,0,8670,2,,,,,,2.0,2914.8256,7860.0,2310.0,-1,,,,,,,11054.0,2012,624,621,0,0,1,0,0,18.0,1.0,,,8.0,40.0,2012,1.0,1,8,2,8900,89001,1,17,16980,0,1.0,1.0,1.0,7,3,42,1.0,2,44,1,,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,35.0,,35.0,,,,,,2.0,3.0,0.0,1,2.0,1.0,1.0,6645.0,1650.0,1.0,,2.0,,,10247.4531,2616.5375,3,1,0.0,0.0,0,0,5553,2,,,,,,2.0,2627.8984,7860.0,2310.0,-1,,,,,,,11137.0,2013,636,621,0,0,1,0,0,18.0,8.0,40.0,2013,MIS4_to_MIS8,2012-2013,True,False,False,1
307907191193637,1,1.0,4,4,2,8900,89001,1,1,33,17,16980,0,1.0,1.0,1.0,7,1,39,,2,43,1,,1,1,1,3,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,923.07,1.0,,,,,10480.0134,2599.6422,10,2,0.0,,0,0,21640,1,,,,2.0,,,2598.3842,7860.0,2310.0,-1,,,,,,,11135.0,2012,624,621,0,0,1,1,0,16.0,1.0,,,8.0,40.0,2012,1.0,4,8,2,8900,89001,1,17,16980,0,1.0,1.0,1.0,7,1,40,,2,43,1,,1,1,6,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1282.05,1.0,,2.0,,,10247.4531,2616.5375,3,2,0.0,,0,0,52231,1,,,,2.0,,,2627.8984,7860.0,2320.0,-1,,,,,,,11212.0,2013,636,621,0,0,1,0,0,16.0,8.0,40.0,2013,MIS4_to_MIS8,2012-2013,True,False,False,1
530473095417439,1,1.0,7,4,2,8900,89001,1,1,33,17,16980,0,1.0,1.0,1.0,7,2,26,,2,44,1,,1,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,40.0,12.0,32.0,,,12.0,,,4.0,2.0,0.0,1,2.0,2.0,2.0,,1063.46,2.0,2.0,,,,11118.0363,2785.1558,0,0,0.0,,0,0,44604,1,,,,,,1.0,2787.113,6180.0,2630.0,-1,,,,,,,11190.0,2012,624,621,0,0,0,0,0,17.0,1.0,,,9.0,23.0,2012,1.0,7,8,2,8900,89001,1,17,16980,0,1.0,1.0,1.0,7,2,27,,2,44,1,,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,2.0,0.0,1,2.0,2.0,2.0,,1057.69,2.0,2.0,2.0,,,12292.3652,3009.0822,0,0,0.0,,0,0,52232,1,,,,,,1.0,3049.8999,6180.0,1840.0,-1,,,,,,,11276.0,2013,636,621,0,0,0,0,0,17.0,5.0,23.0,2013,MIS4_to_MIS8,2012-2013,True,False,False,1
707908351699157,1,1.0,1,4,2,8900,89001,1,1,33,17,16980,0,1.0,1.0,1.0,7,3,41,1.0,2,34,1,,2,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,673.0,1.0,,,,,11756.3109,2920.6538,0,0,1.0,,0,42,55128,2,,,,,,,2914.8256,7860.0,2310.0,-1,,,,,,,11220.0,2012,624,621,0,0,0,0,0,7.5,1.0,,,8.0,40.0,2012,1.0,1,8,2,8900,89001,1,17,16980,0,1.0,1.0,1.0,7,3,43,1.0,2,34,1,,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,,1.0,1200.0,480.0,2.0,2.0,2.0,,,10247.4531,2616.5375,0,0,1.0,1.0,0,42,52233,2,,,,,,,2627.8984,8660.0,4230.0,-1,,,,,,,11303.0,2013,636,621,0,0,0,0,0,7.5,14.0,45.0,2013,MIS4_to_MIS8,2012-2013,False,True,True,1
943057986179840,1,1.0,1,4,2,8900,89001,1,1,33,17,16980,0,1.0,1.0,1.0,7,3,50,1.0,1,40,1,1.0,2,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,45.0,5.0,16.0,,,5.0,,,4.0,3.0,0.0,1,1.0,2.0,2.0,,1160.0,2.0,1.0,,,,17028.7872,4330.1925,4,1,1.0,,0,0,51747,2,,,2.0,,,,4326.2799,9380.0,5140.0,-1,,,,,,,11350.0,2012,624,621,0,0,0,1,0,13.0,1.0,,,17.0,51.0,2012,1.0,1,8,2,8900,89001,1,17,16980,0,1.0,1.0,1.0,7,3,51,1.0,1,40,1,1.0,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,1.0,1.0,1.0,1972.0,615.0,1.0,,2.0,,,12657.6711,3150.5043,0,0,1.0,1.0,0,0,35854,2,,,3.0,,,,3166.076,9370.0,5140.0,-1,,,,,,,11435.0,2013,636,621,0,0,0,0,0,14.0,17.0,51.0,2013,MIS4_to_MIS8,2012-2013,True,False,False,1
102007305043771,1,1.0,1,4,2,8900,89001,1,1,33,17,40420,0,2.0,1.0,,3,3,38,1.0,2,43,1,1.0,2,1,2,1,2,303,303,303,5,0,9,2.0,1.0,,65.0,,65.0,,,,,,2.0,2.0,0.0,1,2.0,2.0,2.0,,576.92,1.0,,,,,10308.7089,2584.5508,10,3,0.0,,0,0,34599,2,,,,1.0,1.0,,2555.9114,7860.0,2310.0,-1,,,,,,,11461.0,2012,624,621,0,0,1,1,0,18.0,1.0,,,8.0,40.0,2012,1.0,1,8,2,8900,89001,1,17,40420,0,2.0,1.0,,3,3,39,1.0,2,43,1,1.0,1,2,1,2,303,303,303,5,0,9,2.0,1.0,,65.0,,65.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,692.3,1.0,,2.0,,,10321.2633,2603.1342,10,3,0.0,,0,0,59222,2,,,,1.0,1.0,,2646.8266,7860.0,2310.0,-1,,,,,,,11548.0,2013,636,621,0,0,1,1,0,18.0,8.0,40.0,2013,MIS4_to_MIS8,2012-2013,True,False,True,1
171909007703693,1,1.0,4,4,2,8900,89001,1,1,33,17,16980,0,2.0,1.0,,7,1,60,,2,39,2,,1,1,1,4,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,2.0,0.0,1,2.0,,1.0,1500.0,600.0,1.0,,,,,12721.7417,2732.3331,0,0,1.0,1.0,0,42,51739,1,1.0,,,,,,2706.6556,9470.0,5860.0,-1,,,,,,,11492.0,2012,624,621,0,0,0,0,0,12.0,2.0,,,17.0,51.0,2012,1.0,4,8,2,8900,89001,1,17,16980,0,2.0,1.0,,7,1,61,,2,39,2,,1,1,4,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,2.0,0.0,1,2.0,2.0,2.0,,576.92,2.0,2.0,,,,9918.4575,2354.007,0,0,0.0,,0,0,52224,1,1.0,,,,,,2384.4498,9470.0,5940.0,-1,,,,,,,11582.0,2013,636,621,0,0,0,0,0,12.0,17.0,51.0,2013,MIS4_to_MIS8,2012-2013,True,False,False,1
197867709050761,1,1.0,1,4,2,8900,89001,1,1,33,17,16980,0,2.0,1.0,,7,1,58,2.0,2,44,1,,1,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,46.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1153.84,1.0,,,,,11054.8566,2693.9319,0,0,0.0,,0,0,34731,1,,,,,,2.0,2713.7,7860.0,2310.0,-1,,,,,,,11557.0,2012,624,621,0,0,0,0,0,18.0,1.0,,,8.0,40.0,2012,2.0,1,8,2,8900,89001,1,17,16980,0,2.0,1.0,,7,1,59,2.0,2,44,1,,1,1,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1115.38,1.0,,,,,10801.8208,2692.5126,0,0,0.0,,0,0,9635,1,,,,,,3.0,2706.9783,7860.0,2320.0,-1,,,,,,,11636.0,2013,636,621,0,0,0,0,0,18.0,8.0,40.0,2013,MIS4_to_MIS8,2012-2013,True,False,False,1
197867709050761,1,1.0,1,4,2,8900,89001,1,1,33,17,16980,0,2.0,1.0,,7,3,58,1.0,1,43,1,,2,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,-4.0,,60.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,96.0,2.0,2.0,,,,11562.8966,2793.0843,0,0,1.0,,0,0,34731,2,,,,2.0,,,2828.8937,770.0,6200.0,-1,,,,,,,11558.0,2012,624,621,0,0,0,0,0,16.0,1.0,,,19.0,4.0,2012,2.0,1,8,2,8900,89001,1,17,16980,0,2.0,1.0,,7,3,59,1.0,1,43,1,,1,2,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,2500.0,2.0,2.0,,,,12710.3852,3171.3395,0,0,0.0,,0,0,9635,2,,,,2.0,,,3189.2378,7790.0,20.0,-1,,,,,,,11637.0,2013,636,621,0,0,0,0,0,16.0,1.0,39.0,2013,MIS4_to_MIS8,2012-2013,True,False,False,1
307007051104327,1,1.0,6,4,2,8900,89001,1,1,33,17,40420,0,2.0,1.0,,3,2,27,,1,43,1,,1,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,80.0,,80.0,,,,,,2.0,3.0,0.0,1,2.0,1.0,1.0,1250.0,961.53,1.0,,,,,13141.2106,3314.6433,0,0,0.0,1.0,0,0,4592,1,,,,2.0,,,3298.2127,7860.0,2310.0,-1,,,,,,,11602.0,2012,624,621,0,0,0,0,0,16.0,1.0,,,8.0,40.0,2012,1.0,6,8,2,8900,89001,1,17,40420,0,2.0,1.0,,3,2,28,,1,43,1,,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,75.0,,75.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,865.38,1.0,,2.0,,,11719.8665,2873.6496,0,0,0.0,,0,0,9525,1,,,,2.0,,,2920.922,7860.0,2310.0,-1,,,,,,,11686.0,2013,636,621,0,0,0,0,0,16.0,8.0,40.0,2013,MIS4_to_MIS8,2012-2013,False,True,True,1
