hhid,intmonth,hurespli_t,hrhtype_t,minsamp_x,hrlonglk_t,hrsample_t,hrhhid2_t,serial_t,hhnum,state_t,stfips_t,cbsafips_t,county_t,centcity_t,smsastat_t,icntcity_t,smsa04_t,relref95_t,age_t,spouse_t,sex_t,grade92_t,race_t,ethnic_t,lineno,famnum_t,pfamrel_t,marital_t,prpertyp_t,penatvty_t,pemntvty_t,pefntvty_t,prcitshp_t,prcitflg_t,peinusyr_t,selfproxy_t,lfsr94_t,absent94_t,uhourse_t,reason94_t,hourslw_t,laydur_t,dwrsn_t,why3594_t,prunedur_t,untype_t,ftpt94_t,class94_t,agri_t,eligible_t,otc_t,ernpdh2_t,paidhre_t,earnhre_t,earnwke_t,unionmme_t,unioncov_t,schenr_t,studftpt_t,schlvl_t,earnwt_t,weight_t,chldpres_t,ownchild_t,i25d_t,i25c_t,i25a_t,i25b_t,qstnum_t,occurnum_t,ged_t,gedhigr_t,yrcoll_t,grprof_t,gr6cor_t,ms123_t,cmpwgt_t,ind02_t,occ2012_t,occ002_t,vet1_t,vet2_t,vet3_t,vet4_t,linedad_t,linemom_t,recnum_t,year_t,ym_file_t,ym_t,ch02_t,ch35_t,ch613_t,ch1417_t,ch05_t,ihigrdc_t,docc00_t,dind02_t,year_file_x,hurespli_t1,hrhtype_t1,minsamp_y,hrlonglk_t1,hrsample_t1,hrhhid2_t1,serial_t1,state_t1,stfips_t1,cbsafips_t1,county_t1,centcity_t1,smsastat_t1,icntcity_t1,smsa04_t1,relref95_t1,age_t1,spouse_t1,sex_t1,grade92_t1,race_t1,ethnic_t1,famnum_t1,pfamrel_t1,marital_t1,prpertyp_t1,penatvty_t1,pemntvty_t1,pefntvty_t1,prcitshp_t1,prcitflg_t1,peinusyr_t1,selfproxy_t1,lfsr94_t1,absent94_t1,uhourse_t1,reason94_t1,hourslw_t1,laydur_t1,dwrsn_t1,why3594_t1,prunedur_t1,untype_t1,ftpt94_t1,class94_t1,agri_t1,eligible_t1,otc_t1,ernpdh2_t1,paidhre_t1,earnhre_t1,earnwke_t1,unionmme_t1,unioncov_t1,schenr_t1,studftpt_t1,schlvl_t1,earnwt_t1,weight_t1,chldpres_t1,ownchild_t1,i25d_t1,i25c_t1,i25a_t1,i25b_t1,qstnum_t1,occurnum_t1,ged_t1,gedhigr_t1,yrcoll_t1,grprof_t1,gr6cor_t1,ms123_t1,cmpwgt_t1,ind02_t1,occ2012_t1,occ002_t1,vet1_t1,vet2_t1,vet3_t1,vet4_t1,linedad_t1,linemom_t1,recnum_t1,year_t1,ym_file_t1,ym_t1,ch02_t1,ch35_t1,ch613_t1,ch1417_t1,ch05_t1,ihigrdc_t1,docc00_t1,dind02_t1,year_file_y,pair_type,pair,stayed_public,moved_private,moved_self_employed,not_employed_t1,retired_t1,exited_public,switched_class94,analytic_sample
310709738845664,1,1.0,4,4,2,9100,91001,1,1,33,17,16980,0,1.0,1.0,,7,4,54,,1,40,1,,2,1,3,7,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,865.0,2.0,2.0,2.0,,,11741.0313,2926.2626,0,0,1.0,,0,0,35786,2,,,3.0,,,,2936.796,670.0,5110.0,-1,,,,,1.0,,11225.0,2013,636,633,0,0,0,0,0,14.0,17.0,24.0,2013,1.0,4,8,2,9100,91001,1,33.0,17,16980,0,1.0,1.0,,7,4,55,,1,40,1,,1,3,7,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,807.0,2.0,2.0,,,,15074.8373,3667.8561,0,0,1.0,,0,0,21060,2,,,2.0,,,,3693.6389,670.0,5110.0,-1,,,,,1.0,,10965.0,2014,648,633,0,0,0,0,0,13.0,17.0,24.0,2014,MIS4_to_MIS8,2013-2014,True,False,False,False,False,False,False,1
310709938845684,1,1.0,1,4,2,9100,91001,1,1,33,17,16980,0,1.0,1.0,1.0,7,1,58,2.0,1,40,1,,1,1,1,1,2,57,57,57,1,0,0,1.0,2.0,5.0,43.0,,,,,,,,5.0,3.0,0.0,1,1.0,2.0,2.0,,450.0,1.0,,,,,13307.5258,3320.3307,0,0,1.0,,0,0,35797,1,,,3.0,,,,3339.0699,9470.0,3740.0,-1,4.0,,,,,,11228.0,2013,636,633,0,0,0,0,0,14.0,12.0,51.0,2013,1.0,1,8,2,9100,91001,1,33.0,17,16980,0,1.0,1.0,1.0,7,1,59,2.0,1,40,1,,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,44.0,,44.0,,,,,,2.0,3.0,0.0,1,1.0,1.0,1.0,2263.0,553.0,1.0,,,,,15074.8373,3667.8561,0,0,1.0,1.0,0,0,50257,1,,,3.0,,,,3693.6389,9470.0,3740.0,-1,4.0,,,,,,10968.0,2014,648,633,0,0,0,0,0,14.0,12.0,51.0,2014,MIS4_to_MIS8,2013-2014,True,False,False,False,False,False,False,1
533195339700344,1,1.0,6,4,2,9100,91001,1,1,33,17,16980,0,1.0,1.0,1.0,7,2,44,,1,43,2,,1,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,1.0,1.0,1100.0,1500.0,1.0,,2.0,,,12211.2694,3324.8449,0,0,1.0,1.0,0,0,22990,1,,,,2.0,,,3354.0348,9470.0,3850.0,-1,,,,,,,11279.0,2013,636,633,0,0,0,0,0,16.0,12.0,51.0,2013,1.0,6,8,2,9100,91001,1,33.0,17,16980,0,1.0,1.0,1.0,7,2,45,,1,43,2,,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,2.0,0.0,1,1.0,,1.0,4200.0,1680.0,1.0,,2.0,,,12246.7277,3183.6824,0,0,1.0,1.0,0,42,33063,1,,,,2.0,,,3199.5121,9470.0,3850.0,-1,,,,,,,11024.0,2014,648,633,0,0,0,0,0,16.0,12.0,51.0,2014,MIS4_to_MIS8,2013-2014,True,False,False,False,False,False,True,1
571486033908498,1,1.0,1,4,2,9100,91001,1,1,33,17,16980,0,1.0,1.0,1.0,7,1,59,2.0,1,44,1,,1,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,60.0,,60.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,2884.61,2.0,2.0,,,,13307.5258,3320.3307,4,1,0.0,,0,0,45447,1,,,,,,2.0,3339.0699,9470.0,3720.0,-1,,,,,,,11285.0,2013,636,633,0,0,0,1,0,18.0,12.0,51.0,2013,1.0,1,8,2,9100,91001,1,33.0,17,16980,0,1.0,1.0,1.0,7,1,60,2.0,1,44,1,,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,60.0,,60.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,2884.61,2.0,2.0,,,,12561.114,3299.6186,4,1,0.0,,0,0,50258,1,,,,,,2.0,3257.6661,9470.0,3720.0,3110,,,,,,,11031.0,2014,648,633,0,0,0,1,0,18.0,12.0,51.0,2014,MIS4_to_MIS8,2013-2014,True,False,False,False,False,False,False,1
747838830459106,1,1.0,1,4,2,9100,91001,1,1,33,17,16980,0,1.0,1.0,1.0,7,1,55,2.0,1,44,2,,1,1,1,1,2,440,440,440,4,0,6,1.0,1.0,,40.0,,40.0,,,,,,2.0,1.0,0.0,1,2.0,1.0,1.0,1900.0,576.0,1.0,,,,,12721.4607,2736.962,4,1,1.0,1.0,0,0,22983,1,,,,,,2.0,2718.8458,9480.0,3320.0,-1,3.0,,,,,,11337.0,2013,636,633,0,0,0,1,0,18.0,10.0,51.0,2013,1.0,1,8,2,9100,91001,1,33.0,17,16980,0,1.0,1.0,1.0,7,1,56,2.0,1,44,2,,1,1,1,2,440,440,440,4,0,6,1.0,1.0,,40.0,,40.0,,,,,,2.0,2.0,0.0,1,2.0,1.0,1.0,7500.0,1596.0,1.0,,,,,12910.5826,3350.7802,4,1,1.0,1.0,0,0,21070,1,,,,,,2.0,3367.4407,8190.0,3320.0,-1,3.0,,,,,,11086.0,2014,648,633,0,0,0,1,0,18.0,10.0,41.0,2014,MIS4_to_MIS8,2013-2014,True,False,False,False,False,False,True,1
749030996100931,1,2.0,1,4,2,9100,91001,1,1,33,17,16980,0,1.0,1.0,1.0,7,1,46,2.0,1,46,1,,1,1,1,1,2,110,110,110,4,0,14,2.0,1.0,,50.0,,52.0,,,,,,2.0,1.0,0.0,1,2.0,2.0,2.0,,276.92,2.0,2.0,2.0,,,12725.057,3181.0348,6,2,0.0,,0,0,22991,1,,,,,,,3182.9313,7460.0,1720.0,-1,,,,,,,11340.0,2013,636,633,1,0,1,0,1,18.0,5.0,36.0,2013,2.0,1,8,2,9100,91001,1,33.0,17,16980,0,1.0,1.0,1.0,7,1,47,2.0,1,46,1,,1,1,1,2,110,110,110,4,0,14,2.0,1.0,,50.0,,50.0,,,,,,2.0,5.0,0.0,1,2.0,2.0,2.0,,2076.92,2.0,1.0,2.0,,,14365.6085,3496.1389,6,2,0.0,,0,0,21076,1,,,,,,,3498.2413,7460.0,1760.0,2830,,,,,,,11089.0,2014,648,633,1,0,1,0,1,18.0,5.0,36.0,2014,MIS4_to_MIS8,2013-2014,False,True,False,False,False,True,True,1
777249330349107,1,1.0,1,4,2,9100,91001,1,1,33,17,16980,0,1.0,1.0,1.0,7,1,62,2.0,2,42,1,,1,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,1.0,2.0,2.0,,1200.0,1.0,,,,,13044.0568,2868.7262,5,2,1.0,,0,42,22994,1,,,3.0,,,,2879.4046,9470.0,3850.0,-1,,,,,,,11349.0,2013,636,633,1,1,0,0,1,14.0,12.0,51.0,2013,1.0,1,8,2,9100,91001,1,33.0,17,16980,0,1.0,1.0,1.0,7,1,63,2.0,2,42,1,,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,,1.0,1355.0,542.0,2.0,2.0,,,,10362.8931,2565.7172,2,2,1.0,1.0,0,42,8134,1,,,3.0,,,,2576.0219,3960.0,5600.0,-1,,,,,,,11098.0,2014,648,633,0,1,0,0,1,14.0,17.0,13.0,2014,MIS4_to_MIS8,2013-2014,False,True,False,False,False,True,True,1
803908351698877,1,2.0,1,4,2,9100,91001,1,1,33,17,16980,0,1.0,1.0,1.0,7,1,63,2.0,2,40,1,,1,1,1,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,1.0,2.0,2.0,,1200.0,1.0,,,,,12985.4566,2855.8384,0,0,0.0,,0,0,22992,1,,,3.0,,,,2866.4689,9470.0,3850.0,-1,,,,,,,11375.0,2013,636,633,0,0,0,0,0,14.0,12.0,51.0,2013,1.0,1,8,2,9100,91001,1,33.0,17,16980,0,1.0,1.0,1.0,7,1,63,2.0,2,40,1,,1,1,1,2,57,57,57,1,0,0,1.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,10166.6545,2565.7172,0,0,,,0,0,21077,1,,,3.0,,,,2554.9879,,,-1,,,,,,,11122.0,2014,648,633,0,0,0,0,0,14.0,,,2014,MIS4_to_MIS8,2013-2014,False,False,False,True,True,True,True,1
967649430409102,1,1.0,1,4,2,9100,91001,1,1,33,17,37900,0,1.0,1.0,,3,1,44,2.0,1,40,1,,1,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,1.0,,1.0,1671.0,718.4,1.0,,2.0,,,10546.1181,2597.6004,1,2,1.0,1.0,0,42,52306,1,,,4.0,,,,2608.5638,9470.0,3850.0,-1,,,,,,,11448.0,2013,636,633,1,0,0,0,1,15.0,12.0,51.0,2013,1.0,1,8,2,9100,91001,1,33.0,17,37900,0,1.0,1.0,,3,1,45,2.0,1,40,1,,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,38.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1938.46,1.0,,2.0,,,15310.0485,3725.986,5,2,0.0,,0,0,33287,1,,,2.0,,,,3728.2266,9470.0,3850.0,4620,,,,,,,11191.0,2014,648,633,1,1,0,0,1,13.0,12.0,51.0,2014,MIS4_to_MIS8,2013-2014,True,False,False,False,False,False,False,1
36199138700390,1,1.0,1,4,2,9100,91001,1,1,33,17,16980,0,2.0,1.0,,7,3,35,1.0,1,39,1,4.0,2,1,2,1,2,462,462,462,4,0,14,2.0,1.0,,25.0,,45.0,,,,,,2.0,3.0,0.0,1,2.0,,1.0,1500.0,375.0,2.0,2.0,2.0,,,10511.3156,2593.6034,8,3,0.0,0.0,0,0,52193,2,1.0,,,,,,2599.9554,7860.0,4220.0,7340,,,,,,,11508.0,2013,636,633,0,1,1,0,1,12.0,14.0,40.0,2013,1.0,1,8,2,9100,91001,1,33.0,17,16980,0,2.0,1.0,,7,3,36,1.0,1,39,1,7.0,1,2,1,2,462,462,462,4,0,14,2.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,,1.0,1700.0,680.0,2.0,2.0,2.0,,,11258.0095,2802.9072,8,3,0.0,0.0,0,0,42866,2,1.0,,,,,,2829.6111,7860.0,4220.0,-1,,,,,,,11253.0,2014,648,633,0,1,1,0,1,12.0,14.0,40.0,2014,MIS4_to_MIS8,2013-2014,True,False,False,False,False,False,False,1
