hhid,intmonth,hurespli_t,hrhtype_t,minsamp_x,hrlonglk_t,hrsample_t,hrhhid2_t,serial_t,hhnum,state_t,stfips_t,cbsafips_t,county_t,centcity_t,smsastat_t,icntcity_t,smsa04_t,relref95_t,age_t,spouse_t,sex_t,grade92_t,race_t,ethnic_t,lineno,famnum_t,pfamrel_t,marital_t,prpertyp_t,penatvty_t,pemntvty_t,pefntvty_t,prcitshp_t,prcitflg_t,peinusyr_t,selfproxy_t,lfsr94_t,absent94_t,uhourse_t,reason94_t,hourslw_t,laydur_t,dwrsn_t,why3594_t,prunedur_t,untype_t,ftpt94_t,class94_t,agri_t,eligible_t,otc_t,ernpdh2_t,paidhre_t,earnhre_t,earnwke_t,unionmme_t,unioncov_t,schenr_t,studftpt_t,schlvl_t,earnwt_t,weight_t,chldpres_t,ownchild_t,i25d_t,i25c_t,i25a_t,i25b_t,qstnum_t,occurnum_t,ged_t,gedhigr_t,yrcoll_t,grprof_t,gr6cor_t,ms123_t,cmpwgt_t,ind02_t,occ00_t,occ002_t,vet1_t,vet2_t,vet3_t,vet4_t,linedad_t,linemom_t,recnum_t,year_t,ym_file_t,ym_t,ch02_t,ch35_t,ch613_t,ch1417_t,ch05_t,ihigrdc_t,docc00_t,dind02_t,year_file_x,hurespli_t1,hrhtype_t1,minsamp_y,hrlonglk_t1,hrsample_t1,hrhhid2_t1,serial_t1,state_t1,stfips_t1,cbsafips_t1,county_t1,centcity_t1,smsastat_t1,icntcity_t1,smsa04_t1,relref95_t1,age_t1,spouse_t1,sex_t1,grade92_t1,race_t1,ethnic_t1,famnum_t1,pfamrel_t1,marital_t1,prpertyp_t1,penatvty_t1,pemntvty_t1,pefntvty_t1,prcitshp_t1,prcitflg_t1,peinusyr_t1,selfproxy_t1,lfsr94_t1,absent94_t1,uhourse_t1,reason94_t1,hourslw_t1,laydur_t1,dwrsn_t1,why3594_t1,prunedur_t1,untype_t1,ftpt94_t1,class94_t1,agri_t1,eligible_t1,otc_t1,ernpdh2_t1,paidhre_t1,earnhre_t1,earnwke_t1,unionmme_t1,unioncov_t1,schenr_t1,studftpt_t1,schlvl_t1,earnwt_t1,weight_t1,chldpres_t1,ownchild_t1,i25d_t1,i25c_t1,i25a_t1,i25b_t1,qstnum_t1,occurnum_t1,ged_t1,gedhigr_t1,yrcoll_t1,grprof_t1,gr6cor_t1,ms123_t1,cmpwgt_t1,ind02_t1,occ00_t1,occ002_t1,vet1_t1,vet2_t1,vet3_t1,vet4_t1,linedad_t1,linemom_t1,recnum_t1,year_t1,ym_file_t1,ym_t1,ch02_t1,ch35_t1,ch613_t1,ch1417_t1,ch05_t1,ihigrdc_t1,docc00_t1,dind02_t1,year_file_y,pair_type,state,illinois,pair,joined_state_local,from_federal,from_private,analytic_sample
18351370993090,1,2.0,1,4,2,8500,85001,1,1,33,17,40420,0,1.0,1.0,,3,1,53,2.0,2,35,2,,1,1,1,1,2,57,57,57,1,0,0,2.0,1.0,,50.0,,50.0,,,,,,2.0,7.0,0.0,2,,,,,,,,,,,7705.7695,2838.6754,0.0,0.0,,,0,0,7976,1,,,,,,,2795.2897,8470.0,4600.0,-1,,,,,,,10827.0,2009,588,585,0.0,0.0,0.0,0.0,0.0,9.0,15.0,43.0,2009,1.0,1,8,2,8500,85001,1,33,17,40420,0,1.0,1.0,,3,1,54,2.0,2,39,2,,1,1,1,2,57,57,57,1,0,0,1.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,8553.9872,2108.464,0,0,,,0,0,34208,1,2.0,5.0,,,,,2126.4896,,,-1,,,,,,,11059.0,2010,600,585,0,0,0,0,0,9.0,,,2010,MIS4_to_MIS8,illinois,1,2009-2010,0,0,1,recruitment
18351370993090,1,2.0,1,4,2,8500,85001,1,1,33,17,40420,0,1.0,1.0,,3,3,58,1.0,1,34,2,,2,1,2,1,2,57,57,57,1,0,0,1.0,5.0,,,,,,,,,,1.0,4.0,0.0,2,,,,,,,,,,,9882.9087,2772.3003,0.0,0.0,,,0,0,7976,2,,,,,,,2777.1316,3570.0,8810.0,-1,,,,,,,10828.0,2009,588,585,0.0,0.0,0.0,0.0,0.0,7.5,21.0,10.0,2009,1.0,1,8,2,8500,85001,1,33,17,40420,0,1.0,1.0,,3,3,59,1.0,1,35,2,,1,2,1,2,57,57,57,1,0,0,2.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,11172.823,2858.8997,0,0,,,0,0,34208,2,,,,,,,2903.1344,,,-1,,,,,,,11060.0,2010,600,585,0,0,0,0,0,9.0,,,2010,MIS4_to_MIS8,illinois,1,2009-2010,0,0,1,recruitment
18351370993090,1,2.0,1,4,2,8500,85001,1,1,33,17,40420,0,1.0,1.0,,3,5,21,,2,39,2,,3,2,1,7,2,57,57,57,1,0,0,2.0,1.0,,30.0,,30.0,,,14.0,,,6.0,4.0,0.0,1,2.0,1.0,1.0,1255.0,240.0,2.0,2.0,1.0,2.0,2.0,12980.8177,3258.4785,1.0,1.0,1.0,1.0,0,0,7976,3,1.0,,,,,,3061.0111,8170.0,3600.0,-1,,,,,,,10829.0,2009,588,585,1.0,0.0,0.0,0.0,1.0,12.0,11.0,42.0,2009,1.0,1,8,2,8500,85001,1,33,17,40420,0,1.0,1.0,,3,5,22,,2,40,2,,2,1,7,2,57,57,57,1,0,0,2.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,1.0,1.0,2.0,13877.9627,3371.9039,1,1,,,0,0,34208,3,,,2.0,,,,3735.4299,,,-1,,,,,,,11061.0,2010,600,585,1,0,0,0,1,13.0,,,2010,MIS4_to_MIS8,illinois,1,2009-2010,0,0,1,recruitment
33341370924585,1,2.0,1,4,2,8500,85001,1,1,33,17,16980,0,1.0,1.0,,7,1,49,2.0,1,39,1,,1,1,1,1,2,151,151,151,5,0,5,2.0,1.0,,60.0,,60.0,,,,,,2.0,6.0,0.0,2,,,,,,,,,,,12487.9719,3115.0256,0.0,0.0,,,0,0,42154,1,1.0,,,,,,3110.062,6190.0,430.0,-1,,,,,,,10832.0,2009,588,585,0.0,0.0,0.0,0.0,0.0,12.0,1.0,23.0,2009,2.0,1,8,2,8500,85001,1,33,17,16980,0,1.0,1.0,,7,1,50,2.0,1,39,1,,1,1,1,2,151,151,151,5,0,5,2.0,1.0,,60.0,,60.0,,,,,,2.0,6.0,0.0,2,,,,,,,,,,,14565.7032,3509.8195,0,0,,,0,0,33896,1,1.0,,,,,,3478.0563,6190.0,9140.0,-1,,,,,,,11064.0,2010,600,585,0,0,0,0,0,12.0,22.0,23.0,2010,MIS4_to_MIS8,illinois,1,2009-2010,0,0,1,recruitment
33341370924585,1,2.0,1,4,2,8500,85001,1,1,33,17,16980,0,1.0,1.0,,7,3,47,1.0,2,39,1,,2,1,2,1,2,151,151,151,4,0,5,1.0,1.0,,60.0,,60.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,800.0,2.0,2.0,,,,12113.6268,2980.443,0.0,0.0,1.0,,0,0,42154,2,1.0,,,,,,2981.1304,6190.0,430.0,-1,,,,,,,10833.0,2009,588,585,0.0,0.0,0.0,0.0,0.0,12.0,1.0,23.0,2009,2.0,1,8,2,8500,85001,1,33,17,16980,0,1.0,1.0,,7,3,48,1.0,2,39,1,,1,2,1,2,151,151,151,4,0,5,1.0,1.0,,60.0,,60.0,,,,,,2.0,6.0,0.0,2,,,,,,,,,,,13564.5176,3356.2827,0,0,,,0,0,33896,2,1.0,,,,,,3289.6774,6190.0,9140.0,-1,,,,,,,11065.0,2010,600,585,0,0,0,0,0,12.0,22.0,23.0,2010,MIS4_to_MIS8,illinois,1,2009-2010,0,0,1,recruitment
33341370924585,1,2.0,1,4,2,8500,85001,1,1,33,17,16980,0,1.0,1.0,,7,4,18,,1,40,1,,5,1,3,7,2,57,151,151,1,0,0,2.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,1.0,1.0,2.0,13620.845,3454.8706,,,,,0,0,42154,5,,,2.0,,,,3494.9395,,,-1,,,,,2.0,1.0,10834.0,2009,588,585,,,,,,13.0,,,2009,2.0,1,8,2,8500,85001,1,33,17,16980,0,1.0,1.0,,7,4,19,,1,40,1,,1,3,7,2,57,151,151,1,0,0,2.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,1.0,1.0,2.0,11272.908,2872.2962,0,0,,,0,0,33896,5,,,2.0,,,,2929.1023,,,-1,,,,,2.0,1.0,11066.0,2010,600,585,0,0,0,0,0,13.0,,,2010,MIS4_to_MIS8,illinois,1,2009-2010,0,0,0,recruitment
33341370924585,1,2.0,1,4,2,8500,85001,1,1,33,17,16980,0,1.0,1.0,,7,4,23,,1,43,1,,4,1,3,7,2,57,151,151,1,0,0,2.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,1.0,1.0,2.0,14158.6444,3497.2125,,,,,0,0,42154,4,,,,1.0,1.0,,3610.6289,,,-1,,,,,2.0,1.0,10835.0,2009,588,585,,,,,,18.0,,,2009,2.0,1,8,2,8500,85001,1,33,17,16980,0,1.0,1.0,,7,4,24,,1,43,1,,1,3,7,2,57,151,151,1,0,0,2.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,1.0,1.0,2.0,12739.3654,3261.5299,0,0,,,0,0,33896,4,,,,1.0,1.0,,3350.168,,,-1,,,,,2.0,1.0,11067.0,2010,600,585,0,0,0,0,0,18.0,,,2010,MIS4_to_MIS8,illinois,1,2009-2010,0,0,0,recruitment
33341370924585,1,2.0,1,4,2,8500,85001,1,1,33,17,16980,0,1.0,1.0,,7,4,25,,1,43,1,,3,1,3,7,2,57,151,151,1,0,0,2.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,14497.5366,3273.2674,,,,,0,0,42154,3,,,,1.0,1.0,,3389.0058,,,-1,,,,,2.0,1.0,10836.0,2009,588,585,,,,,,18.0,,,2009,2.0,1,8,2,8500,85001,1,33,17,16980,0,1.0,1.0,,7,4,26,,1,43,1,,1,3,7,2,57,151,151,1,0,0,2.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,12874.2848,3232.3312,0,0,,,0,0,33896,3,,,,1.0,1.0,,3206.7511,,,-1,,,,,2.0,1.0,11068.0,2010,600,585,0,0,0,0,0,18.0,,,2010,MIS4_to_MIS8,illinois,1,2009-2010,0,0,0,recruitment
40421370996694,1,1.0,4,4,2,8500,85001,1,1,33,17,37900,0,1.0,1.0,,3,1,24,,2,36,1,,1,1,1,7,2,57,57,57,1,0,0,1.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,2.0,,,16832.6494,4158.6756,1.0,2.0,,,0,0,61707,1,,,,,,,4099.4371,,,-1,,,,,,,10843.0,2009,588,585,1.0,0.0,0.0,0.0,1.0,10.0,,,2009,1.0,4,8,2,8500,85001,1,33,17,37900,0,1.0,1.0,,3,1,25,,2,36,1,,1,1,7,2,57,57,57,1,0,0,1.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,13574.5782,3544.0526,5,2,,,0,0,70182,1,,,,,,,3485.7727,,,-1,,,,,,,11076.0,2010,600,585,1,1,0,0,1,10.0,,,2010,MIS4_to_MIS8,illinois,1,2009-2010,0,0,0,recruitment
40421370996694,1,1.0,4,4,2,8500,85001,1,1,33,17,37900,0,1.0,1.0,,3,14,28,,1,39,1,,2,0,0,7,2,57,57,57,1,0,0,2.0,1.0,,25.0,,30.0,,,22.0,,,7.0,4.0,0.0,1,2.0,,1.0,1200.0,300.0,2.0,2.0,,,,12155.8527,3141.9654,,,0.0,0.0,0,0,61707,2,1.0,,,,,,3121.8434,6990.0,4810.0,8510,,,,,,,10844.0,2009,588,585,,,,,,12.0,16.0,33.0,2009,1.0,4,8,2,8500,85001,1,33,17,37900,0,1.0,1.0,,3,14,29,,1,39,1,,0,0,7,2,57,57,57,1,0,0,2.0,1.0,,40.0,,50.0,,,,,,2.0,4.0,0.0,1,1.0,1.0,1.0,940.0,576.0,2.0,2.0,,,,12426.3962,3146.8258,5,2,1.0,1.0,0,0,70182,2,1.0,,,,,,3126.2349,6990.0,4810.0,8510,,,,,,,11077.0,2010,600,585,1,1,0,0,1,12.0,16.0,33.0,2010,MIS4_to_MIS8,illinois,1,2009-2010,0,0,1,recruitment
