hhid,intmonth,hurespli_t,hrhtype_t,minsamp_x,hrlonglk_t,hrsample_t,hrhhid2_t,serial_t,hhnum,state_t,stfips_t,cbsafips_t,county_t,centcity_t,smsastat_t,icntcity_t,smsa04_t,relref95_t,age_t,spouse_t,sex_t,grade92_t,race_t,ethnic_t,lineno,famnum_t,pfamrel_t,marital_t,prpertyp_t,penatvty_t,pemntvty_t,pefntvty_t,prcitshp_t,prcitflg_t,peinusyr_t,selfproxy_t,lfsr94_t,absent94_t,uhourse_t,reason94_t,hourslw_t,laydur_t,dwrsn_t,why3594_t,prunedur_t,untype_t,ftpt94_t,class94_t,agri_t,eligible_t,otc_t,ernpdh2_t,paidhre_t,earnhre_t,earnwke_t,unionmme_t,unioncov_t,schenr_t,studftpt_t,schlvl_t,earnwt_t,weight_t,chldpres_t,ownchild_t,i25d_t,i25c_t,i25a_t,i25b_t,qstnum_t,occurnum_t,ged_t,gedhigr_t,yrcoll_t,grprof_t,gr6cor_t,ms123_t,cmpwgt_t,ind02_t,occ2011_t,occ002_t,vet1_t,vet2_t,vet3_t,vet4_t,linedad_t,linemom_t,recnum_t,year_t,ym_file_t,ym_t,ch02_t,ch35_t,ch613_t,ch1417_t,ch05_t,ihigrdc_t,race21_t,race26_t,occ2012_t,docc00_t,dind02_t,year_file_x,hurespli_t1,hrhtype_t1,minsamp_y,hrlonglk_t1,hrsample_t1,hrhhid2_t1,serial_t1,state_t1,stfips_t1,cbsafips_t1,county_t1,centcity_t1,smsastat_t1,icntcity_t1,smsa04_t1,relref95_t1,age_t1,spouse_t1,sex_t1,grade92_t1,race_t1,ethnic_t1,famnum_t1,pfamrel_t1,marital_t1,prpertyp_t1,penatvty_t1,pemntvty_t1,pefntvty_t1,prcitshp_t1,prcitflg_t1,peinusyr_t1,selfproxy_t1,lfsr94_t1,absent94_t1,uhourse_t1,reason94_t1,hourslw_t1,laydur_t1,dwrsn_t1,why3594_t1,prunedur_t1,untype_t1,ftpt94_t1,class94_t1,agri_t1,eligible_t1,otc_t1,ernpdh2_t1,paidhre_t1,earnhre_t1,earnwke_t1,unionmme_t1,unioncov_t1,schenr_t1,studftpt_t1,schlvl_t1,earnwt_t1,weight_t1,chldpres_t1,ownchild_t1,i25d_t1,i25c_t1,i25a_t1,i25b_t1,qstnum_t1,occurnum_t1,ged_t1,gedhigr_t1,yrcoll_t1,grprof_t1,gr6cor_t1,ms123_t1,cmpwgt_t1,ind02_t1,occ2012_t1,occ002_t1,vet1_t1,vet2_t1,vet3_t1,vet4_t1,linedad_t1,linemom_t1,recnum_t1,year_t1,ym_file_t1,ym_t1,ch02_t1,ch35_t1,ch613_t1,ch1417_t1,ch05_t1,ihigrdc_t1,docc00_t1,dind02_t1,year_file_y,pair_type,state,illinois,pair,joined_state_local,from_federal,from_private,analytic_sample
34371770972784,1,1.0,7,4,2,8900,89001,1,1,33,17,16980,0,1.0,1.0,1.0,7,2,54,,2,37,2,,1,0,0,5,2,57,57,57,1,0,0,1.0,1.0,,-4.0,,47.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,1.0,1330.0,625.1,2.0,2.0,,,,12471.472,3320.8777,0,0,1.0,1.0,0,42,51742,1,,,,,,,3289.6693,8170.0,3600.0,-1,,,,,,,11042.0,2012,624,621,0,0,0,0,0,11.0,2.0,,,11.0,42.0,2012,1.0,7,8,2,8900,89001,1,33,17,16980,0,1.0,1.0,1.0,7,2,55,,2,37,2,,0,0,5,2,57,57,57,1,0,0,1.0,1.0,,35.0,,35.0,,,,,,2.0,4.0,0.0,1,2.0,1.0,1.0,1100.0,788.46,1.0,,,,,8318.2788,2464.5995,0,0,0.0,0.0,0,0,59259,1,,,,,,,2496.4725,8170.0,4610.0,-1,,,,,,,11122.0,2013,636,621,0,0,0,0,0,11.0,15.0,42.0,2013,MIS4_to_MIS8,illinois,1,2012-2013,0,0,1,recruitment
34371770972784,1,1.0,7,4,2,8900,89001,1,1,33,17,16980,0,1.0,1.0,1.0,7,16,61,,1,40,2,,2,0,0,7,2,57,57,57,1,0,0,2.0,6.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,11503.8982,2957.9746,0,0,,,0,0,51742,2,,,2.0,,,,3001.776,,,-1,,,,,,,11043.0,2012,624,621,0,0,0,0,0,13.0,2.0,,,,,2012,1.0,7,8,2,8900,89001,1,33,17,16980,0,1.0,1.0,1.0,7,16,62,,1,40,2,,0,0,7,2,57,57,57,1,0,0,2.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,10392.3589,2736.962,0,0,,,0,0,59259,2,,,2.0,,,,2765.2145,,,-1,,,,,,,11123.0,2013,636,621,0,0,0,0,0,13.0,,,2013,MIS4_to_MIS8,illinois,1,2012-2013,0,0,0,recruitment
75881770978398,1,1.0,1,4,2,8900,89001,1,1,33,17,16980,0,1.0,1.0,1.0,7,1,42,2.0,1,39,1,1.0,1,1,1,1,2,303,303,303,5,0,14,1.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,1000.0,2.0,2.0,,,,13348.114,3288.8682,8,2,0.0,,0,0,51745,1,1.0,,,,,,3263.7851,6380.0,5510.0,-1,,,,,,,11048.0,2012,624,621,0,1,1,0,1,12.0,1.0,,,17.0,23.0,2012,2.0,1,8,2,8900,89001,1,33,17,16980,0,1.0,1.0,1.0,7,1,43,2.0,1,39,1,1.0,1,1,1,2,303,303,303,5,0,14,2.0,1.0,,40.0,,40.0,,,,,,2.0,7.0,0.0,2,,,,,,,,2.0,,,11580.6537,2757.9903,9,2,,,0,0,63173,1,1.0,,,,,,2767.0193,6380.0,5510.0,-1,,,,,,,11131.0,2013,636,621,0,1,0,1,1,12.0,17.0,23.0,2013,MIS4_to_MIS8,illinois,1,2012-2013,0,0,1,recruitment
75881770978398,1,1.0,1,4,2,8900,89001,1,1,33,17,16980,0,1.0,1.0,1.0,7,3,39,1.0,2,39,1,1.0,2,1,2,1,2,303,303,303,4,10,6,2.0,1.0,,40.0,,46.0,,,,,,2.0,4.0,0.0,1,1.0,1.0,1.0,1900.0,500.0,2.0,2.0,,,,10960.4976,2747.9642,8,2,0.0,0.0,0,0,51745,2,1.0,,,,,,2717.514,2770.0,5610.0,-1,,,,,,,11049.0,2012,624,621,0,1,1,0,1,12.0,1.0,,,17.0,6.0,2012,2.0,1,8,2,8900,89001,1,33,17,16980,0,1.0,1.0,1.0,7,3,39,1.0,2,39,1,1.0,1,2,1,2,303,303,303,4,10,6,1.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,,1.0,2069.0,827.6,2.0,2.0,2.0,,,10823.6412,2729.8393,9,2,0.0,0.0,0,0,63173,2,1.0,,,,,,2775.6584,2980.0,5610.0,-1,,,,,,,11132.0,2013,636,621,0,1,0,1,1,12.0,17.0,6.0,2013,MIS4_to_MIS8,illinois,1,2012-2013,0,0,1,recruitment
75881770978398,1,1.0,1,4,2,8900,89001,1,1,33,17,16980,0,1.0,1.0,1.0,7,4,21,,1,42,1,1.0,5,1,3,7,2,57,303,303,1,0,0,2.0,7.0,,,,,,11.0,,,,1.0,,,2,,,,,,,,2.0,,,15523.7792,4128.386,0,0,,,0,0,51745,5,,,3.0,,,,3889.8428,,,-1,,,,,2.0,1.0,11050.0,2012,624,621,0,0,0,0,0,14.0,1.0,,,,,2012,2.0,1,8,2,8900,89001,1,33,17,16980,0,1.0,1.0,1.0,7,4,22,,1,41,1,1.0,1,3,7,2,57,303,303,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,,1.0,1100.0,440.0,2.0,2.0,2.0,,,11197.8945,2855.9025,0,0,1.0,1.0,0,42,63173,5,,,3.0,,,,2796.6085,3990.0,4040.0,-1,,,,,2.0,1.0,11135.0,2013,636,621,0,0,0,0,0,14.0,13.0,13.0,2013,MIS4_to_MIS8,illinois,1,2012-2013,0,0,0,recruitment
76199139700590,1,1.0,1,4,2,8900,89001,1,1,33,17,16980,0,1.0,1.0,1.0,7,1,45,2.0,1,44,1,,1,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,50.0,,50.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,2250.0,2.0,2.0,,,,12557.82,3187.4193,3,1,0.0,,0,0,8670,1,,,,,,2.0,3190.4001,2290.0,1350.0,-1,,,,,,,11053.0,2012,624,621,0,0,1,0,0,18.0,1.0,,,4.0,19.0,2012,1.0,1,8,2,8900,89001,1,33,17,16980,0,1.0,1.0,1.0,7,1,47,2.0,1,44,1,,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,50.0,,50.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,2346.15,2.0,2.0,2.0,,,12725.057,3181.0348,3,1,0.0,,0,0,5553,1,,,,,,1.0,3182.9313,2290.0,1350.0,-1,,,,,,,11136.0,2013,636,621,0,0,1,0,0,17.0,4.0,19.0,2013,MIS4_to_MIS8,illinois,1,2012-2013,0,0,1,recruitment
79051770926697,1,1.0,6,4,2,8900,89001,1,1,33,17,16980,0,1.0,1.0,1.0,7,2,38,,1,44,7,,1,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,30.0,,30.0,,,22.0,,,7.0,7.0,0.0,2,,,,,,,,,,,13640.4018,3348.7149,0,0,,,0,0,44603,1,,,,,,1.0,3352.5769,7890.0,2340.0,-1,,,,,,,11056.0,2012,624,621,0,0,0,0,0,17.0,7.0,,,8.0,40.0,2012,1.0,6,8,2,8900,89001,1,33,17,16980,0,1.0,1.0,1.0,7,2,40,,1,44,7,,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,17.0,,20.0,,,22.0,,,7.0,7.0,0.0,2,,,,,,,,2.0,,,10632.8196,2487.6079,0,0,,,0,0,68934,1,,,,,,1.0,2540.5489,7890.0,2340.0,-1,,,,,,,11139.0,2013,636,621,0,0,0,0,0,17.0,8.0,40.0,2013,MIS4_to_MIS8,illinois,1,2012-2013,0,0,1,recruitment
92311770998383,1,1.0,7,4,2,8900,89001,1,1,33,17,16980,0,1.0,1.0,1.0,7,2,67,,2,44,2,,1,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,35.0,,37.0,,,,,,2.0,5.0,0.0,1,1.0,,1.0,2250.0,832.5,2.0,2.0,,,,15831.6148,3272.8838,0,0,0.0,0.0,0,0,4608,1,,,,,,3.0,3242.1265,8570.0,430.0,-1,,,,,,,11062.0,2012,624,621,0,0,0,0,0,18.0,2.0,,,1.0,44.0,2012,1.0,7,8,2,8900,89001,1,33,17,16980,0,1.0,1.0,1.0,7,2,68,,2,44,2,,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,35.0,,35.0,,,,,,2.0,5.0,0.0,1,2.0,1.0,1.0,2424.0,807.69,2.0,2.0,,,,11336.2658,2591.2164,0,0,0.0,0.0,0,0,9638,1,,,,,,3.0,2624.7268,7880.0,230.0,-1,,,,,,,11149.0,2013,636,621,0,0,0,0,0,18.0,1.0,40.0,2013,MIS4_to_MIS8,illinois,1,2012-2013,0,0,1,recruitment
100974098217569,1,2.0,4,4,2,8900,89001,1,1,33,17,16980,0,1.0,1.0,,7,1,35,,2,40,2,,1,1,1,7,2,57,57,57,1,0,0,2.0,4.0,,,,,,,,11.0,3.0,11.0,4.0,0.0,2,,,,,,,,,,,17215.325,3124.1137,4,2,,,0,0,51771,1,,,1.0,,,,2865.1332,7580.0,7950.0,-1,,,,,,,11063.0,2012,624,621,0,0,0,1,0,12.0,2.0,,,21.0,38.0,2012,1.0,4,8,2,8900,89001,1,33,17,16980,0,1.0,1.0,,7,1,37,,2,40,2,,1,1,7,2,57,57,57,1,0,0,1.0,6.0,,,,,,,,,,1.0,,,2,,,,,,,,1.0,2.0,2.0,10920.2342,2854.8336,4,1,,,0,0,9738,1,,,2.0,,,,2807.6703,,,-1,,,,,,,11150.0,2013,636,621,0,0,0,1,0,13.0,,,2013,MIS4_to_MIS8,illinois,1,2012-2013,0,0,1,recruitment
177193559700698,1,2.0,1,4,2,8900,89001,1,1,33,17,16980,0,1.0,1.0,1.0,7,1,58,2.0,2,43,1,,1,1,1,1,2,57,57,57,1,0,0,2.0,6.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,10996.0749,2845.6001,0,0,,,0,0,63057,1,,,,2.0,,,2795.8279,,,-1,,,,,,,11071.0,2012,624,621,0,0,0,0,0,16.0,1.0,,,,,2012,2.0,1,8,2,8900,89001,1,33,17,16980,0,1.0,1.0,1.0,7,1,59,2.0,2,43,1,,1,1,1,2,57,57,57,1,0,0,2.0,6.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,11230.9531,2819.0083,0,0,,,0,0,65908,1,,,,2.0,,,2803.2433,,,-1,,,,,,,11153.0,2013,636,621,0,0,0,0,0,16.0,,,2013,MIS4_to_MIS8,illinois,1,2012-2013,0,0,0,recruitment
