hhid,intmonth,hurespli_t,hrhtype_t,minsamp_x,hrlonglk_t,hrsample_t,hrhhid2_t,serial_t,hhnum,stfips_t,cbsafips_t,county_t,centcity_t,smsastat_t,icntcity_t,smsa04_t,relref95_t,age_t,spouse_t,sex_t,grade92_t,race_t,ethnic_t,lineno,famnum_t,pfamrel_t,marital_t,prpertyp_t,penatvty_t,pemntvty_t,pefntvty_t,prcitshp_t,prcitflg_t,peinusyr_t,selfproxy_t,lfsr94_t,absent94_t,uhourse_t,reason94_t,hourslw_t,laydur_t,dwrsn_t,why3594_t,prunedur_t,untype_t,ftpt94_t,class94_t,agri_t,eligible_t,otc_t,ernpdh2_t,paidhre_t,earnhre_t,earnwke_t,unionmme_t,unioncov_t,schenr_t,studftpt_t,schlvl_t,earnwt_t,weight_t,chldpres_t,ownchild_t,i25d_t,i25c_t,i25a_t,i25b_t,qstnum_t,occurnum_t,ged_t,gedhigr_t,yrcoll_t,grprof_t,gr6cor_t,ms123_t,cmpwgt_t,ind02_t,occ2012_t,occ002_t,vet1_t,vet2_t,vet3_t,vet4_t,linedad_t,linemom_t,recnum_t,year_t,ym_file_t,ym_t,ch02_t,ch35_t,ch613_t,ch1417_t,ch05_t,ihigrdc_t,docc00_t,dind02_t,year_file_x,hurespli_t1,hrhtype_t1,minsamp_y,hrlonglk_t1,hrsample_t1,hrhhid2_t1,serial_t1,stfips_t1,cbsafips_t1,county_t1,centcity_t1,smsastat_t1,icntcity_t1,smsa04_t1,relref95_t1,age_t1,spouse_t1,sex_t1,grade92_t1,race_t1,ethnic_t1,famnum_t1,pfamrel_t1,marital_t1,prpertyp_t1,penatvty_t1,pemntvty_t1,pefntvty_t1,prcitshp_t1,prcitflg_t1,peinusyr_t1,selfproxy_t1,lfsr94_t1,absent94_t1,uhourse_t1,reason94_t1,hourslw_t1,laydur_t1,dwrsn_t1,why3594_t1,prunedur_t1,untype_t1,ftpt94_t1,class94_t1,agri_t1,eligible_t1,otc_t1,ernpdh2_t1,paidhre_t1,earnhre_t1,earnwke_t1,unionmme_t1,unioncov_t1,schenr_t1,studftpt_t1,schlvl_t1,earnwt_t1,weight_t1,chldpres_t1,ownchild_t1,i25d_t1,i25c_t1,i25a_t1,i25b_t1,qstnum_t1,occurnum_t1,ged_t1,gedhigr_t1,yrcoll_t1,grprof_t1,gr6cor_t1,ms123_t1,cmpwgt_t1,ind02_t1,occ2012_t1,occ002_t1,vet1_t1,vet2_t1,vet3_t1,vet4_t1,linedad_t1,linemom_t1,recnum_t1,year_t1,ym_file_t1,ym_t1,ch02_t1,ch35_t1,ch613_t1,ch1417_t1,ch05_t1,ihigrdc_t1,docc00_t1,dind02_t1,year_file_y,pair_type,state,illinois,pair,joined_state_local,from_federal,from_private,analytic_sample
3077500100221,1,2.0,1,4,2,301,3011,1,1,17,37900,0,1.0,1.0,,3,1,39,2.0,1,43,1,,1,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,47.0,,35.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,1861.0,2.0,2.0,2.0,,,12688.3499,3164.4466,0,0,1.0,,0,0,57563,1,,,,,,,3175.5798,3080.0,1460.0,-1,,,,,,,11577.0,2015,660,657,0,0,0,0,0,,4.0,7.0,2015,2.0,1,8,2,301,3011,1,17,37900,0,1.0,1.0,,3,1,40,2.0,1,43,1,,1,1,1,2,57,57,57,1,0,0,2.0,1.0,,48.0,,48.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,2211.0,2.0,2.0,2.0,,,10400.6113,2564.0759,2,1,1.0,,0,42,20970,1,,,,,,,2580.857,3080.0,1460.0,-1,,,,,,,11407.0,2016,672,657,0,1,0,0,1,,4.0,7.0,2016,MIS4_to_MIS8,illinois,1,2015-2016,0,0,1,recruitment
3077500100221,1,2.0,1,4,2,301,3011,1,1,17,37900,0,1.0,1.0,,3,3,35,1.0,2,46,1,,2,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,50.0,,50.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,1153.0,2.0,2.0,2.0,,,12500.2491,3023.4059,0,0,1.0,,0,0,57563,2,,,,,,,3045.5038,3080.0,1460.0,-1,,,,,,,11578.0,2015,660,657,0,0,0,0,0,18.0,4.0,7.0,2015,2.0,1,8,2,301,3011,1,17,37900,0,1.0,1.0,,3,3,36,1.0,2,44,1,,1,2,1,2,57,57,57,1,0,0,1.0,1.0,,50.0,,50.0,,,,,,2.0,4.0,0.0,1,1.0,2.0,2.0,,1653.0,2.0,2.0,2.0,,,10641.443,2638.8267,2,1,1.0,,0,42,20970,2,,,,,,,2672.2959,3080.0,1460.0,-1,,,,,,,11408.0,2016,672,657,0,1,0,0,1,,4.0,7.0,2016,MIS4_to_MIS8,illinois,1,2015-2016,0,0,1,recruitment
10710095197749,1,2.0,3,4,2,301,3011,1,1,17,40420,0,1.0,1.0,,3,1,43,,1,40,1,,1,1,1,7,2,128,128,128,5,0,6,1.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,,1.0,1500.0,600.0,2.0,2.0,2.0,,,11142.0255,2752.0127,0,0,0.0,0.0,0,0,63011,1,,,3.0,,,,2788.5731,2880.0,7900.0,-1,,,,,,1.0,11583.0,2015,660,657,0,0,0,0,0,14.0,21.0,6.0,2015,1.0,3,8,2,301,3011,1,17,40420,0,1.0,1.0,,3,1,44,,1,40,1,,1,1,7,2,128,128,128,5,0,6,1.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,865.38,2.0,2.0,2.0,,,10400.6113,2564.0759,0,0,0.0,,0,0,33271,1,,,3.0,,,,2580.857,3580.0,1430.0,-1,,,,,,1.0,11411.0,2016,672,657,0,0,0,0,0,14.0,4.0,10.0,2016,MIS4_to_MIS8,illinois,1,2015-2016,0,0,1,recruitment
10710095197749,1,2.0,3,4,2,301,3011,1,1,17,40420,0,1.0,1.0,,3,4,22,,1,43,1,,3,1,3,7,2,57,57,57,1,0,0,2.0,4.0,,,,,,,,51.0,6.0,11.0,,,2,,,,,,,,2.0,,,15142.0091,3524.4599,0,0,,,0,0,63011,3,,,,,,,3475.4153,,,-1,,,,,,1.0,11584.0,2015,660,657,0,0,0,0,0,,,,2015,1.0,3,8,2,301,3011,1,17,40420,0,1.0,1.0,,3,4,23,,1,43,1,,1,3,7,2,57,57,57,1,0,0,2.0,7.0,,,,,,1.0,,,,1.0,,,2,,,,,,,,2.0,,,11337.4075,3007.9241,0,0,,,0,0,33271,3,,,,,,,3001.1275,,,-1,,,,,,1.0,11412.0,2016,672,657,0,0,0,0,0,,,,2016,MIS4_to_MIS8,illinois,1,2015-2016,0,0,0,recruitment
10710095197749,1,2.0,3,4,2,301,3011,1,1,17,40420,0,1.0,1.0,,3,6,80,,1,34,1,,2,1,4,4,2,128,128,128,5,0,6,2.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,13077.5932,3272.625,0,0,,,0,0,63011,2,,,,,,,3300.1841,,,-1,,,,,,,11585.0,2015,660,657,0,0,0,0,0,7.5,,,2015,1.0,3,8,2,301,3011,1,17,40420,0,1.0,1.0,,3,6,80,,1,34,1,,1,4,4,2,128,128,128,5,0,6,2.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,12805.8297,3177.0749,0,0,,,0,0,33271,2,,,,,,,3190.3073,,,-1,,,,,,,11413.0,2016,672,657,0,0,0,0,0,7.5,,,2016,MIS4_to_MIS8,illinois,1,2015-2016,0,0,0,recruitment
10710095197749,1,2.0,3,4,2,301,3011,1,1,17,40420,0,1.0,1.0,,3,14,39,,2,40,1,,4,0,0,7,2,57,57,57,1,0,0,2.0,6.0,,,,,,,,,,1.0,,,2,,,,,,,,2.0,,,11548.42,3023.4059,0,0,,,0,0,63011,4,,,2.0,,,,2952.392,,,-1,,,,,,,11586.0,2015,660,657,0,0,0,0,0,13.0,,,2015,1.0,3,8,2,301,3011,1,17,40420,0,1.0,1.0,,3,14,40,,2,40,1,,0,0,7,2,57,57,57,1,0,0,2.0,4.0,,,,,,,,52.0,5.0,11.0,4.0,0.0,2,,,,,,,,2.0,,,10776.6242,2942.5784,0,0,,,0,0,33271,4,,,2.0,,,,2786.7154,2880.0,4900.0,-1,,,,,,,11414.0,2016,672,657,0,0,0,0,0,13.0,16.0,6.0,2016,MIS4_to_MIS8,illinois,1,2015-2016,0,0,0,recruitment
10710123981511,1,2.0,1,4,2,301,3011,1,1,17,16980,0,1.0,1.0,2.0,7,3,50,1.0,1,43,1,,2,1,2,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,673.0,2.0,2.0,2.0,,,14316.7279,3526.5762,4,1,1.0,,0,42,31032,2,,,,,,,3533.4686,6990.0,10.0,-1,,,,,,,11588.0,2015,660,657,0,0,0,1,0,,1.0,33.0,2015,1.0,1,8,2,301,3011,1,17,16980,0,1.0,1.0,2.0,7,3,52,1.0,1,43,1,,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,1.0,2.0,2.0,,1826.0,2.0,2.0,2.0,,,13274.6058,3298.5229,0,0,1.0,,0,42,50742,2,,,,,,,3303.5205,6990.0,4810.0,-1,,,,,,,11416.0,2016,672,657,0,0,0,0,0,,16.0,33.0,2016,MIS4_to_MIS8,illinois,1,2015-2016,0,0,1,recruitment
10710123981511,1,2.0,1,4,2,301,3011,1,1,17,16980,0,1.0,1.0,2.0,7,4,17,,1,36,1,,3,1,3,7,2,57,57,57,1,0,0,2.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,1.0,1.0,1.0,12313.1085,2916.3884,0,0,,,0,0,31032,3,,,,,,,2903.1018,,,-1,,,,,1.0,1.0,11589.0,2015,660,657,0,0,0,0,0,10.0,,,2015,1.0,1,8,2,301,3011,1,17,16980,0,1.0,1.0,2.0,7,4,18,,1,39,1,,1,3,7,2,57,57,57,1,0,0,2.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,1.0,1.0,1.0,11051.1027,2752.0913,0,0,,,0,0,50742,3,1.0,,,,,,2693.7733,,,-1,,,,,1.0,1.0,11417.0,2016,672,657,0,0,0,0,0,12.0,,,2016,MIS4_to_MIS8,illinois,1,2015-2016,0,0,0,recruitment
10710142960412,1,1.0,1,4,2,301,3011,1,1,17,16980,0,1.0,1.0,2.0,7,1,38,2.0,1,44,4,,1,1,1,1,2,240,240,240,4,0,6,1.0,1.0,,25.0,,25.0,,,14.0,,,6.0,4.0,0.0,1,2.0,,1.0,2150.0,537.5,2.0,2.0,2.0,,,11921.7175,3021.0193,0,0,1.0,1.0,0,42,41218,1,,,,,,,2983.7107,7290.0,1460.0,-1,,,,,,,11590.0,2015,660,657,0,0,0,0,0,,4.0,36.0,2015,1.0,1,8,2,301,3011,1,17,16980,0,1.0,1.0,2.0,7,1,39,2.0,1,44,4,,1,1,1,2,240,240,240,4,0,6,1.0,1.0,,45.0,,45.0,,,,,,2.0,7.0,0.0,2,,,,,,,,2.0,,,12642.4232,3010.0753,0,0,,,0,0,33121,1,,,,,,,3039.9392,7290.0,710.0,-1,,,,,,,11418.0,2016,672,657,0,0,0,0,0,,2.0,36.0,2016,MIS4_to_MIS8,illinois,1,2015-2016,0,0,1,recruitment
10710142960412,1,1.0,1,4,2,301,3011,1,1,17,16980,0,1.0,1.0,2.0,7,3,37,1.0,2,44,4,,2,1,2,1,2,240,240,240,4,0,8,2.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,2.0,,,11013.3952,2830.7991,0,0,,,0,0,41218,2,,,,,,,2815.6111,,,-1,,,,,,,11591.0,2015,660,657,0,0,0,0,0,,,,2015,1.0,1,8,2,301,3011,1,17,16980,0,1.0,1.0,2.0,7,3,39,1.0,2,44,4,,1,2,1,2,240,240,240,4,0,8,2.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,2.0,,,11985.1103,2862.2998,0,0,,,0,0,33121,2,,,,,,,3040.7694,,,-1,,,,,,,11419.0,2016,672,657,0,0,0,0,0,,,,2016,MIS4_to_MIS8,illinois,1,2015-2016,0,0,0,recruitment
