hhid,intmonth,hurespli_t,hrhtype_t,minsamp_x,hrlonglk_t,hrsample_t,hrhhid2_t,serial_t,hhnum,state_t,stfips_t,cbsafips_t,county_t,centcity_t,smsastat_t,icntcity_t,smsa04_t,relref95_t,age_t,spouse_t,sex_t,grade92_t,race_t,ethnic_t,lineno,famnum_t,pfamrel_t,marital_t,prpertyp_t,penatvty_t,pemntvty_t,pefntvty_t,prcitshp_t,prcitflg_t,peinusyr_t,selfproxy_t,lfsr94_t,absent94_t,uhourse_t,reason94_t,hourslw_t,laydur_t,dwrsn_t,why3594_t,prunedur_t,untype_t,ftpt94_t,class94_t,agri_t,eligible_t,otc_t,ernpdh2_t,paidhre_t,earnhre_t,earnwke_t,unionmme_t,unioncov_t,schenr_t,studftpt_t,schlvl_t,earnwt_t,weight_t,chldpres_t,ownchild_t,i25d_t,i25c_t,i25a_t,i25b_t,qstnum_t,occurnum_t,ged_t,gedhigr_t,yrcoll_t,grprof_t,gr6cor_t,ms123_t,cmpwgt_t,ind02_t,occ00_t,occ002_t,vet1_t,vet2_t,vet3_t,vet4_t,linedad_t,linemom_t,recnum_t,year_t,ym_file_t,ym_t,ch02_t,ch35_t,ch613_t,ch1417_t,ch05_t,ihigrdc_t,docc00_t,dind02_t,year_file_x,hurespli_t1,hrhtype_t1,minsamp_y,hrlonglk_t1,hrsample_t1,hrhhid2_t1,serial_t1,state_t1,stfips_t1,cbsafips_t1,county_t1,centcity_t1,smsastat_t1,icntcity_t1,smsa04_t1,relref95_t1,age_t1,spouse_t1,sex_t1,grade92_t1,race_t1,ethnic_t1,famnum_t1,pfamrel_t1,marital_t1,prpertyp_t1,penatvty_t1,pemntvty_t1,pefntvty_t1,prcitshp_t1,prcitflg_t1,peinusyr_t1,selfproxy_t1,lfsr94_t1,absent94_t1,uhourse_t1,reason94_t1,hourslw_t1,laydur_t1,dwrsn_t1,why3594_t1,prunedur_t1,untype_t1,ftpt94_t1,class94_t1,agri_t1,eligible_t1,otc_t1,ernpdh2_t1,paidhre_t1,earnhre_t1,earnwke_t1,unionmme_t1,unioncov_t1,schenr_t1,studftpt_t1,schlvl_t1,earnwt_t1,weight_t1,chldpres_t1,ownchild_t1,i25d_t1,i25c_t1,i25a_t1,i25b_t1,qstnum_t1,occurnum_t1,ged_t1,gedhigr_t1,yrcoll_t1,grprof_t1,gr6cor_t1,ms123_t1,cmpwgt_t1,ind02_t1,occ00_t1,occ002_t1,vet1_t1,vet2_t1,vet3_t1,vet4_t1,linedad_t1,linemom_t1,recnum_t1,year_t1,ym_file_t1,ym_t1,ch02_t1,ch35_t1,ch613_t1,ch1417_t1,ch05_t1,ihigrdc_t1,docc00_t1,dind02_t1,year_file_y,pair_type,state,illinois,pair,stayed_state_local,exited_state_local,moved_to_federal,moved_to_private,analytic_sample
310709938845684,1,1.0,6,4,2,8500,85001,1,1,33,17,16980,0,1.0,1.0,1.0,7,2,41,,1,39,2,,1,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,,1.0,1857.0,742.8,2.0,2.0,,,,11078.1908,2765.0546,,,1.0,1.0,0,42,65450,1,1.0,,,,,,2803.3767,6180.0,9260.0,-1,,,,,,,10946.0,2009,588,585,,,,,,12.0,22.0,23.0,2009,1.0,6,8,2,8500,85001,1,33,17,16980,0,1.0,1.0,1.0,7,2,42,,1,40,2,,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,,1.0,1300.0,520.0,2.0,2.0,,,,12793.9497,2995.5445,0,0,1.0,1.0,0,42,70126,1,,,2.0,,,,2933.6372,6180.0,9260.0,-1,,,,,,,11159.0,2010,600,585,0,0,0,0,0,13.0,22.0,23.0,2010,MIS4_to_MIS8,illinois,1,2009-2010,1,0,0,0,retention
571486033908498,1,1.0,3,4,2,8500,85001,1,1,33,17,16980,0,1.0,1.0,1.0,7,4,31,,1,46,2,,2,1,3,7,2,57,57,57,1,0,0,2.0,1.0,,35.0,,35.0,,,,,,2.0,3.0,0.0,1,2.0,,1.0,3200.0,1120.0,2.0,2.0,,,,15429.6948,3465.9334,,,0.0,0.0,0,0,7756,2,,,,,,,3453.5346,7870.0,2200.0,-1,,,,,,1.0,11010.0,2009,588,585,,,,,,18.0,8.0,40.0,2009,2.0,3,8,2,8500,85001,1,33,17,16980,0,1.0,1.0,1.0,7,4,32,,1,44,2,,1,3,7,2,57,57,57,1,0,0,1.0,1.0,,37.0,,37.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,865.38,1.0,,,,,14846.8255,3594.4633,0,0,0.0,,0,0,21408,2,,,,,,2.0,3634.4898,7870.0,2200.0,-1,,,,,,1.0,11231.0,2010,600,585,0,0,0,0,0,18.0,8.0,40.0,2010,MIS4_to_MIS8,illinois,1,2009-2010,1,0,0,0,retention
930087935139100,1,1.0,7,4,2,8500,85001,1,1,33,17,40420,0,1.0,1.0,,3,2,58,,2,43,1,,1,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,25.0,,25.0,,,14.0,,,6.0,3.0,0.0,1,2.0,,1.0,2189.0,547.25,2.0,2.0,,,,10619.7938,2687.245,,,0.0,0.0,0,0,7977,1,,,,1.0,1.0,,2670.1671,6770.0,2430.0,-1,,,,,,,11119.0,2009,588,585,,,,,,18.0,8.0,31.0,2009,1.0,7,8,2,8500,85001,1,33,17,40420,0,1.0,1.0,,3,2,59,,2,43,1,,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,25.0,,25.0,,,14.0,,,6.0,3.0,0.0,1,2.0,,1.0,2200.0,550.0,2.0,2.0,,,,13136.2273,3311.2135,0,0,0.0,0.0,0,0,21712,1,,,,1.0,1.0,,3254.6801,6770.0,2430.0,-1,,,,,,,11329.0,2010,600,585,0,0,0,0,0,18.0,8.0,31.0,2010,MIS4_to_MIS8,illinois,1,2009-2010,1,0,0,0,retention
933027981139930,1,1.0,1,4,2,8500,85001,1,1,33,17,16980,0,1.0,1.0,1.0,7,1,39,2.0,1,39,1,1.0,1,1,1,1,2,303,303,303,4,0,5,1.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,,1.0,2100.0,840.0,1.0,,,,,14927.9588,3695.1948,3.0,3.0,1.0,1.0,0,0,20559,1,1.0,,,,,,3706.4955,770.0,9130.0,-1,,,,,,,11123.0,2009,588,585,0.0,0.0,1.0,0.0,0.0,12.0,22.0,4.0,2009,1.0,1,8,2,8500,85001,1,33,17,16980,0,1.0,1.0,1.0,7,1,40,2.0,1,40,1,1.0,1,1,1,2,303,303,303,4,0,5,1.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,,1.0,2000.0,800.0,1.0,,,,,12363.9719,3006.8515,10,3,1.0,1.0,0,42,8549,1,,,2.0,,,,3065.4387,6170.0,9130.0,-1,,,,,,,11331.0,2010,600,585,0,0,1,1,0,13.0,22.0,23.0,2010,MIS4_to_MIS8,illinois,1,2009-2010,1,0,0,0,retention
935037244138350,1,1.0,1,4,2,8500,85001,1,1,33,17,16980,0,1.0,1.0,,7,1,58,2.0,1,39,1,,1,1,1,1,2,57,57,128,1,0,0,1.0,1.0,,12.0,,12.0,,,21.0,,,7.0,3.0,0.0,1,2.0,1.0,1.0,1600.0,160.0,2.0,2.0,,,,10220.0364,2591.3932,0.0,0.0,0.0,0.0,0,0,32103,1,1.0,,,,,,2576.3555,9370.0,3940.0,-1,,,,,,,11132.0,2009,588,585,0.0,0.0,0.0,0.0,0.0,12.0,12.0,51.0,2009,2.0,1,8,2,8500,85001,1,33,17,16980,0,1.0,1.0,,7,1,59,2.0,1,39,1,,1,1,1,2,57,57,128,1,0,0,2.0,1.0,,12.0,,12.0,,,21.0,,,7.0,3.0,0.0,1,2.0,,1.0,1200.0,144.0,2.0,2.0,,,,12585.433,3140.7204,0,0,0.0,0.0,0,0,8541,1,1.0,,,,,,3138.5871,7860.0,3940.0,-1,,,,,,,11340.0,2010,600,585,0,0,0,0,0,12.0,12.0,40.0,2010,MIS4_to_MIS8,illinois,1,2009-2010,1,0,0,0,retention
32195969700884,1,1.0,7,4,2,8500,85001,1,1,33,17,37900,0,2.0,1.0,,3,2,53,,2,40,1,,1,0,0,5,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,2.0,0.0,1,2.0,,1.0,1244.0,497.6,2.0,2.0,,,,10264.8398,2533.7481,,,0.0,0.0,0,0,20797,1,,,2.0,,,,2526.149,5370.0,5610.0,-1,,,,,,,11209.0,2009,588,585,,,,,,13.0,17.0,22.0,2009,1.0,7,8,2,8500,85001,1,33,17,37900,0,2.0,1.0,,3,2,54,,2,40,1,,0,0,5,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,2.0,0.0,1,2.0,,1.0,1100.0,440.0,2.0,2.0,,,,13037.1018,3297.9676,0,0,0.0,0.0,0,0,21650,1,,,3.0,,,,3293.7994,5370.0,4760.0,-1,,,,,,,11408.0,2010,600,585,0,0,0,0,0,14.0,16.0,22.0,2010,MIS4_to_MIS8,illinois,1,2009-2010,1,0,0,0,retention
101023006031721,1,2.0,1,4,2,8500,85001,1,1,33,17,16980,111,2.0,1.0,,7,3,32,1.0,2,43,1,,2,1,2,1,2,57,57,120,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,2.0,0.0,1,2.0,2.0,2.0,,769.23,1.0,,,,,13854.3545,3418.4938,1.0,1.0,0.0,,0,0,53939,2,,,,1.0,1.0,,3398.1054,7860.0,2860.0,-1,,,,,,,11248.0,2009,588,585,1.0,0.0,0.0,0.0,1.0,18.0,9.0,40.0,2009,2.0,1,8,2,8500,85001,1,33,17,16980,111,2.0,1.0,,7,3,33,1.0,2,43,1,,1,2,1,2,57,57,120,1,0,0,1.0,1.0,,40.0,4.0,32.0,,,4.0,,,4.0,3.0,0.0,1,2.0,2.0,2.0,,807.69,1.0,,,,,13007.9843,3146.895,2,1,0.0,,0,0,34103,2,,,,2.0,,,3135.9162,7860.0,2860.0,-1,,,,,,,11453.0,2010,600,585,0,1,0,0,1,16.0,9.0,40.0,2010,MIS4_to_MIS8,illinois,1,2009-2010,1,0,0,0,retention
108023006022781,1,1.0,1,4,2,8500,85001,1,1,33,17,16980,0,2.0,1.0,,7,1,32,2.0,2,44,1,,1,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,10.0,24.0,,,10.0,,,4.0,3.0,0.0,1,2.0,2.0,2.0,,884.61,1.0,,,,,13854.3545,3418.4938,2.0,1.0,0.0,,0,0,20834,1,,,,,,2.0,3398.1054,7860.0,2310.0,-1,,,,,,,11258.0,2009,588,585,0.0,1.0,0.0,0.0,1.0,18.0,8.0,40.0,2009,1.0,1,8,2,8500,85001,1,33,17,16980,0,2.0,1.0,,7,1,33,2.0,2,44,1,,1,1,1,2,57,57,57,1,0,0,1.0,4.0,,,,,,,,30.0,2.0,11.0,3.0,0.0,2,,,,,,,,,,,12701.6156,3146.895,5,2,,,0,0,8726,1,,,,,,2.0,3138.458,7860.0,2310.0,-1,,,,,,,11465.0,2010,600,585,1,1,0,0,1,18.0,8.0,40.0,2010,MIS4_to_MIS8,illinois,1,2009-2010,1,0,0,0,retention
108023006022781,1,1.0,1,4,2,8500,85001,1,1,33,17,16980,0,2.0,1.0,,7,3,33,1.0,1,44,1,,2,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,10.0,24.0,,,10.0,,,4.0,3.0,0.0,1,2.0,2.0,2.0,,1115.38,1.0,,,,,11684.7576,3045.9696,2.0,1.0,0.0,,0,0,20834,2,,,,,,2.0,3000.8577,7860.0,2310.0,-1,,,,,,,11259.0,2009,588,585,0.0,1.0,0.0,0.0,1.0,18.0,8.0,40.0,2009,1.0,1,8,2,8500,85001,1,33,17,16980,0,2.0,1.0,,7,3,34,1.0,1,44,1,,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,50.0,,50.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,1153.84,1.0,,,,,10661.5573,2695.7992,5,2,0.0,,0,0,8726,2,,,,,,2.0,2682.2365,7860.0,2310.0,-1,,,,,,,11466.0,2010,600,585,1,1,0,0,1,18.0,8.0,40.0,2010,MIS4_to_MIS8,illinois,1,2009-2010,0,1,0,1,retention
171395023908394,1,1.0,6,4,2,8500,85001,1,1,33,17,16980,0,2.0,1.0,,7,2,27,,1,40,2,,1,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,-4.0,13.0,24.0,,,13.0,,,4.0,3.0,0.0,1,1.0,2.0,1.0,1900.0,456.0,1.0,,,,,16066.4152,3664.3584,,,1.0,1.0,0,42,20838,1,,,1.0,,,,3596.0478,9470.0,3740.0,-1,,,,,,,11265.0,2009,588,585,,,,,,12.0,12.0,51.0,2009,1.0,6,8,2,8500,85001,1,33,17,16980,0,2.0,1.0,,7,2,28,,1,40,2,,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,48.0,,48.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1153.84,2.0,2.0,,,,17094.7545,4233.0899,0,0,0.0,,0,0,55308,1,,,1.0,,,,4184.7809,9470.0,3740.0,-1,,,,,,,11473.0,2010,600,585,0,0,0,0,0,12.0,12.0,51.0,2010,MIS4_to_MIS8,illinois,1,2009-2010,1,0,0,0,retention
