hhid,intmonth,hurespli_t,hrhtype_t,minsamp_x,hrlonglk_t,hrsample_t,hrhhid2_t,serial_t,hhnum,stfips_t,cbsafips_t,county_t,centcity_t,smsastat_t,icntcity_t,smsa04_t,relref95_t,age_t,spouse_t,sex_t,grade92_t,race_t,ethnic_t,lineno,famnum_t,pfamrel_t,marital_t,prpertyp_t,penatvty_t,pemntvty_t,pefntvty_t,prcitshp_t,prcitflg_t,peinusyr_t,selfproxy_t,lfsr94_t,absent94_t,uhourse_t,reason94_t,hourslw_t,laydur_t,dwrsn_t,why3594_t,prunedur_t,untype_t,ftpt94_t,class94_t,agri_t,eligible_t,otc_t,ernpdh2_t,paidhre_t,earnhre_t,earnwke_t,unionmme_t,unioncov_t,schenr_t,studftpt_t,schlvl_t,earnwt_t,weight_t,chldpres_t,ownchild_t,i25d_t,i25c_t,i25a_t,i25b_t,qstnum_t,occurnum_t,ged_t,gedhigr_t,yrcoll_t,grprof_t,gr6cor_t,ms123_t,cmpwgt_t,ind02_t,occ2012_t,occ002_t,vet1_t,vet2_t,vet3_t,vet4_t,linedad_t,linemom_t,recnum_t,year_t,ym_file_t,ym_t,ch02_t,ch35_t,ch613_t,ch1417_t,ch05_t,ihigrdc_t,docc00_t,dind02_t,year_file_x,hurespli_t1,hrhtype_t1,minsamp_y,hrlonglk_t1,hrsample_t1,hrhhid2_t1,serial_t1,stfips_t1,cbsafips_t1,county_t1,centcity_t1,smsastat_t1,icntcity_t1,smsa04_t1,relref95_t1,age_t1,spouse_t1,sex_t1,grade92_t1,race_t1,ethnic_t1,famnum_t1,pfamrel_t1,marital_t1,prpertyp_t1,penatvty_t1,pemntvty_t1,pefntvty_t1,prcitshp_t1,prcitflg_t1,peinusyr_t1,selfproxy_t1,lfsr94_t1,absent94_t1,uhourse_t1,reason94_t1,hourslw_t1,laydur_t1,dwrsn_t1,why3594_t1,prunedur_t1,untype_t1,ftpt94_t1,class94_t1,agri_t1,eligible_t1,otc_t1,ernpdh2_t1,paidhre_t1,earnhre_t1,earnwke_t1,unionmme_t1,unioncov_t1,schenr_t1,studftpt_t1,schlvl_t1,earnwt_t1,weight_t1,chldpres_t1,ownchild_t1,i25d_t1,i25c_t1,i25a_t1,i25b_t1,qstnum_t1,occurnum_t1,ged_t1,gedhigr_t1,yrcoll_t1,grprof_t1,gr6cor_t1,ms123_t1,cmpwgt_t1,ind02_t1,occ2012_t1,occ002_t1,vet1_t1,vet2_t1,vet3_t1,vet4_t1,linedad_t1,linemom_t1,recnum_t1,year_t1,ym_file_t1,ym_t1,ch02_t1,ch35_t1,ch613_t1,ch1417_t1,ch05_t1,ihigrdc_t1,docc00_t1,dind02_t1,year_file_y,pair_type,state,illinois,pair,stayed_state_local,exited_state_local,moved_to_federal,moved_to_private,analytic_sample
10710123981511,1,2.0,1,4,2,301,3011,1,1,17,16980,0,1.0,1.0,2.0,7,1,47,2.0,2,40,1,,1,1,1,1,2,57,57,57,1,0,0,2.0,1.0,,-4.0,6.0,30.0,,,6.0,,,4.0,3.0,0.0,1,2.0,2.0,1.0,1000.0,300.0,2.0,2.0,2.0,,,12401.5553,3110.6443,4,1,1.0,1.0,0,42,31032,1,,,2.0,,,,3129.794,7860.0,4020.0,-1,,,,,,,11587.0,2015,660,657,0,0,0,1,0,13.0,13.0,40.0,2015,1.0,1,8,2,301,3011,1,17,16980,0,1.0,1.0,2.0,7,1,48,2.0,2,40,1,,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,30.0,,30.0,,,18.0,,,7.0,3.0,0.0,1,2.0,,1.0,1350.0,405.0,2.0,2.0,2.0,,,11572.7889,2945.4926,0,0,1.0,1.0,0,42,50742,1,,,3.0,,,,2950.9751,7860.0,4600.0,-1,,,,,,,11415.0,2016,672,657,0,0,0,0,0,14.0,15.0,40.0,2016,MIS4_to_MIS8,illinois,1,2015-2016,1,0,0,0,retention
71694140101202,1,2.0,1,4,2,301,3011,1,1,17,16980,0,1.0,1.0,2.0,7,1,61,2.0,1,44,1,,1,1,1,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,673.0,1.0,,,,,14864.7792,3719.9593,0,0,1.0,,0,42,30900,1,,,,,,,3755.7323,7860.0,2310.0,4430,,,,,,,11611.0,2015,660,657,0,0,0,0,0,,8.0,40.0,2015,1.0,1,8,2,301,3011,1,17,16980,0,1.0,1.0,2.0,7,1,62,2.0,1,44,1,,1,1,1,2,57,57,57,1,0,0,1.0,4.0,,,,,,,,15.0,3.0,12.0,4.0,0.0,2,,,,,,,,,,,13671.0105,3254.2194,0,0,,,0,0,33120,1,,,,,,,3320.1953,7280.0,5240.0,-1,,,,,,,11455.0,2016,672,657,0,0,0,0,0,,17.0,36.0,2016,MIS4_to_MIS8,illinois,1,2015-2016,0,1,0,1,retention
110009811115237,1,2.0,1,4,2,301,3011,1,1,17,16980,0,1.0,1.0,2.0,7,3,44,1.0,2,44,4,,2,1,2,1,2,210,210,210,3,10,5,1.0,2.0,14.0,-4.0,,,,,,,,5.0,3.0,0.0,1,2.0,2.0,1.0,1600.0,1403.0,2.0,2.0,2.0,,,14721.817,3567.7999,0,0,1.0,1.0,0,42,31031,2,,,,,,,3586.7565,7860.0,2310.0,-1,,,,,,,11650.0,2015,660,657,0,0,0,0,0,,8.0,40.0,2015,2.0,1,8,2,301,3011,1,17,16980,0,1.0,1.0,2.0,7,3,45,1.0,2,44,4,,1,2,1,2,210,210,210,3,10,23,1.0,7.0,,,,,,11.0,,,,1.0,3.0,0.0,2,,,,,,,,2.0,,,12805.321,3345.7557,0,0,,,0,0,21007,2,,,,,,,3248.8669,7860.0,2310.0,-1,,,,,,,11486.0,2016,672,657,0,0,0,0,0,,8.0,40.0,2016,MIS4_to_MIS8,illinois,1,2015-2016,1,0,0,0,retention
236097273102311,1,1.0,1,4,2,301,3011,1,1,17,16980,0,1.0,1.0,1.0,7,3,55,1.0,2,44,1,,2,1,2,1,2,57,57,57,1,0,0,,1.0,,50.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,961.0,1.0,,,,,12414.8074,2998.54,0,0,1.0,,41,41,6570,2,,,,,,,3026.2222,7870.0,2430.0,-1,,,,,,,11719.0,2015,660,657,0,0,0,0,0,,8.0,40.0,2015,2.0,1,8,2,301,3011,1,17,16980,0,1.0,1.0,1.0,7,3,56,1.0,2,44,1,,1,2,1,2,57,57,57,1,0,0,,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,830.0,1.0,,,,,11961.0926,2924.9647,0,0,1.0,,41,41,43061,2,,,,,,,2944.4233,7860.0,2320.0,-1,,,,,,,11567.0,2016,672,657,0,0,0,0,0,,8.0,40.0,2016,MIS4_to_MIS8,illinois,1,2015-2016,1,0,0,0,retention
271572003010000,1,1.0,1,4,2,301,3011,1,1,17,37900,0,1.0,1.0,,3,3,43,1.0,2,44,1,,2,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,80.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1250.0,2.0,2.0,2.0,,,12857.5871,3101.687,3,2,0.0,,0,0,49123,2,,,,,,,3132.564,8570.0,2400.0,2550,,,,,,,11731.0,2015,660,657,0,0,1,0,0,,8.0,44.0,2015,1.0,1,8,2,301,3011,1,17,37900,0,1.0,1.0,,3,3,44,1.0,2,44,1,,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,45.0,,45.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1269.23,2.0,2.0,2.0,,,11870.6376,2942.5784,3,2,0.0,,0,0,33214,2,,,,,,,2980.9732,8570.0,2400.0,-1,,,,,,,11582.0,2016,672,657,0,0,1,0,0,,8.0,44.0,2016,MIS4_to_MIS8,illinois,1,2015-2016,1,0,0,0,retention
749390133281001,1,1.0,1,4,2,301,3011,1,1,17,16980,0,1.0,1.0,,7,3,61,1.0,2,43,1,,2,1,2,1,2,57,57,57,1,0,0,1.0,1.0,,-4.0,,16.0,,,21.0,,,7.0,3.0,0.0,1,2.0,2.0,2.0,,57.69,1.0,,,,,12181.7522,3126.7411,0,0,0.0,,0,0,18398,2,,,,,,,3070.607,7860.0,2550.0,-1,,,,,,,11854.0,2015,660,657,0,0,0,0,0,,8.0,40.0,2015,2.0,1,8,2,301,3011,1,17,16980,0,1.0,1.0,,7,3,63,1.0,2,43,1,,1,2,1,2,57,57,57,1,0,0,1.0,5.0,,,,,,,,,,1.0,3.0,0.0,2,,,,,,,,,,,12317.7469,3001.7764,0,0,,,0,0,43039,2,,,,,,,3083.1635,7860.0,230.0,-1,,,,,,,11690.0,2016,672,657,0,0,0,0,0,,1.0,40.0,2016,MIS4_to_MIS8,illinois,1,2015-2016,1,0,0,0,retention
750320020701001,1,1.0,7,4,2,301,3011,1,1,17,37900,0,1.0,1.0,,3,14,59,,2,43,1,,2,0,0,3,2,57,57,57,1,0,0,2.0,1.0,,40.0,8.0,20.0,,,8.0,,,4.0,2.0,0.0,1,2.0,2.0,2.0,,2307.69,2.0,2.0,,,,12785.0862,3087.9732,0,0,0.0,,0,0,52986,2,,,,,,,3116.4811,9470.0,3820.0,-1,,,,,,,11857.0,2015,660,657,0,0,0,0,0,,12.0,51.0,2015,1.0,7,8,2,301,3011,1,17,37900,0,1.0,1.0,,3,14,60,,2,43,1,,0,0,4,2,57,57,57,1,0,0,2.0,3.0,,,,,26.0,,,26.0,1.0,11.0,2.0,0.0,2,,,,,,,,,,,11604.2227,2774.6635,0,0,,,0,0,43159,2,,,,,,,2597.7659,9470.0,3820.0,-1,,,,,,,11693.0,2016,672,657,0,0,0,0,0,,12.0,51.0,2016,MIS4_to_MIS8,illinois,1,2015-2016,1,0,0,0,retention
808113572710688,1,1.0,6,4,2,301,3011,1,1,17,16980,0,1.0,1.0,1.0,7,2,69,,1,44,1,,1,0,0,4,2,57,57,57,1,0,0,1.0,7.0,,,,,,11.0,,,,1.0,3.0,0.0,2,,,,,,,,,,,13855.3087,3467.2457,0,0,,,0,0,15354,1,,,,,,,3496.4437,9470.0,3820.0,-1,4.0,,,,,,11891.0,2015,660,657,0,0,0,0,0,,12.0,51.0,2015,1.0,6,8,2,301,3011,1,17,16980,0,1.0,1.0,1.0,7,2,70,,1,44,1,,0,0,4,2,57,57,57,1,0,0,1.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,14658.8073,3636.7912,0,0,,,0,0,8566,1,,,,,,,3651.9383,,,-1,4.0,,,,,,11704.0,2016,672,657,0,0,0,0,0,,,,2016,MIS4_to_MIS8,illinois,1,2015-2016,0,1,0,0,retention
10710097800149,1,2.0,7,4,2,301,3011,1,1,17,16980,0,2.0,1.0,,7,2,56,,2,44,1,,1,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,653.0,1.0,,,,,11987.4399,2895.3182,0,0,1.0,,0,0,57518,1,,,,,,,2922.0475,7860.0,2310.0,-1,,,,,,,11956.0,2015,660,657,0,0,0,0,0,,8.0,40.0,2015,1.0,7,8,2,301,3011,1,17,16980,0,2.0,1.0,,7,2,57,,2,44,1,,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1730.0,1.0,,,,,11603.5896,2837.541,0,0,1.0,,0,42,20877,1,,,,,,,2856.418,7860.0,2310.0,-1,,,,,,,11750.0,2016,672,657,0,0,0,0,0,,8.0,40.0,2016,MIS4_to_MIS8,illinois,1,2015-2016,1,0,0,0,retention
10710169342213,1,2.0,1,4,2,301,3011,1,1,17,16980,97,2.0,1.0,,7,1,33,2.0,1,46,1,,1,1,1,1,2,57,362,57,1,0,0,2.0,1.0,,50.0,,45.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1692.0,1.0,,2.0,,,11799.2443,2911.2688,1,1,1.0,,0,0,57546,1,,,,,,,2926.7018,9470.0,2100.0,-1,1.0,2.0,,,,,11966.0,2015,660,657,1,0,0,0,1,18.0,7.0,51.0,2015,1.0,1,8,2,301,3011,1,17,16980,97,2.0,1.0,,7,1,34,2.0,1,46,1,,1,1,1,2,57,362,57,1,0,0,1.0,1.0,,50.0,,50.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1153.84,2.0,2.0,2.0,,,10807.2426,2680.9016,1,2,0.0,,0,0,50700,1,,,,,,,2688.2351,7270.0,2100.0,-1,1.0,2.0,,,,,11756.0,2016,672,657,1,0,0,0,1,18.0,7.0,36.0,2016,MIS4_to_MIS8,illinois,1,2015-2016,1,0,0,0,retention
