year_pair,sample,coef,std_err,z_score,p_value,nobs
08-09,all_states,-0.0019866677540620976,0.0045586832881403415,-0.435798591060388,0.6629828661873144,9369
08-09,no_ny,0.00021091978999270467,0.005066698883677216,0.04162864121888119,0.9667947406356794,6424
08-09,no_indiana,-0.0003305367395607103,0.004709663852240424,-0.07018266057427248,0.9440482751481256,8053
08-09,no_pa,-0.005391063491157925,0.005070119957028623,-1.06330097450345,0.2876454833961405,6667
08-09,no_ny_pa,-0.009514500151508589,0.0073798931636790705,-1.2892463265369767,0.19731246413647596,3722
08-09,no_ny_in,0.004404803945549509,0.005488779943512319,0.8025105744594374,0.42225767402512526,5108
08-09,no_in_pa,-0.004288210816377572,0.005618178970283849,-0.7632741568147157,0.44529991109537326,5351
10-11,all_states,0.0007767928145050744,0.004560639744090869,0.17032540566519194,0.8647542323426413,9017
10-11,no_ny,0.007621948608919071,0.004897626689297005,1.556253486117193,0.11964782730827381,6015
10-11,no_indiana,0.0015051166744487498,0.004739065151934675,0.31759780171713853,0.7507900418479749,7849
10-11,no_pa,-0.005135597439415912,0.005162483224453359,-0.9947920828274858,0.3198373976432419,6570
10-11,no_ny_pa,-0.002199031644779757,0.007265234886600514,-0.30267867166077395,0.7621347533476521,3568
10-11,no_ny_in,0.01222308456336615,0.005206874354197433,2.3474898243920017,0.018900389406395605,4847
10-11,no_in_pa,-0.00578158659290712,0.005791384491221743,-0.9983081941236204,0.3181299354202216,5402
11-12,all_states,-0.007062950518270192,0.0045081842015549396,-1.5666951931187894,0.11718595490680865,8824
11-12,no_ny,-0.0023480933456953663,0.0050003565107847245,-0.469585186702392,0.6386514100786407,5937
11-12,no_indiana,-0.006805044414357461,0.00471556591982083,-1.4431023826332219,0.1489916322666641,7643
11-12,no_pa,-0.011298447216491857,0.005148582536970111,-2.1944772440495592,0.02820111813462598,6409
11-12,no_ny_pa,-0.011838062503568197,0.007468098366693398,-1.585150853979667,0.11293206363083579,3522
11-12,no_ny_in,0.0009488872595485066,0.0054163999940544955,0.17518781120118282,0.8609320614776668,4756
11-12,no_in_pa,-0.011877612378297247,0.005841831220088265,-2.0332001954205356,0.04203230133554439,5228
12-13,all_states,0.0120360460451443,0.004890572596542154,2.4610709293333675,0.013852297738960994,8803
12-13,no_ny,0.01874333805356168,0.005179846677606333,3.6185121336879402,0.0002963016098861868,5934
12-13,no_indiana,0.012561449212349012,0.005090726770632492,2.467515892782501,0.013605418164945383,7662
12-13,no_pa,0.00562978124465063,0.005344285883412583,1.0534206753654698,0.2921482324292902,6350
12-13,no_ny_pa,0.0048439808724792515,0.007254997320158591,0.6676750739824345,0.5043410243042319,3481
12-13,no_ny_in,0.022361949072066498,0.005599293661290362,3.9937089255849405,6.504770973168955e-05,4793
12-13,no_in_pa,0.005146731484907879,0.005943639090420756,0.8659226118225725,0.3865326020797114,5209
