hhid,intmonth,hurespli_t,hrhtype_t,minsamp_x,hrlonglk_t,hrsample_t,hrhhid2_t,serial_t,hhnum,state_t,stfips,cbsafips_t,county_t,centcity_t,smsastat_t,icntcity_t,smsa04_t,relref95_t,age_t,spouse_t,sex_t,grade92_t,race_t,ethnic_t,lineno,famnum_t,pfamrel_t,marital_t,prpertyp_t,penatvty_t,pemntvty_t,pefntvty_t,prcitshp_t,prcitflg_t,peinusyr_t,selfproxy_t,lfsr94_t,absent94_t,uhourse_t,reason94_t,hourslw_t,laydur_t,dwrsn_t,why3594_t,prunedur_t,untype_t,ftpt94_t,class94_t,agri_t,eligible_t,otc_t,ernpdh2_t,paidhre_t,earnhre_t,earnwke_t,unionmme_t,unioncov_t,schenr_t,studftpt_t,schlvl_t,earnwt_t,weight_t,chldpres_t,ownchild_t,i25d_t,i25c_t,i25a_t,i25b_t,qstnum_t,occurnum_t,ged_t,gedhigr_t,yrcoll_t,grprof_t,gr6cor_t,ms123_t,cmpwgt_t,ind02_t,occ2012_t,occ002_t,vet1_t,vet2_t,vet3_t,vet4_t,linedad_t,linemom_t,recnum_t,year_t,ym_file_t,ym_t,ch02_t,ch35_t,ch613_t,ch1417_t,ch05_t,ihigrdc_t,docc00_t,dind02_t,year_file_x,hurespli_t1,hrhtype_t1,minsamp_y,hrlonglk_t1,hrsample_t1,hrhhid2_t1,serial_t1,state_t1,cbsafips_t1,county_t1,centcity_t1,smsastat_t1,icntcity_t1,smsa04_t1,relref95_t1,age_t1,spouse_t1,sex_t1,grade92_t1,race_t1,ethnic_t1,famnum_t1,pfamrel_t1,marital_t1,prpertyp_t1,penatvty_t1,pemntvty_t1,pefntvty_t1,prcitshp_t1,prcitflg_t1,peinusyr_t1,selfproxy_t1,lfsr94_t1,absent94_t1,uhourse_t1,reason94_t1,hourslw_t1,laydur_t1,dwrsn_t1,why3594_t1,prunedur_t1,untype_t1,ftpt94_t1,class94_t1,agri_t1,eligible_t1,otc_t1,ernpdh2_t1,paidhre_t1,earnhre_t1,earnwke_t1,unionmme_t1,unioncov_t1,schenr_t1,studftpt_t1,schlvl_t1,earnwt_t1,weight_t1,chldpres_t1,ownchild_t1,i25d_t1,i25c_t1,i25a_t1,i25b_t1,qstnum_t1,occurnum_t1,ged_t1,gedhigr_t1,yrcoll_t1,grprof_t1,gr6cor_t1,ms123_t1,cmpwgt_t1,ind02_t1,occ2012_t1,occ002_t1,vet1_t1,vet2_t1,vet3_t1,vet4_t1,linedad_t1,linemom_t1,recnum_t1,year_t1,ym_file_t1,ym_t1,ch02_t1,ch35_t1,ch613_t1,ch1417_t1,ch05_t1,ihigrdc_t1,docc00_t1,dind02_t1,year_file_y,pair_type,state,illinois,pair,joined_state_local,from_federal,from_private,analytic_sample
3906691195777,1,1.0,7,4,2,9100,91001,1,1,33,17,16980,0,1.0,1.0,1.0,7,2,65,,2,43,1,,1,0,0,5,2,163,164,164,4,0,11,1.0,6.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,10703.6984,2739.0218,0,0,,,0,0,9576,1,,,,2.0,,,2725.8221,,,-1,,,,,,,11115.0,2013,636,633,0,0,0,0,0,16.0,,,2013,1.0,7,8,2,9100,91001,1,33.0,16980,0,1.0,1.0,1.0,7,2,67,,2,43,1,,0,0,5,2,163,164,164,4,0,11,1.0,6.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,10816.3397,2716.6622,0,0,,,0,0,8131,1,,,,2.0,,,2718.2607,,,-1,,,,,,,10869.0,2014,648,633,0,0,0,0,0,16.0,,,2014,MIS4_to_MIS8,illinois,1,2013-2014,0,0,0,recruitment
18351370993090,1,2.0,1,4,2,9100,91001,1,1,33,17,40420,0,1.0,1.0,,3,1,39,2.0,2,40,1,,1,1,1,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,,1.0,1300.0,520.0,2.0,2.0,2.0,,,10392.8478,2642.3963,8,2,0.0,0.0,0,0,45617,1,,,1.0,,,,2665.184,4170.0,5810.0,-1,,,,,,,11116.0,2013,636,633,0,1,1,0,1,12.0,17.0,21.0,2013,1.0,1,8,2,9100,91001,1,33.0,40420,0,1.0,1.0,,3,1,40,2.0,2,40,1,,1,1,1,2,57,57,57,1,0,0,1.0,4.0,,,,,,,,20.0,3.0,11.0,4.0,0.0,2,,,,,,,,2.0,,,12217.7321,2902.3591,8,2,,,0,0,62342,1,,,3.0,,,,2869.2704,3990.0,5810.0,-1,,,,,,,10873.0,2014,648,633,0,1,1,0,1,14.0,17.0,13.0,2014,MIS4_to_MIS8,illinois,1,2013-2014,0,0,1,recruitment
18351370993090,1,2.0,1,4,2,9100,91001,1,1,33,17,40420,0,1.0,1.0,,3,3,40,1.0,1,40,1,,2,1,2,1,2,57,57,57,1,0,0,1.0,1.0,,45.0,,45.0,,,,,,2.0,4.0,0.0,1,2.0,,1.0,2000.0,800.0,2.0,2.0,2.0,,,10546.1181,2597.6004,8,2,0.0,0.0,0,0,45617,2,,,3.0,,,,2608.5638,6680.0,7020.0,-1,,,,,,,11117.0,2013,636,633,0,1,1,0,1,14.0,20.0,29.0,2013,1.0,1,8,2,9100,91001,1,33.0,40420,0,1.0,1.0,,3,3,41,1.0,1,40,1,,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,45.0,,45.0,,,,,,2.0,4.0,0.0,1,2.0,,1.0,1850.0,832.5,2.0,2.0,2.0,,,10661.195,2686.4563,8,2,1.0,1.0,0,42,62342,2,,,4.0,,,,2679.6065,770.0,1050.0,-1,,,,,,,10874.0,2014,648,633,0,1,1,0,1,15.0,3.0,4.0,2014,MIS4_to_MIS8,illinois,1,2013-2014,0,0,1,recruitment
34371370972794,1,1.0,6,4,2,9100,91001,1,1,33,17,16980,0,1.0,1.0,1.0,7,2,54,,1,43,1,,1,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,15.0,,15.0,,,22.0,,,7.0,4.0,0.0,1,2.0,,1.0,2900.0,435.0,1.0,,2.0,,,11741.0313,2926.2626,0,0,1.0,1.0,0,42,22993,1,,,,2.0,,,2936.796,8560.0,2700.0,-1,,,,,,,11121.0,2013,636,633,0,0,0,0,0,16.0,9.0,44.0,2013,1.0,6,8,2,9100,91001,1,33.0,16980,0,1.0,1.0,1.0,7,2,55,,1,43,1,,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,7.0,0.0,2,,,,,,,,,,,15285.6481,3667.8561,0,0,,,0,0,42873,1,,,,2.0,,,3693.6389,8560.0,2750.0,-1,,,,,,,10877.0,2014,648,633,0,0,0,0,0,16.0,9.0,44.0,2014,MIS4_to_MIS8,illinois,1,2013-2014,0,0,1,recruitment
40421370996694,1,1.0,1,4,2,9100,91001,1,1,33,17,37900,0,1.0,1.0,,3,1,50,2.0,1,40,1,,1,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,50.0,5.0,1.0,,,5.0,,,4.0,4.0,0.0,1,2.0,,1.0,1900.0,950.0,2.0,2.0,2.0,,,12149.7603,3028.1317,4,1,0.0,0.0,0,0,9832,1,,,3.0,,,,3039.0318,6170.0,9130.0,-1,,,,,,,11127.0,2013,636,633,0,0,0,1,0,14.0,22.0,23.0,2013,1.0,1,8,2,9100,91001,1,33.0,37900,0,1.0,1.0,,3,1,51,2.0,1,40,1,,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,55.0,,60.0,,,,,,2.0,4.0,0.0,1,2.0,,1.0,1900.0,1045.0,2.0,2.0,2.0,,,14855.2698,3623.7808,0,0,0.0,0.0,0,0,21297,1,,,2.0,,,,3617.4812,6170.0,9130.0,-1,,,,,,,10882.0,2014,648,633,0,0,0,0,0,13.0,22.0,23.0,2014,MIS4_to_MIS8,illinois,1,2013-2014,0,0,1,recruitment
40421370996694,1,1.0,1,4,2,9100,91001,1,1,33,17,37900,0,1.0,1.0,,3,3,47,1.0,2,41,1,,2,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,45.0,5.0,24.0,,,5.0,,,4.0,4.0,0.0,1,2.0,,1.0,2700.0,1215.0,2.0,2.0,2.0,,,13244.927,3295.7179,4,1,0.0,0.0,0,0,9832,2,,,3.0,,,,3331.4704,4180.0,5120.0,-1,,,,,,,11128.0,2013,636,633,0,0,0,1,0,14.0,17.0,21.0,2013,1.0,1,8,2,9100,91001,1,33.0,37900,0,1.0,1.0,,3,3,48,1.0,2,41,1,,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,50.0,,50.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,1153.84,2.0,2.0,2.0,,,11970.1734,2963.626,0,0,0.0,,0,0,21297,2,,,3.0,,,,2972.4016,2670.0,800.0,-1,,,,,,,10883.0,2014,648,633,0,0,0,0,0,14.0,2.0,6.0,2014,MIS4_to_MIS8,illinois,1,2013-2014,0,0,1,recruitment
40421370996694,1,1.0,1,4,2,9100,91001,1,1,33,17,37900,0,1.0,1.0,,3,4,17,,1,37,1,,4,1,3,7,2,57,57,57,1,0,0,2.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,1.0,1.0,1.0,10812.0548,2852.105,0,0,,,0,0,9832,4,,,,,,,2797.1996,,,-1,,,,,2.0,1.0,11129.0,2013,636,633,0,0,0,0,0,11.0,,,2013,1.0,1,8,2,9100,91001,1,33.0,37900,0,1.0,1.0,,3,4,18,,1,39,1,,1,3,7,2,57,57,57,1,0,0,2.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,1.0,1.0,2.0,12059.465,3022.4467,0,0,,,0,0,21297,4,1.0,,,,,,3047.1346,,,-1,,,,,2.0,1.0,10884.0,2014,648,633,0,0,0,0,0,12.0,,,2014,MIS4_to_MIS8,illinois,1,2013-2014,0,0,0,recruitment
40421370996694,1,1.0,1,4,2,9100,91001,1,1,33,17,37900,0,1.0,1.0,,3,4,20,,2,40,1,,3,1,3,7,2,57,57,57,1,0,0,2.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,1.0,1.0,2.0,13232.6497,3226.7027,0,0,,,0,0,9832,3,,,3.0,,,,3137.9714,,,-1,,,,,2.0,1.0,11130.0,2013,636,633,0,0,0,0,0,14.0,,,2013,1.0,1,8,2,9100,91001,1,33.0,37900,0,1.0,1.0,,3,4,21,,2,40,1,,1,3,7,2,57,57,57,1,0,0,2.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,1.0,1.0,2.0,12671.0479,3417.4505,0,0,,,0,0,21297,3,,,3.0,,,,3301.223,,,-1,,,,,2.0,1.0,10885.0,2014,648,633,0,0,0,0,0,14.0,,,2014,MIS4_to_MIS8,illinois,1,2013-2014,0,0,0,recruitment
80971090513339,1,1.0,4,4,2,9100,91001,1,1,33,17,40420,0,1.0,1.0,,3,1,58,,2,42,1,,1,1,1,7,2,57,57,57,1,0,0,1.0,1.0,,40.0,5.0,24.0,,,5.0,,,4.0,4.0,0.0,1,2.0,,1.0,2000.0,800.0,2.0,2.0,,,,11702.9954,2917.1436,0,0,0.0,0.0,0,0,23361,1,,,3.0,,,,2932.8162,8190.0,3500.0,-1,,,,,,,11140.0,2013,636,633,0,0,0,0,0,14.0,10.0,41.0,2013,1.0,4,8,2,9100,91001,1,33.0,40420,0,1.0,1.0,,3,1,59,,2,42,1,,1,1,7,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,1.0,,1.0,2200.0,1235.52,2.0,2.0,,,,10835.6509,2786.5266,0,0,1.0,1.0,0,42,43039,1,,,3.0,,,,2779.9587,8190.0,3500.0,-1,,,,,,,10890.0,2014,648,633,0,0,0,0,0,14.0,10.0,41.0,2014,MIS4_to_MIS8,illinois,1,2013-2014,0,0,1,recruitment
80971090513339,1,1.0,4,4,2,9100,91001,1,1,33,17,40420,0,1.0,1.0,,3,4,24,,1,39,1,,2,1,3,7,2,57,57,57,1,0,0,2.0,7.0,,,,,,,,,,1.0,4.0,0.0,2,,,,,,,,2.0,,,12030.4445,3137.2055,0,0,,,0,0,23361,2,1.0,,,,,,3047.2505,8090.0,4250.0,-1,,,,,1.0,,11141.0,2013,636,633,0,0,0,0,0,12.0,14.0,42.0,2013,1.0,4,8,2,9100,91001,1,33.0,40420,0,1.0,1.0,,3,4,26,,1,39,1,,1,3,7,2,57,57,57,1,0,0,2.0,6.0,,,,,,,,,,1.0,,,2,,,,,,,,2.0,,,10343.8343,2843.2276,0,0,,,0,0,43039,2,1.0,,,,,,2751.8936,,,-1,,,,,1.0,,10891.0,2014,648,633,0,0,0,0,0,12.0,,,2014,MIS4_to_MIS8,illinois,1,2013-2014,0,0,1,recruitment
