hhid,intmonth,hurespli_t,hrhtype_t,minsamp_x,hrlonglk_t,hrsample_t,hrhhid2_t,serial_t,hhnum,state_t,stfips,cbsafips_t,county_t,centcity_t,smsastat_t,icntcity_t,smsa04_t,relref95_t,age_t,spouse_t,sex_t,grade92_t,race_t,ethnic_t,lineno,famnum_t,pfamrel_t,marital_t,prpertyp_t,penatvty_t,pemntvty_t,pefntvty_t,prcitshp_t,prcitflg_t,peinusyr_t,selfproxy_t,lfsr94_t,absent94_t,uhourse_t,reason94_t,hourslw_t,laydur_t,dwrsn_t,why3594_t,prunedur_t,untype_t,ftpt94_t,class94_t,agri_t,eligible_t,otc_t,ernpdh2_t,paidhre_t,earnhre_t,earnwke_t,unionmme_t,unioncov_t,schenr_t,studftpt_t,schlvl_t,earnwt_t,weight_t,chldpres_t,ownchild_t,i25d_t,i25c_t,i25a_t,i25b_t,qstnum_t,occurnum_t,ged_t,gedhigr_t,yrcoll_t,grprof_t,gr6cor_t,ms123_t,cmpwgt_t,ind02_t,occ2012_t,occ002_t,vet1_t,vet2_t,vet3_t,vet4_t,linedad_t,linemom_t,recnum_t,year_t,ym_file_t,ym_t,ch02_t,ch35_t,ch613_t,ch1417_t,ch05_t,ihigrdc_t,docc00_t,dind02_t,year_file_x,hurespli_t1,hrhtype_t1,minsamp_y,hrlonglk_t1,hrsample_t1,hrhhid2_t1,serial_t1,cbsafips_t1,county_t1,centcity_t1,smsastat_t1,icntcity_t1,smsa04_t1,relref95_t1,age_t1,spouse_t1,sex_t1,grade92_t1,race_t1,ethnic_t1,famnum_t1,pfamrel_t1,marital_t1,prpertyp_t1,penatvty_t1,pemntvty_t1,pefntvty_t1,prcitshp_t1,prcitflg_t1,peinusyr_t1,selfproxy_t1,lfsr94_t1,absent94_t1,uhourse_t1,reason94_t1,hourslw_t1,laydur_t1,dwrsn_t1,why3594_t1,prunedur_t1,untype_t1,ftpt94_t1,class94_t1,agri_t1,eligible_t1,otc_t1,ernpdh2_t1,paidhre_t1,earnhre_t1,earnwke_t1,unionmme_t1,unioncov_t1,schenr_t1,studftpt_t1,schlvl_t1,earnwt_t1,weight_t1,chldpres_t1,ownchild_t1,i25d_t1,i25c_t1,i25a_t1,i25b_t1,qstnum_t1,occurnum_t1,ged_t1,gedhigr_t1,yrcoll_t1,grprof_t1,gr6cor_t1,ms123_t1,cmpwgt_t1,ind02_t1,occ2012_t1,occ002_t1,vet1_t1,vet2_t1,vet3_t1,vet4_t1,linedad_t1,linemom_t1,recnum_t1,year_t1,ym_file_t1,ym_t1,ch02_t1,ch35_t1,ch613_t1,ch1417_t1,ch05_t1,ihigrdc_t1,docc00_t1,dind02_t1,year_file_y,pair_type,state,illinois,pair,joined_state_local,from_federal,from_private,analytic_sample
7000861107487,1,1.0,1,4,2,9200,92001,1,1,33.0,17,16980,0,1.0,1.0,1.0,7,1,31,2.0,2,43,1,,1,1,1,1,2,57,57,57,1,0,0,1.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,2.0,,,11691.1992,2943.2824,1,1,,,0,0,33119,1,,,,2.0,,,2910.0777,,,-1,,,,,,,10870.0,2014,648,645,1,0,0,0,1,16.0,,,2014,2.0,1,8,2,9200,92001,1,16980,0,1.0,1.0,1.0,7,1,26,2.0,2,46,1,,1,1,1,2,57,57,116,1,0,0,1.0,1.0,,55.0,,50.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,1923.07,2.0,2.0,2.0,,,13314.3178,3296.2536,0,0,0.0,,0,0,15345,1,,,,,,,3353.2983,7270.0,2100.0,-1,,,,,,,11579.0,2015,660,645,0,0,0,0,0,18.0,7.0,36.0,2015,MIS4_to_MIS8,illinois,1,2014-2015,0,0,0,recruitment
7000861107487,1,1.0,1,4,2,9200,92001,1,1,33.0,17,16980,0,1.0,1.0,1.0,7,3,31,1.0,1,43,1,,2,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,55.0,,55.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,2884.61,2.0,1.0,2.0,,,10891.514,2717.6051,1,1,0.0,,0,0,33119,2,,,,2.0,,,2751.2827,6970.0,4820.0,-1,,,,,,,10871.0,2014,648,645,1,0,0,0,1,16.0,16.0,32.0,2014,2.0,1,8,2,9200,92001,1,16980,0,1.0,1.0,1.0,7,3,28,1.0,1,46,1,,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,55.0,,50.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,1692.3,2.0,2.0,2.0,,,11506.1334,2848.7342,0,0,0.0,,0,0,15345,2,,,,,,,2853.9982,7270.0,2100.0,-1,,,,,,,11580.0,2015,660,645,0,0,0,0,0,18.0,7.0,36.0,2015,MIS4_to_MIS8,illinois,1,2014-2015,0,0,1,recruitment
34371770972784,1,1.0,7,4,2,9200,92001,1,1,33.0,17,16980,0,1.0,1.0,1.0,7,2,51,,2,34,2,,1,0,0,7,2,57,57,57,1,0,0,1.0,3.0,,,,,52.0,,,52.0,1.0,11.0,4.0,0.0,2,,,,,,,,2.0,,,11041.4398,2804.0304,0,0,,,0,0,8192,1,,,,,,,2709.599,1190.0,7800.0,-1,,,,,,,10878.0,2014,648,645,0,0,0,0,0,7.5,21.0,14.0,2014,1.0,7,8,2,9200,92001,1,16980,0,1.0,1.0,1.0,7,2,53,,2,34,2,,0,0,7,2,57,57,57,1,0,0,1.0,4.0,,,,,,,,4.0,2.0,11.0,5.0,0.0,2,,,,,,,,2.0,,,16290.7036,3444.861,0,0,,,0,0,18370,1,,,,,,,3383.5732,9170.0,4950.0,-1,,,,,,,11607.0,2015,660,645,0,0,0,0,0,7.5,16.0,49.0,2015,MIS4_to_MIS8,illinois,1,2014-2015,0,0,1,recruitment
75881770978398,1,1.0,4,4,2,9200,92001,1,1,33.0,17,16980,0,1.0,1.0,1.0,7,1,68,,2,39,1,,1,1,1,4,2,128,128,128,4,0,13,1.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,,1.0,1000.0,400.0,2.0,2.0,,,,11747.5932,2716.6622,0,0,0.0,0.0,0,0,21158,1,1.0,,,,,,2696.9537,2980.0,8965.0,-1,,,,,2.0,,10886.0,2014,648,645,0,0,0,0,0,12.0,21.0,6.0,2014,1.0,4,8,2,9200,92001,1,16980,0,1.0,1.0,1.0,7,1,69,,2,39,1,,1,1,4,2,128,128,128,4,0,13,1.0,1.0,,40.0,,50.0,,,,,,2.0,4.0,0.0,1,2.0,1.0,1.0,1000.0,576.92,2.0,2.0,,,,12016.5089,2981.4153,0,0,0.0,0.0,0,0,57481,1,1.0,,,,,,2897.9381,3570.0,8220.0,-1,,,,,2.0,,11613.0,2015,660,645,0,0,0,0,0,12.0,21.0,10.0,2015,MIS4_to_MIS8,illinois,1,2014-2015,0,0,1,recruitment
75881770978398,1,1.0,4,4,2,9200,92001,1,1,33.0,17,16980,0,1.0,1.0,1.0,7,6,85,,2,36,1,,2,1,4,4,2,128,128,128,5,0,13,2.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,11045.024,2774.0992,0,0,,,0,0,21158,2,,,,,,,2775.7314,,,-1,,,,,,,10887.0,2014,648,645,0,0,0,0,0,10.0,,,2014,1.0,4,8,2,9200,92001,1,16980,0,1.0,1.0,1.0,7,6,85,,2,36,1,,1,4,4,2,128,128,128,5,0,13,2.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,11163.6781,2795.0545,0,0,,,0,0,57481,2,,,,,,,2796.7886,,,-1,,,,,,,11614.0,2015,660,645,0,0,0,0,0,10.0,,,2015,MIS4_to_MIS8,illinois,1,2014-2015,0,0,0,recruitment
76199139700590,1,1.0,7,4,2,9200,92001,1,1,33.0,17,16980,0,1.0,1.0,1.0,7,2,69,,2,43,1,,1,0,0,4,2,57,57,57,1,0,0,1.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,10816.3397,2716.6622,0,0,,,0,0,42930,1,,,,2.0,,,2718.2607,,,-1,,,,,,,10888.0,2014,648,645,0,0,0,0,0,16.0,,,2014,1.0,7,8,2,9200,92001,1,16980,0,1.0,1.0,1.0,7,2,70,,2,43,1,,0,0,4,2,57,57,57,1,0,0,1.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,10663.3154,2669.7785,0,0,,,0,0,18377,1,,,,,,,2671.4349,,,-1,,,,,,,11615.0,2015,660,645,0,0,0,0,0,,,,2015,MIS4_to_MIS8,illinois,1,2014-2015,0,0,0,recruitment
100974098217569,1,1.0,6,4,2,9200,92001,1,1,33.0,17,16980,0,1.0,1.0,,7,2,64,,1,40,1,,1,0,0,5,2,57,57,57,1,0,0,1.0,1.0,,40.0,,60.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,1153.84,2.0,2.0,,,,13227.8903,3474.7708,0,0,0.0,,0,0,4396,1,,,2.0,,,,3430.5914,7390.0,1410.0,430,4.0,,,,,,10899.0,2014,648,645,0,0,0,0,0,13.0,4.0,36.0,2014,1.0,6,8,2,9200,92001,1,16980,0,1.0,1.0,,7,2,65,,1,40,1,,0,0,5,2,57,57,57,1,0,0,1.0,1.0,,40.0,,60.0,,,,,,2.0,6.0,0.0,2,,,,,,,,,,,12600.5987,3331.1727,0,0,,,0,0,49095,1,,,2.0,,,,3197.6378,3370.0,2630.0,-1,4.0,,,,,,11626.0,2015,660,645,0,0,0,0,0,13.0,9.0,8.0,2015,MIS4_to_MIS8,illinois,1,2014-2015,0,0,1,recruitment
100974098217569,1,1.0,6,4,2,9200,92001,1,1,33.0,17,16980,0,1.0,1.0,,7,12,44,,1,39,2,,2,0,0,7,2,57,57,57,1,0,0,2.0,1.0,,-4.0,5.0,8.0,,,5.0,,,4.0,4.0,0.0,1,2.0,1.0,1.0,1486.0,961.0,2.0,2.0,2.0,,,15967.9898,4295.4129,0,0,1.0,1.0,0,0,4396,2,1.0,,,,,,4177.4064,7580.0,9620.0,-1,,,,,,,10900.0,2014,648,645,0,0,0,0,0,12.0,22.0,38.0,2014,1.0,6,8,2,9200,92001,1,16980,0,1.0,1.0,,7,12,45,,1,40,2,,0,0,7,2,57,57,57,1,0,0,2.0,1.0,,-4.0,10.0,10.0,,,10.0,,,4.0,7.0,0.0,2,,,,,,,,2.0,,,20284.9992,4430.8875,0,0,,,0,0,49095,2,,,1.0,,,,4529.5142,8560.0,9620.0,-1,,,,,,,11627.0,2015,660,645,0,0,0,0,0,12.0,22.0,44.0,2015,MIS4_to_MIS8,illinois,1,2014-2015,0,0,1,recruitment
108087406070701,1,1.0,1,4,2,9200,92001,1,1,33.0,17,16980,0,1.0,1.0,1.0,7,1,45,2.0,2,44,1,,1,1,1,1,2,57,57,57,1,0,0,1.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,2.0,,,11048.8194,2780.8071,3,4,,,0,0,50282,1,,,,,,2.0,2750.1818,,,-1,,,,,,,10902.0,2014,648,645,0,0,1,0,0,18.0,,,2014,2.0,1,8,2,9200,92001,1,16980,0,1.0,1.0,1.0,7,1,46,2.0,2,44,1,,1,1,1,2,57,57,57,1,0,0,1.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,2.0,,,11507.1339,2988.5662,10,4,,,0,0,28482,1,,,,,,,2941.8371,,,-1,,,,,,,11643.0,2015,660,645,0,0,1,1,0,,,,2015,MIS4_to_MIS8,illinois,1,2014-2015,0,0,0,recruitment
108087406070701,1,1.0,1,4,2,9200,92001,1,1,33.0,17,16980,0,1.0,1.0,1.0,7,3,49,1.0,1,43,1,,2,1,2,1,2,301,214,57,3,0,7,2.0,1.0,,40.0,,40.0,,,,,,2.0,6.0,0.0,2,,,,,,,,2.0,,,14477.0205,3496.1389,3,4,,,0,0,50282,2,,,,2.0,,,3498.2413,7070.0,410.0,-1,,,,,,,10903.0,2014,648,645,0,0,1,0,0,16.0,1.0,34.0,2014,2.0,1,8,2,9200,92001,1,16980,0,1.0,1.0,1.0,7,3,50,1.0,1,43,1,,1,2,1,2,301,214,57,3,0,7,2.0,1.0,,45.0,8.0,24.0,,,8.0,,,4.0,6.0,0.0,2,,,,,,,,2.0,,,13377.522,3388.1747,10,4,,,0,0,28482,2,,,,,,,3394.7966,7070.0,4920.0,-1,,,,,,,11644.0,2015,660,645,0,0,1,1,0,,16.0,34.0,2015,MIS4_to_MIS8,illinois,1,2014-2015,0,0,1,recruitment
