hhid,intmonth,hurespli_t,hrhtype_t,minsamp_x,hrlonglk_t,hrsample_t,hrhhid2_t,serial_t,hhnum,stfips,cbsafips_t,county_t,centcity_t,smsastat_t,icntcity_t,smsa04_t,relref95_t,age_t,spouse_t,sex_t,grade92_t,race_t,ethnic_t,lineno,famnum_t,pfamrel_t,marital_t,prpertyp_t,penatvty_t,pemntvty_t,pefntvty_t,prcitshp_t,prcitflg_t,peinusyr_t,selfproxy_t,lfsr94_t,absent94_t,uhourse_t,reason94_t,hourslw_t,laydur_t,dwrsn_t,why3594_t,prunedur_t,untype_t,ftpt94_t,class94_t,agri_t,eligible_t,otc_t,ernpdh2_t,paidhre_t,earnhre_t,earnwke_t,unionmme_t,unioncov_t,schenr_t,studftpt_t,schlvl_t,earnwt_t,weight_t,chldpres_t,ownchild_t,i25d_t,i25c_t,i25a_t,i25b_t,qstnum_t,occurnum_t,ged_t,gedhigr_t,yrcoll_t,grprof_t,gr6cor_t,ms123_t,cmpwgt_t,ind02_t,occ2012_t,occ002_t,vet1_t,vet2_t,vet3_t,vet4_t,linedad_t,linemom_t,recnum_t,year_t,ym_file_t,ym_t,ch02_t,ch35_t,ch613_t,ch1417_t,ch05_t,ihigrdc_t,docc00_t,dind02_t,year_file_x,hurespli_t1,hrhtype_t1,minsamp_y,hrlonglk_t1,hrsample_t1,hrhhid2_t1,serial_t1,cbsafips_t1,county_t1,centcity_t1,smsastat_t1,icntcity_t1,smsa04_t1,relref95_t1,age_t1,spouse_t1,sex_t1,grade92_t1,race_t1,ethnic_t1,famnum_t1,pfamrel_t1,marital_t1,prpertyp_t1,penatvty_t1,pemntvty_t1,pefntvty_t1,prcitshp_t1,prcitflg_t1,peinusyr_t1,selfproxy_t1,lfsr94_t1,absent94_t1,uhourse_t1,reason94_t1,hourslw_t1,laydur_t1,dwrsn_t1,why3594_t1,prunedur_t1,untype_t1,ftpt94_t1,class94_t1,agri_t1,eligible_t1,otc_t1,ernpdh2_t1,paidhre_t1,earnhre_t1,earnwke_t1,unionmme_t1,unioncov_t1,schenr_t1,studftpt_t1,schlvl_t1,earnwt_t1,weight_t1,chldpres_t1,ownchild_t1,i25d_t1,i25c_t1,i25a_t1,i25b_t1,qstnum_t1,occurnum_t1,ged_t1,gedhigr_t1,yrcoll_t1,grprof_t1,gr6cor_t1,ms123_t1,cmpwgt_t1,ind02_t1,occ2012_t1,occ002_t1,vet1_t1,vet2_t1,vet3_t1,vet4_t1,linedad_t1,linemom_t1,recnum_t1,year_t1,ym_file_t1,ym_t1,ch02_t1,ch35_t1,ch613_t1,ch1417_t1,ch05_t1,ihigrdc_t1,docc00_t1,dind02_t1,year_file_y,pair_type,state,illinois,pair,joined_state_local,from_federal,from_private,analytic_sample
1275001410497,1,1.0,4,4,2,401,4011,1,1,17,16980,0,1.0,1.0,4.0,7,1,42,,2,39,1,7.0,1,1,1,5,2,361,361,361,5,0,18,1.0,2.0,4.0,40.0,,,,,,,,5.0,7.0,0.0,2,,,,,,,,2.0,,,13253.2884,3068.9062,0,0,,,0,0,8713,1,2.0,4.0,,,,,3069.5947,7690.0,4200.0,-1,,,,,,,11405.0,2016,672,669,0,0,0,0,0,7.5,14.0,38.0,2016,1.0,4,8,2,401,4011,1,16980,0,1.0,1.0,4.0,7,1,43,,2,39,1,7.0,1,1,5,2,361,361,361,5,0,18,1.0,1.0,,35.0,1.0,34.0,,,1.0,,,3.0,7.0,0.0,2,,,,,,,,2.0,,,12706.7288,3217.2649,0,0,,,0,0,35310,1,2.0,4.0,,,,,3203.5286,7690.0,4230.0,-1,,,,,,,11153.0,2017,684,669,0,0,0,0,0,7.5,14.0,38.0,2017,MIS4_to_MIS8,illinois,1,2016-2017,0,0,1,recruitment
1275001410497,1,1.0,4,4,2,401,4011,1,1,17,16980,0,1.0,1.0,4.0,7,4,24,,2,41,1,7.0,2,1,3,7,2,361,361,361,5,0,22,2.0,2.0,4.0,40.0,,,,,,,,5.0,4.0,0.0,1,2.0,,1.0,1750.0,700.0,2.0,2.0,2.0,,,15578.7338,3851.3471,0,0,0.0,0.0,0,0,8713,2,,,3.0,,,,3918.3473,4170.0,9620.0,-1,,,,,1.0,,11406.0,2016,672,669,0,0,0,0,0,14.0,22.0,21.0,2016,1.0,4,8,2,401,4011,1,16980,0,1.0,1.0,4.0,7,4,25,,2,41,1,7.0,1,3,7,2,361,361,361,5,0,22,2.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,,1.0,1700.0,884.0,2.0,2.0,2.0,,,12210.6341,3043.607,0,0,0.0,0.0,0,0,35310,2,,,3.0,,,,3005.7782,3960.0,9620.0,-1,,,,,1.0,,11154.0,2017,684,669,0,0,0,0,0,14.0,22.0,13.0,2017,MIS4_to_MIS8,illinois,1,2016-2017,0,0,1,recruitment
10710398216431,1,1.0,1,4,2,401,4011,1,1,17,40420,0,1.0,1.0,,3,1,43,2.0,1,40,2,,1,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,,1.0,2100.0,840.0,1.0,,1.0,1.0,2.0,15203.6699,3624.6033,10,3,0.0,0.0,0,0,54281,1,,,1.0,,,,3692.4678,3570.0,7750.0,-1,2.0,,,,,,11420.0,2016,672,669,0,0,1,1,0,12.0,21.0,10.0,2016,1.0,1,8,2,401,4011,1,40420,0,1.0,1.0,,3,1,44,2.0,1,40,2,,1,1,1,2,57,57,57,1,0,0,1.0,3.0,,,,,52.0,,,52.0,1.0,11.0,4.0,0.0,2,,,,,,,,1.0,2.0,2.0,16329.5227,4267.3527,10,2,,,0,0,45272,1,,,2.0,,,,4575.3994,3570.0,7750.0,-1,2.0,,,,,,11164.0,2017,684,669,0,0,1,1,0,13.0,21.0,10.0,2017,MIS4_to_MIS8,illinois,1,2016-2017,0,0,1,recruitment
10710398216431,1,1.0,1,4,2,401,4011,1,1,17,40420,0,1.0,1.0,,3,3,34,1.0,2,40,2,,2,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,,1.0,1200.0,480.0,2.0,2.0,1.0,1.0,2.0,17246.4722,4438.3517,10,3,0.0,0.0,0,0,54281,2,,,3.0,,,,4526.8767,5070.0,5240.0,-1,,,,,,,11421.0,2016,672,669,0,0,1,1,0,14.0,17.0,22.0,2016,1.0,1,8,2,401,4011,1,40420,0,1.0,1.0,,3,3,35,1.0,2,40,2,,1,2,1,2,57,57,57,1,0,0,2.0,4.0,,,,,,,,8.0,2.0,11.0,4.0,0.0,2,,,,,,,,1.0,1.0,2.0,18221.69,3960.7804,10,2,,,0,0,45272,2,,,3.0,,,,4136.5371,8170.0,5240.0,-1,,,,,,,11165.0,2017,684,669,0,0,1,1,0,14.0,17.0,42.0,2017,MIS4_to_MIS8,illinois,1,2016-2017,0,0,1,recruitment
10710398216431,1,1.0,1,4,2,401,4011,1,1,17,40420,0,1.0,1.0,,3,4,16,,1,35,2,,4,1,3,7,2,57,57,57,1,0,0,2.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,1.0,1.0,1.0,16976.888,3973.5667,0,0,,,0,0,54281,4,,,,,,,4095.9131,,,-1,,,,,2.0,1.0,11423.0,2016,672,669,0,0,0,0,0,9.0,,,2016,1.0,1,8,2,401,4011,1,40420,0,1.0,1.0,,3,4,17,,1,35,2,,1,3,7,2,57,57,57,1,0,0,2.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,1.0,1.0,1.0,17726.7028,4745.1145,0,0,,,0,0,45272,4,,,,,,,4932.8866,,,-1,,,,,2.0,1.0,11167.0,2017,684,669,0,0,0,0,0,9.0,,,2017,MIS4_to_MIS8,illinois,1,2016-2017,0,0,0,recruitment
10716348086740,1,1.0,6,4,2,401,4011,1,1,17,16980,0,1.0,1.0,1.0,7,2,22,,1,43,1,,1,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,1730.76,2.0,2.0,2.0,,,12677.1274,3092.3222,0,0,0.0,,0,0,17479,1,,,,,,,3093.3834,7380.0,3910.0,-1,,,,,,,11436.0,2016,672,669,0,0,0,0,0,,12.0,36.0,2016,1.0,6,8,2,401,4011,1,16980,0,1.0,1.0,1.0,7,2,23,,1,43,1,,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,2333.33,2.0,2.0,2.0,,,12682.2927,3213.0581,0,0,0.0,,0,0,19416,1,,,,,,,3125.4718,7380.0,3910.0,-1,,,,,,,11170.0,2017,684,669,0,0,0,0,0,,12.0,36.0,2017,MIS4_to_MIS8,illinois,1,2016-2017,0,0,1,recruitment
10717015835967,1,1.0,7,4,2,401,4011,1,1,17,16980,0,1.0,1.0,1.0,7,2,32,,2,43,1,,1,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,37.0,,42.0,,,,,,2.0,4.0,0.0,1,1.0,2.0,2.0,,1884.61,2.0,2.0,2.0,,,11165.4808,2730.854,0,0,0.0,,0,0,20825,1,,,,,,,2758.3793,7470.0,430.0,-1,,,,,,,11437.0,2016,672,669,0,0,0,0,0,,1.0,36.0,2016,1.0,7,8,2,401,4011,1,16980,0,1.0,1.0,1.0,7,2,33,,2,43,1,,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,1192.3,2.0,2.0,2.0,,,11569.1685,2855.2534,0,0,0.0,,0,0,59655,1,,,,,,,2847.8745,7870.0,50.0,-1,,,,,,,11174.0,2017,684,669,0,0,0,0,0,,1.0,40.0,2017,MIS4_to_MIS8,illinois,1,2016-2017,0,0,1,recruitment
10717015835967,1,1.0,7,4,2,401,4011,1,1,17,16980,0,1.0,1.0,1.0,7,14,34,,1,44,1,,2,0,0,7,2,57,57,57,1,0,0,2.0,1.0,,14.0,,19.0,,,20.0,,,7.0,4.0,0.0,1,2.0,,1.0,1200.0,168.0,2.0,2.0,1.0,2.0,2.0,11140.2104,2763.4994,0,0,0.0,0.0,0,0,20825,2,,,,,,,2771.0588,8680.0,4030.0,4760,,,,,,,11438.0,2016,672,669,0,0,0,0,0,,13.0,46.0,2016,1.0,7,8,2,401,4011,1,16980,0,1.0,1.0,1.0,7,14,35,,1,44,1,,0,0,7,2,57,57,57,1,0,0,2.0,1.0,,15.0,,15.0,,,20.0,,,7.0,4.0,0.0,1,2.0,1.0,1.0,1300.0,384.61,2.0,2.0,1.0,2.0,2.0,12319.0506,3109.5818,0,0,0.0,0.0,0,0,59655,2,,,,,,,3133.7334,5275.0,4760.0,-1,,,,,,,11175.0,2017,684,669,0,0,0,0,0,,16.0,22.0,2017,MIS4_to_MIS8,illinois,1,2016-2017,0,0,1,recruitment
10717238845624,1,1.0,7,4,2,401,4011,1,1,17,16980,0,1.0,1.0,1.0,7,2,52,,2,39,2,,1,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,28.0,,28.0,,,18.0,,,7.0,4.0,0.0,1,2.0,,1.0,1050.0,294.0,1.0,,2.0,,,14482.6117,3741.5656,0,0,0.0,0.0,0,0,33071,1,1.0,,,,,,3819.5372,8170.0,3600.0,-1,,,,,,,11439.0,2016,672,669,0,0,0,0,0,12.0,11.0,42.0,2016,1.0,7,8,2,401,4011,1,16980,0,1.0,1.0,1.0,7,2,53,,2,39,2,,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,24.0,,24.0,,,22.0,,,7.0,4.0,0.0,1,2.0,2.0,2.0,,200.0,2.0,2.0,2.0,,,13355.2304,3337.6436,0,0,0.0,,0,0,35178,1,1.0,,,,,,3317.9345,8370.0,4610.0,-1,,,,,,,11176.0,2017,684,669,0,0,0,0,0,12.0,15.0,43.0,2017,MIS4_to_MIS8,illinois,1,2016-2017,0,0,1,recruitment
10717463719363,1,1.0,3,4,2,401,4011,1,1,17,16980,0,1.0,1.0,1.0,7,1,31,,1,40,2,,1,1,1,7,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,1.0,,1.0,1300.0,1190.0,2.0,1.0,2.0,,,21277.9973,5430.2985,3,1,0.0,0.0,0,0,50656,1,,,3.0,,,,5510.4102,7680.0,3930.0,-1,,,,,,,11440.0,2016,672,669,0,0,1,0,0,14.0,12.0,38.0,2016,1.0,3,8,2,401,4011,1,16980,0,1.0,1.0,1.0,7,1,32,,1,40,2,,1,1,7,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,1.0,,1.0,1350.0,783.0,2.0,2.0,2.0,,,17253.9866,4502.9668,3,2,1.0,1.0,0,0,22479,1,,,2.0,,,,4307.1017,7680.0,3930.0,-1,,,,,,,11178.0,2017,684,669,0,0,1,0,0,13.0,12.0,38.0,2017,MIS4_to_MIS8,illinois,1,2016-2017,0,0,1,recruitment
