hhid,intmonth,hurespli_t,hrhtype_t,minsamp_x,hrlonglk_t,hrsample_t,hrhhid2_t,serial_t,hhnum,state,stfips_t,cbsafips_t,county_t,centcity_t,smsastat_t,icntcity_t,smsa04_t,relref95_t,age_t,spouse_t,sex_t,grade92_t,race_t,ethnic_t,lineno,famnum_t,pfamrel_t,marital_t,prpertyp_t,penatvty_t,pemntvty_t,pefntvty_t,prcitshp_t,prcitflg_t,peinusyr_t,selfproxy_t,lfsr94_t,absent94_t,uhourse_t,reason94_t,hourslw_t,laydur_t,dwrsn_t,why3594_t,prunedur_t,untype_t,ftpt94_t,class94_t,agri_t,eligible_t,otc_t,ernpdh2_t,paidhre_t,earnhre_t,earnwke_t,unionmme_t,unioncov_t,schenr_t,studftpt_t,schlvl_t,earnwt_t,weight_t,chldpres_t,ownchild_t,i25d_t,i25c_t,i25a_t,i25b_t,qstnum_t,occurnum_t,ged_t,gedhigr_t,yrcoll_t,grprof_t,gr6cor_t,ms123_t,cmpwgt_t,ind02_t,occ00_t,occ002_t,vet1_t,vet2_t,vet3_t,vet4_t,linedad_t,linemom_t,recnum_t,year_t,ym_file_t,ym_t,ch02_t,ch35_t,ch613_t,ch1417_t,ch05_t,ihigrdc_t,docc00_t,dind02_t,year_file_x,hurespli_t1,hrhtype_t1,minsamp_y,hrlonglk_t1,hrsample_t1,hrhhid2_t1,serial_t1,stfips_t1,cbsafips_t1,county_t1,centcity_t1,smsastat_t1,icntcity_t1,smsa04_t1,relref95_t1,age_t1,spouse_t1,sex_t1,grade92_t1,race_t1,ethnic_t1,famnum_t1,pfamrel_t1,marital_t1,prpertyp_t1,penatvty_t1,pemntvty_t1,pefntvty_t1,prcitshp_t1,prcitflg_t1,peinusyr_t1,selfproxy_t1,lfsr94_t1,absent94_t1,uhourse_t1,reason94_t1,hourslw_t1,laydur_t1,dwrsn_t1,why3594_t1,prunedur_t1,untype_t1,ftpt94_t1,class94_t1,agri_t1,eligible_t1,otc_t1,ernpdh2_t1,paidhre_t1,earnhre_t1,earnwke_t1,unionmme_t1,unioncov_t1,schenr_t1,studftpt_t1,schlvl_t1,earnwt_t1,weight_t1,chldpres_t1,ownchild_t1,i25d_t1,i25c_t1,i25a_t1,i25b_t1,qstnum_t1,occurnum_t1,ged_t1,gedhigr_t1,yrcoll_t1,grprof_t1,gr6cor_t1,ms123_t1,cmpwgt_t1,ind02_t1,occ2011_t1,occ002_t1,vet1_t1,vet2_t1,vet3_t1,vet4_t1,linedad_t1,linemom_t1,recnum_t1,year_t1,ym_file_t1,ym_t1,ch02_t1,ch35_t1,ch613_t1,ch1417_t1,ch05_t1,ihigrdc_t1,docc00_t1,dind02_t1,year_file_y,pair_type,state_t,illinois,pair,joined_state_local,from_federal,from_private,analytic_sample
75881770978398,1,1.0,1,4,2,8600,86001,1,1,33,17,16980,0,1.0,1.0,1.0,7,3,47,1.0,2,40,1,,2,1,2,1,2,57,57,57,1,0,0,2.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,13729.066,3356.2827,4,1,,,0,0,31664,2,,,3.0,,,,3525.4431,,,-1,,,,,,,11081.0,2010,600,597,0,0,0,1,0,14.0,,,2010,1.0,1,8,2,8600,86001,1,17,16980,0,1.0,1.0,1.0,7,3,48,1.0,2,40,1,,1,2,1,2,57,57,57,1,0,0,,7.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,14055.3428,3468.2286,0,0,,,0,0,38756,2,,,1.0,,,,3539.5291,,,-1,,,,,,,11207.0,2011,612,597,0,0,0,0,0,12.0,,,2011,MIS4_to_MIS8,illinois,1,2010-2011,0,0,0,recruitment
75881770978398,1,1.0,1,4,2,8600,86001,1,1,33,17,16980,0,1.0,1.0,1.0,7,4,17,,2,36,1,,4,1,3,7,2,57,57,57,1,0,0,2.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,1.0,1.0,1.0,13291.0501,3322.8512,0,0,,,0,0,31664,4,,,,,,,3374.0455,,,-1,,,,,2.0,1.0,11082.0,2010,600,597,0,0,0,0,0,10.0,,,2010,1.0,1,8,2,8600,86001,1,17,16980,0,1.0,1.0,1.0,7,4,19,,2,36,1,,1,3,7,2,57,57,57,1,0,0,,7.0,,,,,,,,,,1.0,,,2,,,,,,,,1.0,1.0,1.0,12373.1655,3096.2952,0,0,,,0,0,38756,4,,,,,,,3136.9785,,,-1,,,,,2.0,1.0,11208.0,2011,612,597,0,0,0,0,0,10.0,,,2011,MIS4_to_MIS8,illinois,1,2010-2011,0,0,0,recruitment
75881770978398,1,1.0,1,4,2,8600,86001,1,1,33,17,16980,0,1.0,1.0,1.0,7,4,19,,1,37,1,,5,1,3,7,2,57,57,57,1,0,0,2.0,7.0,,,,,,,,,,1.0,4.0,0.0,2,,,,,,,,1.0,1.0,1.0,11272.908,2872.2962,0,0,,,0,0,31664,5,,,,,,,2929.1023,4970.0,5620.0,-1,,,,,2.0,1.0,11083.0,2010,600,597,0,0,0,0,0,11.0,17.0,22.0,2010,1.0,1,8,2,8600,86001,1,17,16980,0,1.0,1.0,1.0,7,4,20,,1,37,1,,1,3,7,2,57,57,57,1,0,0,,7.0,,,,,,,,,,1.0,4.0,0.0,2,,,,,,,,2.0,,,12329.072,3326.6572,0,0,,,0,0,38756,5,,,,,,,3365.2024,7770.0,4250.0,-1,,,,,2.0,1.0,11209.0,2011,612,597,0,0,0,0,0,11.0,14.0,38.0,2011,MIS4_to_MIS8,illinois,1,2010-2011,0,0,1,recruitment
75881770978398,1,1.0,1,4,2,8600,86001,1,1,33,17,16980,0,1.0,1.0,1.0,7,4,25,,1,39,1,,6,1,3,7,2,57,57,57,1,0,0,2.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,12874.2848,3232.3312,0,0,,,0,0,31664,6,2.0,6.0,,,,,3206.7511,,,-1,,,,,2.0,1.0,11085.0,2010,600,597,0,0,0,0,0,10.0,,,2010,1.0,1,8,2,8600,86001,1,17,16980,0,1.0,1.0,1.0,7,4,26,,1,39,1,,1,3,7,2,57,57,57,1,0,0,,7.0,,,,,,,,,,1.0,4.0,0.0,2,,,,,,,,,,,13477.1882,3185.4334,0,0,,,0,0,38756,6,2.0,6.0,,,,,3421.28,770.0,6260.0,-1,,,,,2.0,1.0,11211.0,2011,612,597,0,0,0,0,0,10.0,19.0,4.0,2011,MIS4_to_MIS8,illinois,1,2010-2011,0,0,0,recruitment
76199139700590,1,1.0,1,4,2,8600,86001,1,1,33,17,16980,0,1.0,1.0,1.0,7,1,39,2.0,1,40,1,,1,1,1,1,2,57,57,57,1,0,0,1.0,4.0,,,,,,,,4.0,4.0,11.0,4.0,0.0,2,,,,,,,,,,,11108.8741,2780.3368,2,1,,,0,0,51696,1,,,3.0,,,,2874.0295,7070.0,4920.0,-1,2.0,3.0,,,,,11086.0,2010,600,597,0,1,0,0,1,14.0,16.0,34.0,2010,1.0,1,8,2,8600,86001,1,17,16980,0,1.0,1.0,1.0,7,1,40,2.0,1,40,1,,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,1153.84,2.0,2.0,,,,11350.281,2867.9582,3,1,0.0,,0,0,61398,1,,,4.0,,,,2872.51,6970.0,5200.0,-1,2.0,3.0,,,,,11213.0,2011,612,597,0,0,1,0,0,15.0,17.0,32.0,2011,MIS4_to_MIS8,illinois,1,2010-2011,0,0,1,recruitment
76199139700590,1,1.0,1,4,2,8600,86001,1,1,33,17,16980,0,1.0,1.0,1.0,7,3,47,1.0,2,39,1,,2,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,25.0,,25.0,,,15.0,,,6.0,4.0,0.0,1,1.0,2.0,2.0,,300.0,2.0,2.0,,,,13020.7866,3356.2827,2,1,0.0,,0,0,51696,2,1.0,,,,,,3289.6774,8980.0,4510.0,-1,,,,,,,11087.0,2010,600,597,0,1,0,0,1,12.0,15.0,48.0,2010,1.0,1,8,2,8600,86001,1,17,16980,0,1.0,1.0,1.0,7,3,48,1.0,2,39,1,,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,-4.0,,10.0,,,18.0,,,7.0,4.0,0.0,1,1.0,2.0,2.0,,150.0,2.0,2.0,,,,13491.8313,3468.2286,3,1,0.0,,0,0,61398,2,1.0,,,,,,3456.466,8980.0,4510.0,-1,,,,,,,11214.0,2011,612,597,0,0,1,0,0,12.0,15.0,48.0,2011,MIS4_to_MIS8,illinois,1,2010-2011,0,0,1,recruitment
92311770998383,1,1.0,1,4,2,8600,86001,1,1,33,17,16980,0,1.0,1.0,1.0,7,1,40,2.0,1,39,1,,1,1,1,1,2,109,147,147,4,0,5,1.0,1.0,,40.0,,43.0,,,,,,2.0,4.0,0.0,1,1.0,1.0,1.0,1740.0,2000.0,1.0,,,,,11434.6206,2856.1787,2,1,1.0,1.0,0,0,51692,1,1.0,,,,,,2835.0217,7070.0,8610.0,-1,,,,,,,11101.0,2010,600,597,0,1,0,0,1,12.0,21.0,34.0,2010,2.0,1,8,2,8600,86001,1,17,16980,0,1.0,1.0,1.0,7,1,41,2.0,1,39,1,,1,1,1,2,109,147,147,4,0,5,2.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,1.0,1.0,1500.0,576.92,1.0,,,,,11350.281,2867.9582,2,1,0.0,0.0,0,0,18239,1,1.0,,,,,,2872.51,7070.0,8610.0,-1,,,,,,,11226.0,2011,612,597,0,1,0,0,1,12.0,21.0,34.0,2011,MIS4_to_MIS8,illinois,1,2010-2011,0,0,1,recruitment
92311770998383,1,1.0,1,4,2,8600,86001,1,1,33,17,16980,0,1.0,1.0,1.0,7,3,30,1.0,2,39,1,,2,1,2,1,2,147,147,147,4,0,15,2.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,1.0,1.0,1.0,1050.0,923.0,1.0,,,,,14185.1685,3431.6797,2,1,1.0,1.0,0,0,51692,2,1.0,,,,,,3419.7074,7690.0,4220.0,-1,,,,,,,11102.0,2010,600,597,0,1,0,0,1,12.0,14.0,38.0,2010,2.0,1,8,2,8600,86001,1,17,16980,0,1.0,1.0,1.0,7,3,31,1.0,2,39,1,,1,2,1,2,147,147,147,4,0,15,1.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,1.0,1.0,1.0,1400.0,576.92,1.0,,,,,12845.7437,3264.4607,2,1,0.0,0.0,0,0,18239,2,1.0,,,,,,3218.8909,7070.0,4220.0,-1,,,,,,,11227.0,2011,612,597,0,1,0,0,1,12.0,14.0,34.0,2011,MIS4_to_MIS8,illinois,1,2010-2011,0,0,1,recruitment
101067104039751,1,1.0,6,4,2,8600,86001,1,1,33,17,40420,0,1.0,1.0,,3,2,65,,1,39,1,,1,0,0,7,2,57,120,57,1,0,0,1.0,1.0,,65.0,,65.0,,,,,,2.0,6.0,0.0,2,,,,,,,,,,,12053.8217,2915.8346,0,0,,,0,0,55313,1,1.0,,,,,,2878.2593,7070.0,410.0,-1,4.0,,,,,,11105.0,2010,600,597,0,0,0,0,0,12.0,1.0,34.0,2010,1.0,6,8,2,8600,86001,1,17,40420,0,1.0,1.0,,3,2,66,,1,39,1,,0,0,7,2,57,120,57,1,0,0,1.0,1.0,,70.0,,70.0,,,,,,2.0,7.0,0.0,2,,,,,,,,,,,12526.0353,3115.8499,0,0,,,0,0,40498,1,1.0,,,,,,3096.3865,7070.0,410.0,-1,4.0,,,,,,11230.0,2011,612,597,0,0,0,0,0,12.0,1.0,34.0,2011,MIS4_to_MIS8,illinois,1,2010-2011,0,0,1,recruitment
193917609033771,1,1.0,4,4,2,8600,86001,1,1,33,17,16980,0,1.0,1.0,1.0,7,1,51,,2,41,2,,1,1,1,6,2,57,57,57,1,0,0,1.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,8786.4156,2165.7551,0,0,,,0,0,33990,1,,,4.0,,,,2184.2704,,,-1,,,,,,,11111.0,2010,600,597,0,0,0,0,0,15.0,,,2010,1.0,4,8,2,8600,86001,1,17,16980,0,1.0,1.0,1.0,7,1,53,,2,41,2,,1,1,6,2,57,57,57,1,0,0,1.0,4.0,,,,,,,,119.0,5.0,11.0,4.0,0.0,2,,,,,,,,,,,11878.0887,2756.6089,0,0,,,0,0,67579,1,,,4.0,,,,2642.7036,5070.0,4700.0,-1,,,,,,,11237.0,2011,612,597,0,0,0,0,0,15.0,16.0,22.0,2011,MIS4_to_MIS8,illinois,1,2010-2011,0,0,0,recruitment
