hhid,intmonth,hurespli_t,hrhtype_t,minsamp_x,hrlonglk_t,hrsample_t,hrhhid2_t,serial_t,hhnum,state,stfips_t,cbsafips_t,county_t,centcity_t,smsastat_t,icntcity_t,smsa04_t,relref95_t,age_t,spouse_t,sex_t,grade92_t,race_t,ethnic_t,lineno,famnum_t,pfamrel_t,marital_t,prpertyp_t,penatvty_t,pemntvty_t,pefntvty_t,prcitshp_t,prcitflg_t,peinusyr_t,selfproxy_t,lfsr94_t,absent94_t,uhourse_t,reason94_t,hourslw_t,laydur_t,dwrsn_t,why3594_t,prunedur_t,untype_t,ftpt94_t,class94_t,agri_t,eligible_t,otc_t,ernpdh2_t,paidhre_t,earnhre_t,earnwke_t,unionmme_t,unioncov_t,schenr_t,studftpt_t,schlvl_t,earnwt_t,weight_t,chldpres_t,ownchild_t,i25d_t,i25c_t,i25a_t,i25b_t,qstnum_t,occurnum_t,ged_t,gedhigr_t,yrcoll_t,grprof_t,gr6cor_t,ms123_t,cmpwgt_t,ind02_t,occ2011_t,occ002_t,vet1_t,vet2_t,vet3_t,vet4_t,linedad_t,linemom_t,recnum_t,year_t,ym_file_t,ym_t,ch02_t,ch35_t,ch613_t,ch1417_t,ch05_t,ihigrdc_t,docc00_t,dind02_t,year_file_x,hurespli_t1,hrhtype_t1,minsamp_y,hrlonglk_t1,hrsample_t1,hrhhid2_t1,serial_t1,stfips_t1,cbsafips_t1,county_t1,centcity_t1,smsastat_t1,icntcity_t1,smsa04_t1,relref95_t1,age_t1,spouse_t1,sex_t1,grade92_t1,race_t1,ethnic_t1,famnum_t1,pfamrel_t1,marital_t1,prpertyp_t1,penatvty_t1,pemntvty_t1,pefntvty_t1,prcitshp_t1,prcitflg_t1,peinusyr_t1,selfproxy_t1,lfsr94_t1,absent94_t1,uhourse_t1,reason94_t1,hourslw_t1,laydur_t1,dwrsn_t1,why3594_t1,prunedur_t1,untype_t1,ftpt94_t1,class94_t1,agri_t1,eligible_t1,otc_t1,ernpdh2_t1,paidhre_t1,earnhre_t1,earnwke_t1,unionmme_t1,unioncov_t1,schenr_t1,studftpt_t1,schlvl_t1,earnwt_t1,weight_t1,chldpres_t1,ownchild_t1,i25d_t1,i25c_t1,i25a_t1,i25b_t1,qstnum_t1,occurnum_t1,ged_t1,gedhigr_t1,yrcoll_t1,grprof_t1,gr6cor_t1,ms123_t1,cmpwgt_t1,ind02_t1,occ2011_t1,occ002_t1,vet1_t1,vet2_t1,vet3_t1,vet4_t1,linedad_t1,linemom_t1,recnum_t1,year_t1,ym_file_t1,ym_t1,ch02_t1,ch35_t1,ch613_t1,ch1417_t1,ch05_t1,ihigrdc_t1,race21_t1,race26_t1,occ2012_t1,docc00_t1,dind02_t1,year_file_y,pair_type,state_t,illinois,pair,joined_state_local,from_federal,from_private,analytic_sample
3906691195777,1,1.0,1,4,2,8800,88001,1,1,33,17,16980,0,1.0,1.0,1.0,7,1,60,2.0,1,43,4,,1,1,1,1,2,231,231,231,5,0,21,1.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,350.0,2.0,2.0,,,,13542.2377,3360.8665,0,0,1.0,,0,0,47855,1,,,,1.0,1.0,,3332.4526,6680.0,4800.0,-1,,,,,,,11189.0,2011,612,609,0,0,0,0,0,18.0,16.0,29.0,2011,1.0,1,8,2,8800,88001,1,17,16980,0,1.0,1.0,1.0,7,1,61,2.0,1,43,4,,1,1,1,2,231,231,231,5,0,21,1.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,1.0,1.0,1300.0,384.0,2.0,2.0,,,,14675.3522,3447.6577,0,0,1.0,1.0,0,0,67714,1,,,,2.0,,,3458.6947,1990.0,4850.0,-1,,,,,,,11027.0,2012,624,609,0,0,0,0,0,16.0,4.0,,,16.0,17.0,2012,MIS4_to_MIS8,illinois,1,2011-2012,0,0,1,recruitment
3906691195777,1,1.0,1,4,2,8800,88001,1,1,33,17,16980,0,1.0,1.0,1.0,7,3,54,1.0,2,43,4,,2,1,2,1,2,231,231,231,5,0,21,2.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,12678.5651,3142.23,0,0,,,0,0,47855,2,,,,1.0,1.0,,3192.8179,,,-1,,,,,,,11190.0,2011,612,609,0,0,0,0,0,18.0,,,2011,1.0,1,8,2,8800,88001,1,17,16980,0,1.0,1.0,1.0,7,3,55,1.0,2,43,4,,1,2,1,2,231,231,231,5,0,21,2.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,14530.0188,3695.5998,0,0,,,0,0,67714,2,,,,2.0,,,3694.3575,,,-1,,,,,,,11028.0,2012,624,609,0,0,0,0,0,16.0,4.0,,,,,2012,MIS4_to_MIS8,illinois,1,2011-2012,0,0,0,recruitment
3906691195777,1,1.0,1,4,2,8800,88001,1,1,33,17,16980,0,1.0,1.0,1.0,7,4,21,,1,40,4,,5,1,3,7,2,231,231,231,5,0,21,2.0,7.0,,,,,,2.0,,,,1.0,,,2,,,,,,,,2.0,,,10465.922,2929.7987,0,0,,,0,0,47855,5,,,3.0,,,,2856.6583,,,-1,,,,,2.0,1.0,11191.0,2011,612,609,0,0,0,0,0,14.0,,,2011,1.0,1,8,2,8800,88001,1,17,16980,0,1.0,1.0,1.0,7,4,21,,1,40,4,,1,3,7,2,231,231,231,5,0,21,2.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,1.0,1.0,2.0,15330.1585,3882.561,0,0,,,0,0,67714,5,,,3.0,,,,3841.3267,,,-1,,,,,2.0,1.0,11029.0,2012,624,609,0,0,0,0,0,14.0,4.0,,,,,2012,MIS4_to_MIS8,illinois,1,2011-2012,0,0,0,recruitment
3906691195777,1,1.0,1,4,2,8800,88001,1,1,33,17,16980,0,1.0,1.0,1.0,7,4,26,,2,40,4,,3,2,1,3,2,231,231,231,5,0,21,2.0,7.0,,,,,,2.0,,,,1.0,,,2,,,,,,,,,,,12877.1681,3221.4471,1,1,,,0,0,47855,3,,,3.0,,,,3242.8317,,,-1,,,,,2.0,1.0,11192.0,2011,612,609,1,0,0,0,1,14.0,,,2011,1.0,1,8,2,8800,88001,1,17,16980,0,1.0,1.0,1.0,7,4,27,,2,40,4,,2,1,3,2,231,231,231,5,0,21,2.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,14078.616,3700.0281,1,3,,,0,0,67714,3,,,2.0,,,,3579.5852,,,-1,,,,,2.0,1.0,11030.0,2012,624,609,1,0,0,0,1,13.0,4.0,,,,,2012,MIS4_to_MIS8,illinois,1,2011-2012,0,0,0,recruitment
18351370993090,1,2.0,1,4,2,8800,88001,1,1,33,17,40420,0,1.0,1.0,,3,1,69,2.0,2,43,1,,1,1,1,1,2,57,57,57,1,0,0,2.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,12792.8817,3209.575,0,0,,,0,0,30653,1,,,,2.0,,,3226.1329,,,-1,,,,,,,11194.0,2011,612,609,0,0,0,0,0,16.0,,,2011,1.0,1,8,2,8800,88001,1,17,40420,0,1.0,1.0,,3,1,70,2.0,2,43,1,,1,1,1,2,57,57,57,1,0,0,1.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,11896.1067,2984.8101,0,0,,,0,0,21944,1,,,,2.0,,,2979.5836,,,-1,,,,,,,11034.0,2012,624,609,0,0,0,0,0,16.0,1.0,,,,,2012,MIS4_to_MIS8,illinois,1,2011-2012,0,0,0,recruitment
18351370993090,1,2.0,1,4,2,8800,88001,1,1,33,17,40420,0,1.0,1.0,,3,3,66,1.0,1,40,1,,2,1,2,1,2,57,57,57,1,0,0,1.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,12302.9352,3115.8499,0,0,,,0,0,30653,2,,,1.0,,,,3121.5313,,,-1,,,,,,,11195.0,2011,612,609,0,0,0,0,0,12.0,,,2011,1.0,1,8,2,8800,88001,1,17,40420,0,1.0,1.0,,3,3,67,1.0,1,40,1,,1,2,1,2,57,57,57,1,0,0,2.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,11830.65,2997.7368,0,0,,,0,0,21944,2,,,3.0,,,,3006.4183,,,-1,,,,,,,11035.0,2012,624,609,0,0,0,0,0,14.0,1.0,,,,,2012,MIS4_to_MIS8,illinois,1,2011-2012,0,0,0,recruitment
31691370940990,1,2.0,6,4,2,8800,88001,1,1,33,17,16980,0,1.0,1.0,1.0,7,2,30,,1,43,1,,1,0,0,7,2,139,139,139,5,0,20,2.0,1.0,,50.0,,50.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,1000.0,2.0,2.0,,,,12057.1994,3061.7442,0,0,1.0,,0,0,30413,1,,,,1.0,2.0,,3027.9247,7860.0,2320.0,-1,,,,,,,11196.0,2011,612,609,0,0,0,0,0,17.0,8.0,40.0,2011,2.0,6,8,2,8800,88001,1,17,16980,0,1.0,1.0,1.0,7,2,31,,1,43,1,,0,0,7,2,139,139,139,5,0,20,2.0,1.0,,50.0,,50.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,1346.15,2.0,1.0,,,,11593.0898,2897.2635,0,0,0.0,,0,0,21545,1,,,,1.0,2.0,,2909.6616,7860.0,2320.0,-1,,,,,,,11036.0,2012,624,609,0,0,0,0,0,17.0,1.0,,,8.0,40.0,2012,MIS4_to_MIS8,illinois,1,2011-2012,0,0,1,recruitment
31691370940990,1,2.0,6,4,2,8800,88001,1,1,33,17,16980,0,1.0,1.0,1.0,7,14,30,,2,43,1,,2,0,0,7,2,139,139,139,5,0,21,1.0,1.0,,50.0,,53.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,1192.3,2.0,2.0,,,,12845.7437,3264.4607,0,0,0.0,,0,0,30413,2,,,,1.0,2.0,,3218.8909,7860.0,2310.0,-1,,,,,,,11197.0,2011,612,609,0,0,0,0,0,17.0,8.0,40.0,2011,2.0,6,8,2,8800,88001,1,17,16980,0,1.0,1.0,1.0,7,14,31,,2,43,1,,0,0,7,2,139,139,139,5,0,21,1.0,1.0,,50.0,,54.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,1153.84,2.0,1.0,,,,10856.7518,2735.3251,0,0,0.0,,0,0,21545,2,,,,1.0,2.0,,2721.6132,7860.0,2310.0,-1,,,,,,,11037.0,2012,624,609,0,0,0,0,0,17.0,1.0,,,8.0,40.0,2012,MIS4_to_MIS8,illinois,1,2011-2012,0,0,1,recruitment
40421370996694,1,1.0,1,4,2,8800,88001,1,1,33,17,37900,0,1.0,1.0,,3,1,49,2.0,1,43,1,,1,1,1,1,2,57,57,57,1,0,0,1.0,4.0,,,,,,,,42.0,2.0,11.0,5.0,0.0,2,,,,,,,,,,,14505.1677,3449.718,10,2,,,0,0,18410,1,,,,2.0,,,3393.2106,8370.0,2000.0,-1,,,,,,,11203.0,2011,612,609,0,0,1,1,0,16.0,6.0,43.0,2011,1.0,1,8,2,8800,88001,1,17,37900,0,1.0,1.0,,3,1,50,2.0,1,43,1,,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,38.0,,,,,,2.0,5.0,0.0,1,2.0,,1.0,2140.0,856.0,2.0,2.0,,,,11402.8612,2922.9257,10,2,0.0,0.0,0,0,21863,1,,,,2.0,,,2896.9749,9170.0,2550.0,-1,,,,,,,11044.0,2012,624,609,0,0,1,1,0,16.0,1.0,,,8.0,49.0,2012,MIS4_to_MIS8,illinois,1,2011-2012,0,0,1,recruitment
40421370996694,1,1.0,1,4,2,8800,88001,1,1,33,17,37900,0,1.0,1.0,,3,3,48,1.0,2,41,1,,2,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,45.0,,45.0,,,,,,2.0,5.0,0.0,1,2.0,,1.0,3000.0,1350.0,2.0,2.0,,,,13348.2228,3431.3124,10,2,0.0,0.0,0,0,18410,2,,,3.0,,,,3419.675,8170.0,3255.0,-1,,,,,,,11204.0,2011,612,609,0,0,1,1,0,14.0,10.0,42.0,2011,1.0,1,8,2,8800,88001,1,17,37900,0,1.0,1.0,,3,3,49,1.0,2,41,1,,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,43.0,,43.0,,,,,,2.0,5.0,0.0,1,2.0,,1.0,3130.0,1252.0,2.0,2.0,,,,12327.7054,2998.7335,10,2,0.0,0.0,0,0,21863,2,,,3.0,,,,3038.9503,8180.0,3255.0,-1,,,,,,,11045.0,2012,624,609,0,0,1,1,0,14.0,1.0,,,10.0,42.0,2012,MIS4_to_MIS8,illinois,1,2011-2012,0,0,1,recruitment
