hhid,intmonth,hurespli_t,hrhtype_t,minsamp_x,hrlonglk_t,hrsample_t,hrhhid2_t,serial_t,hhnum,stfips,cbsafips_t,county_t,centcity_t,smsastat_t,icntcity_t,smsa04_t,relref95_t,age_t,spouse_t,sex_t,grade92_t,race_t,ethnic_t,lineno,famnum_t,pfamrel_t,marital_t,prpertyp_t,penatvty_t,pemntvty_t,pefntvty_t,prcitshp_t,prcitflg_t,peinusyr_t,selfproxy_t,lfsr94_t,absent94_t,uhourse_t,reason94_t,hourslw_t,laydur_t,dwrsn_t,why3594_t,prunedur_t,untype_t,ftpt94_t,class94_t,agri_t,eligible_t,otc_t,ernpdh2_t,paidhre_t,earnhre_t,earnwke_t,unionmme_t,unioncov_t,schenr_t,studftpt_t,schlvl_t,earnwt_t,weight_t,chldpres_t,ownchild_t,i25d_t,i25c_t,i25a_t,i25b_t,qstnum_t,occurnum_t,ged_t,gedhigr_t,yrcoll_t,grprof_t,gr6cor_t,ms123_t,cmpwgt_t,ind02_t,occ2012_t,occ002_t,vet1_t,vet2_t,vet3_t,vet4_t,linedad_t,linemom_t,recnum_t,year_t,ym_file_t,ym_t,ch02_t,ch35_t,ch613_t,ch1417_t,ch05_t,ihigrdc_t,docc00_t,dind02_t,year_file_x,hurespli_t1,hrhtype_t1,minsamp_y,hrlonglk_t1,hrsample_t1,hrhhid2_t1,serial_t1,cbsafips_t1,county_t1,centcity_t1,smsastat_t1,icntcity_t1,smsa04_t1,relref95_t1,age_t1,spouse_t1,sex_t1,grade92_t1,race_t1,ethnic_t1,famnum_t1,pfamrel_t1,marital_t1,prpertyp_t1,penatvty_t1,pemntvty_t1,pefntvty_t1,prcitshp_t1,prcitflg_t1,peinusyr_t1,selfproxy_t1,lfsr94_t1,absent94_t1,uhourse_t1,reason94_t1,hourslw_t1,laydur_t1,dwrsn_t1,why3594_t1,prunedur_t1,untype_t1,ftpt94_t1,class94_t1,agri_t1,eligible_t1,otc_t1,ernpdh2_t1,paidhre_t1,earnhre_t1,earnwke_t1,unionmme_t1,unioncov_t1,schenr_t1,studftpt_t1,schlvl_t1,earnwt_t1,weight_t1,chldpres_t1,ownchild_t1,i25d_t1,i25c_t1,i25a_t1,i25b_t1,qstnum_t1,occurnum_t1,ged_t1,gedhigr_t1,yrcoll_t1,grprof_t1,gr6cor_t1,ms123_t1,cmpwgt_t1,ind02_t1,occ2012_t1,occ002_t1,vet1_t1,vet2_t1,vet3_t1,vet4_t1,linedad_t1,linemom_t1,recnum_t1,year_t1,ym_file_t1,ym_t1,ch02_t1,ch35_t1,ch613_t1,ch1417_t1,ch05_t1,ihigrdc_t1,docc00_t1,dind02_t1,year_file_y,pair_type,state,illinois,pair,stayed_state_local,exited_state_local,moved_to_federal,moved_to_private,analytic_sample
139331070607116,1,1.0,1,4,2,401,4011,1,1,17,16980,0,1.0,1.0,1.0,7,1,31,2.0,2,44,1,,1,1,1,1,2,57,449,139,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,1.0,1.0,3300.0,1269.23,2.0,2.0,2.0,,,11165.4808,2730.854,1,1,0.0,1.0,0,0,8625,1,,,,,,,2758.3793,7860.0,2025.0,-1,,,,,,,11511.0,2016,672,669,1,0,0,0,1,,6.0,40.0,2016,2.0,1,8,2,401,4011,1,16980,0,1.0,1.0,1.0,7,1,32,2.0,2,44,1,,1,1,1,2,57,449,139,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,5.0,0.0,1,2.0,2.0,2.0,,1250.0,2.0,2.0,2.0,,,11569.1685,2855.2534,1,1,0.0,,0,0,22450,1,,,,,,,2847.8745,8190.0,350.0,-1,,,,,,,11224.0,2017,684,669,1,0,0,0,1,,1.0,41.0,2017,MIS4_to_MIS8,illinois,1,2016-2017,0,1,0,1,retention
310707191643637,1,2.0,1,4,2,401,4011,1,1,17,16980,0,1.0,1.0,1.0,7,3,54,1.0,2,46,2,,2,1,2,1,2,57,57,57,1,0,0,1.0,7.0,,,,,,2.0,,,,1.0,3.0,0.0,2,,,,,,,,2.0,,,16414.9599,3741.5656,0,0,,,0,0,50655,2,,,,,,,3679.4704,7860.0,230.0,-1,,,,,,,11598.0,2016,672,669,0,0,0,0,0,18.0,1.0,40.0,2016,1.0,1,8,2,401,4011,1,16980,0,1.0,1.0,1.0,7,3,55,1.0,2,39,2,,1,2,1,2,57,57,57,1,0,0,2.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,11245.7164,2895.372,0,0,,,0,0,68115,2,1.0,,,,,,2917.1011,,,-1,,,,,,,11287.0,2017,684,669,0,0,0,0,0,12.0,,,2017,MIS4_to_MIS8,illinois,1,2016-2017,0,1,0,0,retention
697366401990102,1,2.0,1,4,2,401,4011,1,1,17,16980,0,1.0,1.0,3.0,7,3,36,1.0,2,43,1,,2,1,2,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1096.0,1.0,,2.0,,,10613.0424,2631.7841,3,1,1.0,,0,42,50744,2,,,,,,,2665.1639,7860.0,2310.0,-1,,,,,,,11668.0,2016,672,669,0,0,1,0,0,,8.0,40.0,2016,2.0,1,8,2,401,4011,1,16980,0,1.0,1.0,3.0,7,3,37,1.0,2,43,1,,1,2,1,2,57,57,57,1,0,0,1.0,7.0,,,,,,,,,,1.0,3.0,0.0,2,,,,,,,,2.0,,,11138.0323,2772.1027,6,2,,,0,0,52460,2,,,,,,,2804.5925,7860.0,2310.0,-1,,,,,,,11352.0,2017,684,669,1,0,1,0,1,,8.0,40.0,2017,MIS4_to_MIS8,illinois,1,2016-2017,1,0,0,0,retention
857457301335104,1,1.0,7,4,2,401,4011,1,1,17,16980,0,1.0,1.0,1.0,7,2,61,,2,44,1,1.0,1,0,0,3,2,555,555,555,2,21,5,1.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,830.0,1.0,,,,,12486.3486,3202.1828,0,0,1.0,,43,42,50642,1,,,,,,,3131.7355,7860.0,2320.0,-1,,,,,,,11710.0,2016,672,669,0,0,0,0,0,,8.0,40.0,2016,1.0,1,8,2,401,4011,1,16980,0,1.0,1.0,1.0,7,1,73,2.0,2,39,1,1.0,1,1,1,2,57,57,57,1,0,0,1.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,14801.0023,3643.5183,0,0,,,0,0,64171,1,1.0,,,,,,3686.0464,,,-1,,,,,,,11416.0,2017,684,669,0,0,0,0,0,12.0,,,2017,MIS4_to_MIS8,illinois,1,2016-2017,0,1,0,0,retention
10710269744481,1,1.0,4,4,2,401,4011,1,1,17,41180,163,2.0,1.0,,6,1,55,,2,43,1,,1,1,1,5,2,57,57,57,1,0,0,1.0,1.0,,38.0,,43.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1017.0,1.0,,,,,11603.5896,2837.541,0,0,0.0,,0,0,4841,1,,,,,,,2856.418,7860.0,2310.0,4110,,,,,,,11760.0,2016,672,669,0,0,0,0,0,,8.0,40.0,2016,1.0,4,8,2,401,4011,1,41180,163,2.0,1.0,,6,1,56,,2,43,1,,1,1,5,2,57,57,57,1,0,0,1.0,1.0,,37.0,10.0,30.0,,,10.0,,,4.0,5.0,0.0,1,2.0,2.0,2.0,,1000.0,1.0,,,,,10728.0233,2794.1451,0,0,0.0,,0,0,5393,1,,,,,,,2777.2179,7860.0,2310.0,-1,,,,,,,11474.0,2017,684,669,0,0,0,0,0,,8.0,40.0,2017,MIS4_to_MIS8,illinois,1,2016-2017,0,1,0,1,retention
61075009710984,1,3.0,3,4,2,401,4011,1,1,17,16980,111,2.0,1.0,,7,14,40,,2,39,1,,2,0,0,7,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,2.0,0.0,1,2.0,1.0,1.0,1900.0,646.0,2.0,2.0,2.0,,,11838.9564,2934.725,3,3,1.0,1.0,0,0,33184,2,1.0,,,,,,2973.0173,8290.0,4610.0,-1,,,,,,,11846.0,2016,672,669,0,0,1,0,0,12.0,15.0,42.0,2016,2.0,3,8,2,401,4011,1,16980,111,2.0,1.0,,7,14,42,,2,39,1,,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,,1.0,1125.0,450.0,2.0,2.0,2.0,,,10898.7927,2745.0029,10,4,0.0,0.0,0,0,9098,2,1.0,,,,,,2754.3731,2370.0,8220.0,-1,,,,,,,11558.0,2017,684,669,0,0,1,1,0,12.0,21.0,20.0,2017,MIS4_to_MIS8,illinois,1,2016-2017,0,1,0,1,retention
106220715042730,1,1.0,1,4,2,401,4011,1,1,17,16980,0,2.0,1.0,,7,1,57,2.0,1,39,1,,1,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,,1.0,4100.0,1640.0,1.0,,,,,12134.0403,3170.9328,0,0,0.0,0.0,0,0,69356,1,1.0,,,,,,3155.1834,6670.0,20.0,-1,,,,,,,11888.0,2016,672,669,0,0,0,0,0,12.0,1.0,27.0,2016,1.0,1,8,2,401,4011,1,16980,0,2.0,1.0,,7,1,58,2.0,1,40,1,,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,47.0,,,,,,2.0,3.0,0.0,1,1.0,1.0,1.0,4600.0,1500.0,1.0,,,,,12946.8136,3362.4135,0,0,0.0,0.0,0,0,52394,1,,,1.0,,,,3332.1812,9370.0,2710.0,-1,,,,,,,11609.0,2017,684,669,0,0,0,0,0,12.0,9.0,51.0,2017,MIS4_to_MIS8,illinois,1,2016-2017,1,0,0,0,retention
106220715042730,1,1.0,1,4,2,401,4011,1,1,17,16980,0,2.0,1.0,,7,3,52,1.0,2,39,1,,2,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,,1.0,1200.0,480.0,1.0,,2.0,,,12023.6399,3071.0541,0,0,0.0,0.0,0,0,69356,2,1.0,,,,,,3065.9388,7860.0,5860.0,-1,,,,,,,11889.0,2016,672,669,0,0,0,0,0,12.0,17.0,40.0,2016,1.0,1,8,2,401,4011,1,16980,0,2.0,1.0,,7,3,53,1.0,2,39,1,,1,2,1,2,57,57,57,1,0,0,2.0,5.0,,,,,,,,,,1.0,3.0,0.0,2,,,,,,,,2.0,,,11828.2131,2901.1934,0,0,,,0,0,52394,2,1.0,,,,,,2978.3822,7860.0,5860.0,-1,,,,,,,11610.0,2017,684,669,0,0,0,0,0,12.0,17.0,40.0,2017,MIS4_to_MIS8,illinois,1,2016-2017,1,0,0,0,retention
179051070606697,1,3.0,1,4,2,401,4011,1,1,17,16980,0,2.0,1.0,,7,3,51,1.0,2,46,1,7.0,3,1,2,1,2,364,364,364,4,0,9,1.0,1.0,,50.0,,50.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1096.0,1.0,,2.0,,,11000.2271,2804.0814,0,0,1.0,,0,0,8631,3,,,,,,,2804.9761,7860.0,230.0,-1,,,,,,,11991.0,2016,672,669,0,0,0,0,0,18.0,1.0,40.0,2016,3.0,1,8,2,401,4011,1,16980,0,2.0,1.0,,7,3,52,1.0,2,46,1,7.0,1,2,1,2,364,364,364,4,0,9,1.0,1.0,,50.0,,50.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1442.0,1.0,,2.0,,,12288.9322,3070.0076,0,0,1.0,,0,0,8956,3,,,,,,,3018.03,7860.0,230.0,-1,,,,,,,11714.0,2017,684,669,0,0,0,0,0,18.0,1.0,40.0,2017,MIS4_to_MIS8,illinois,1,2016-2017,1,0,0,0,retention
179051070606697,1,3.0,1,4,2,401,4011,1,1,17,16980,0,2.0,1.0,,7,4,25,,2,43,1,8.0,2,1,3,7,2,57,364,327,1,0,0,2.0,1.0,,50.0,,50.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,903.0,1.0,,1.0,1.0,2.0,11241.5064,2878.6221,0,0,1.0,,0,0,8631,2,,,,,,,2777.1611,7860.0,2310.0,-1,,,,,3.0,1.0,11992.0,2016,672,669,0,0,0,0,0,,8.0,40.0,2016,3.0,1,8,2,401,4011,1,16980,0,2.0,1.0,,7,4,25,,2,44,1,8.0,1,3,7,2,57,364,327,1,0,0,2.0,1.0,,50.0,,50.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,812.0,1.0,,2.0,,,11592.6377,2889.566,0,0,1.0,,0,0,8956,2,,,,,,,2853.6517,7860.0,2310.0,-1,,,,,3.0,1.0,11715.0,2017,684,669,0,0,0,0,0,,8.0,40.0,2017,MIS4_to_MIS8,illinois,1,2016-2017,1,0,0,0,retention
403167437710472,1,2.0,1,4,2,401,4011,1,1,17,16980,0,2.0,1.0,,7,1,59,2.0,2,44,1,,1,1,1,1,2,57,57,57,1,0,0,2.0,1.0,,50.0,,50.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,961.0,1.0,,,,,11603.5896,2837.541,4,1,1.0,,0,0,43083,1,,,,,,,2856.418,7860.0,2310.0,-1,,,,,,,12078.0,2016,672,669,0,0,0,1,0,,8.0,40.0,2016,1.0,1,8,2,401,4011,1,16980,0,2.0,1.0,,7,1,59,2.0,2,44,1,,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,45.0,,,,,,2.0,3.0,0.0,1,1.0,2.0,2.0,,2115.38,1.0,,,,,10728.0233,2794.1451,0,0,0.0,,0,0,52314,1,,,,,,,2777.2179,7860.0,2310.0,-1,,,,,,,11779.0,2017,684,669,0,0,0,0,0,,8.0,40.0,2017,MIS4_to_MIS8,illinois,1,2016-2017,1,0,0,0,retention
467107501880106,1,1.0,4,4,2,401,4011,1,1,17,16980,0,2.0,1.0,,7,7,26,,2,43,1,1.0,3,1,4,7,2,57,303,303,1,0,0,2.0,1.0,,20.0,,20.0,,,20.0,,,7.0,2.0,0.0,1,2.0,2.0,2.0,,300.0,2.0,2.0,1.0,1.0,2.0,11241.5064,2878.6221,0,0,0.0,,0,0,8800,3,,,,,,,2777.1611,7870.0,5860.0,-1,,,,,,,12087.0,2016,672,669,0,0,0,0,0,,17.0,40.0,2016,1.0,4,8,2,401,4011,1,16980,0,2.0,1.0,,7,7,26,,2,44,1,1.0,1,4,7,2,57,303,303,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,,1.0,2900.0,1160.0,2.0,2.0,2.0,,,11592.6377,2889.566,0,0,0.0,0.0,0,0,22754,3,,,,,,,2853.6517,8190.0,3255.0,-1,,,,,,,11790.0,2017,684,669,0,0,0,0,0,,10.0,41.0,2017,MIS4_to_MIS8,illinois,1,2016-2017,0,1,0,1,retention
471727140704363,1,1.0,7,4,2,401,4011,1,1,17,16980,0,2.0,1.0,,7,2,62,,2,39,1,,1,0,0,6,2,57,57,57,1,0,0,1.0,1.0,,35.0,5.0,21.0,,,5.0,,,4.0,3.0,0.0,1,2.0,2.0,2.0,,511.0,2.0,2.0,,,,10769.0279,2767.2583,0,0,1.0,,0,42,8629,1,1.0,,,,,,2701.0096,9370.0,5220.0,-1,,,,,,,12091.0,2016,672,669,0,0,0,0,0,12.0,17.0,51.0,2016,1.0,7,8,2,401,4011,1,16980,0,2.0,1.0,,7,2,63,,2,39,1,,0,0,6,2,57,57,57,1,0,0,1.0,1.0,,35.0,,35.0,,,,,,2.0,3.0,0.0,1,2.0,,1.0,1735.0,607.25,2.0,2.0,,,,10289.2123,2684.0044,0,0,1.0,1.0,0,42,35174,1,1.0,,,,,,2609.0555,9370.0,5860.0,-1,,,,,,,11803.0,2017,684,669,0,0,0,0,0,12.0,17.0,51.0,2017,MIS4_to_MIS8,illinois,1,2016-2017,1,0,0,0,retention
571057089107531,1,1.0,1,4,2,401,4011,1,1,17,16980,0,2.0,1.0,,7,1,42,2.0,2,44,1,,1,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,50.0,,48.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,2115.38,1.0,,2.0,,,11838.9564,2934.725,3,3,0.0,,0,0,33052,1,,,,,,,2973.0173,7860.0,2320.0,-1,,,,,,,12119.0,2016,672,669,0,0,1,0,0,,8.0,40.0,2016,1.0,1,8,2,401,4011,1,16980,0,2.0,1.0,,7,1,43,2.0,2,44,1,,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,50.0,,50.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,2307.69,1.0,,2.0,,,10898.7927,2745.0029,3,3,0.0,,0,0,52303,1,,,,,,,2754.3731,7860.0,2320.0,-1,,,,,,,11821.0,2017,684,669,0,0,1,0,0,,8.0,40.0,2017,MIS4_to_MIS8,illinois,1,2016-2017,1,0,0,0,retention
571057089107531,1,1.0,1,4,2,401,4011,1,1,17,16980,0,2.0,1.0,,7,3,44,1.0,1,44,1,,2,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,50.0,,45.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,2307.69,1.0,,2.0,,,10372.8534,2557.2327,3,3,0.0,,0,0,33052,2,,,,,,,2573.9691,7860.0,2320.0,-1,,,,,,,12120.0,2016,672,669,0,0,1,0,0,,8.0,40.0,2016,1.0,1,8,2,401,4011,1,16980,0,2.0,1.0,,7,3,45,1.0,1,44,1,,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,50.0,,44.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,2653.84,1.0,,2.0,,,12651.0134,3145.8831,3,3,0.0,,0,0,52303,2,,,,,,,3131.8894,7860.0,2320.0,-1,,,,,,,11822.0,2017,684,669,0,0,1,0,0,,8.0,40.0,2017,MIS4_to_MIS8,illinois,1,2016-2017,1,0,0,0,retention
