pair,pair_code,term_group,term,coef_pct_points,std_err_pct_points,p_value,ci_low_pct_points,ci_high_pct_points,nobs,r_squared,weight_var
2008-2009,0809,age,I(age_t ** 2),-0.0011717671767988921,0.001294091006705094,0.36521374826958297,-0.003708138942658058,0.0013646045890602738,3655,0.19920686927915954,earnwt_t
2008-2009,0809,age,age_t,0.08541059075581975,0.11865604090367872,0.4716379082051859,-0.14715097596350205,0.3179721574751415,3655,0.19920686927915954,earnwt_t
2008-2009,0809,earnings,np.log(earnwke_t),-0.6945419004905827,0.5314254654540097,0.19123264063139778,-1.7361166732478763,0.34703287226671103,3655,0.19920686927915954,earnwt_t
2008-2009,0809,education,C(grade92_t)[T.32],-8.182897140498591,4.149549005455843,0.04860997786528832,-16.315863743276044,-0.04993053772113787,3655,0.19920686927915954,earnwt_t
2008-2009,0809,education,C(grade92_t)[T.33],-7.748543472979619,3.6158926294119675,0.032120081560134205,-14.835562798590912,-0.6615241473683267,3655,0.19920686927915954,earnwt_t
2008-2009,0809,education,C(grade92_t)[T.34],-6.442267006495293,3.334523680217543,0.05336071789585843,-12.977813325317634,0.09327931232704784,3655,0.19920686927915954,earnwt_t
2008-2009,0809,education,C(grade92_t)[T.35],-7.777337154638821,3.3981889540080945,0.02209846420339518,-14.437665117156524,-1.117009192121117,3655,0.19920686927915954,earnwt_t
2008-2009,0809,education,C(grade92_t)[T.36],-5.649329179825662,3.695432329882524,0.12633065947397143,-12.892243453700347,1.5935850940490257,3655,0.19920686927915954,earnwt_t
2008-2009,0809,education,C(grade92_t)[T.37],-5.973733360519445,3.680192395269418,0.10454404109198251,-13.186777911425699,1.2393111903868097,3655,0.19920686927915954,earnwt_t
2008-2009,0809,education,C(grade92_t)[T.38],-8.312948777301424,3.3926498356603765,0.014274437619905751,-14.962420267351495,-1.6634772872513526,3655,0.19920686927915954,earnwt_t
2008-2009,0809,education,C(grade92_t)[T.39],-7.242339045418382,3.347311686520514,0.030492870540245062,-13.80294939602862,-0.6817286948081467,3655,0.19920686927915954,earnwt_t
2008-2009,0809,education,C(grade92_t)[T.40],-6.414483932404908,3.34665577748374,0.05527799988053998,-12.973808724925934,0.14484086011611746,3655,0.19920686927915954,earnwt_t
2008-2009,0809,education,C(grade92_t)[T.41],-8.084156102214985,3.4007290071515275,0.01744541796252744,-14.749462477412633,-1.4188497270173364,3655,0.19920686927915954,earnwt_t
2008-2009,0809,education,C(grade92_t)[T.42],-7.968503496609191,3.4109432534759203,0.019482991144194942,-14.653829426731873,-1.283177566486511,3655,0.19920686927915954,earnwt_t
2008-2009,0809,education,C(grade92_t)[T.43],-5.079533145699007,3.365886070114702,0.13126757591294524,-11.676548619188882,1.5174823277908687,3655,0.19920686927915954,earnwt_t
2008-2009,0809,education,C(grade92_t)[T.44],-7.948370619456428,3.62960712374016,0.028533608939386484,-15.062269860017159,-0.8344713788957001,3655,0.19920686927915954,earnwt_t
2008-2009,0809,education,C(grade92_t)[T.45],-7.332435106199737,3.5765725399723993,0.04035184355130522,-14.342388472640582,-0.3224817397588911,3655,0.19920686927915954,earnwt_t
2008-2009,0809,education,C(grade92_t)[T.46],-6.684824437501178,5.3829162480371835,0.21428849032577935,-17.235146415449535,3.865497540447177,3655,0.19920686927915954,earnwt_t
