pair,pair_code,spec,dv,term,coef,std_err,p_value,ci_low,ci_high,nobs,r_squared,controls,file
2008-2009,0809,baseline,stayed_state_local,illinois,0.032624073500016136,0.03572489928607794,0.3611359586913929,-0.037395442452017306,0.10264358945204957,930,0.1252394610247488,"age_t, I(age_t**2), C(sex_t), C(race_t), C(grade92_t), np.log(earnwke_t), C(docc00_t), C(ind02_t), C(unionmme_t)",analytic_sample_0809_retention.csv
2008-2009,0809,race_ethnicity,stayed_state_local,illinois,-0.2737053576220543,inf,1.0,-inf,inf,31,1.0,"age_t, I(age_t**2), C(sex_t), C(race_t), C(grade92_t), np.log(earnwke_t), C(docc00_t), C(ind02_t), C(unionmme_t), C(ethnic_t)",analytic_sample_0809_retention.csv
2009-2010,0910,baseline,stayed_state_local,illinois,0.051873564969078426,0.035095082728521985,0.13938465012410833,-0.01691153321327836,0.12065866315143521,934,0.0969488716481759,"age_t, I(age_t**2), C(sex_t), C(race_t), C(grade92_t), np.log(earnwke_t), C(docc00_t), C(ind02_t), C(unionmme_t)",analytic_sample_0910_retention.csv
2009-2010,0910,race_ethnicity,stayed_state_local,illinois,0.12898033705660739,0.49484235908813445,0.7943629323369753,-0.8408928647809728,1.0988535388941876,59,0.7091472416234099,"age_t, I(age_t**2), C(sex_t), C(race_t), C(grade92_t), np.log(earnwke_t), C(docc00_t), C(ind02_t), C(unionmme_t), C(ethnic_t)",analytic_sample_0910_retention.csv
2010-2011,1011,baseline,stayed_state_local,illinois,-0.002375849683025518,0.03734446954943974,0.9492729229313118,-0.07556966502168015,0.0708179656556291,866,0.11467777938783774,"age_t, I(age_t**2), C(sex_t), C(race_t), C(grade92_t), np.log(earnwke_t), C(docc00_t), C(ind02_t), C(unionmme_t)",analytic_sample_1011_retention.csv
2010-2011,1011,race_ethnicity,stayed_state_local,illinois,-1.8306794931857815,inf,1.0,-inf,inf,29,1.0,"age_t, I(age_t**2), C(sex_t), C(race_t), C(grade92_t), np.log(earnwke_t), C(docc00_t), C(ind02_t), C(unionmme_t), C(ethnic_t)",analytic_sample_1011_retention.csv
2011-2012,1112,baseline,stayed_state_local,illinois,0.0007012275881476855,0.038287837038043795,0.9853878559700626,-0.0743415540523569,0.07574400922865226,803,0.1145985791864812,"age_t, I(age_t**2), C(sex_t), C(race_t), C(grade92_t), np.log(earnwke_t), C(docc00_t), C(ind02_t), C(unionmme_t)",analytic_sample_1112_retention.csv
2011-2012,1112,race_ethnicity,stayed_state_local,illinois,0.4963753775301445,inf,1.0,-inf,inf,31,1.0,"age_t, I(age_t**2), C(sex_t), C(race_t), C(grade92_t), np.log(earnwke_t), C(docc00_t), C(ind02_t), C(unionmme_t), C(ethnic_t)",analytic_sample_1112_retention.csv
2012-2013,1213,baseline,stayed_state_local,illinois,0.04180252247098262,0.03854847923000657,0.2781811421170304,-0.033751108478620576,0.11735615342058582,754,0.12303739631049171,"age_t, I(age_t**2), C(sex_t), C(race_t), C(grade92_t), np.log(earnwke_t), C(docc00_t), C(ind02_t), C(unionmme_t)",analytic_sample_1213_retention.csv
2012-2013,1213,race_ethnicity,stayed_state_local,illinois,0.3059407350734187,0.31953171078775516,0.3383321215499143,-0.3203299099890501,0.9322113801358874,34,0.9469574827126717,"age_t, I(age_t**2), C(sex_t), C(race_t), C(grade92_t), np.log(earnwke_t), C(docc00_t), C(ind02_t), C(unionmme_t), C(ethnic_t)",analytic_sample_1213_retention.csv
2013-2014,1314,baseline,stayed_state_local,illinois,0.07969649474969664,0.039267942367993636,0.042401673870938336,0.002732741961434637,0.15666024753795865,660,0.232540282864116,"age_t, I(age_t**2), C(sex_t), C(race_t), C(grade92_t), np.log(earnwke_t), C(docc00_t), C(ind02_t), C(unionmme_t)",analytic_sample_1314_retention.csv
2013-2014,1314,race_ethnicity,stayed_state_local,illinois,0.914373032428261,inf,1.0,-inf,inf,31,1.0,"age_t, I(age_t**2), C(sex_t), C(race_t), C(grade92_t), np.log(earnwke_t), C(docc00_t), C(ind02_t), C(unionmme_t), C(ethnic_t)",analytic_sample_1314_retention.csv
2014-2015,1415,baseline,stayed_state_local,illinois,-0.015350164166907342,0.03659435835728647,0.6748740995347873,-0.08707378858454115,0.056373460250726475,500,0.274319004034001,"age_t, I(age_t**2), C(sex_t), C(race_t), C(grade92_t), np.log(earnwke_t), C(docc00_t), C(ind02_t), C(unionmme_t)",analytic_sample_1415_retention.csv
2014-2015,1415,race_ethnicity,stayed_state_local,illinois,0.23774746782898162,inf,1.0,-inf,inf,21,1.0,"age_t, I(age_t**2), C(sex_t), C(race_t), C(grade92_t), np.log(earnwke_t), C(docc00_t), C(ind02_t), C(unionmme_t), C(ethnic_t)",analytic_sample_1415_retention.csv
2015-2016,1516,baseline,stayed_state_local,illinois,-0.060051884695331535,0.038695165353157306,0.12068084925791744,-0.13589301516334198,0.015789245772678907,568,0.27284464765107674,"age_t, I(age_t**2), C(sex_t), C(race_t), C(grade92_t), np.log(earnwke_t), C(docc00_t), C(ind02_t), C(unionmme_t)",analytic_sample_1516_retention.csv
2015-2016,1516,race_ethnicity,stayed_state_local,illinois,-0.14068139362913645,inf,1.0,-inf,inf,19,1.0,"age_t, I(age_t**2), C(sex_t), C(race_t), C(grade92_t), np.log(earnwke_t), C(docc00_t), C(ind02_t), C(unionmme_t), C(ethnic_t)",analytic_sample_1516_retention.csv
2016-2017,1617,baseline,stayed_state_local,illinois,-0.03213801330763777,0.04092597264106183,0.4322942102701667,-0.11235144571639055,0.04807541910111501,529,0.22735312398006513,"age_t, I(age_t**2), C(sex_t), C(race_t), C(grade92_t), np.log(earnwke_t), C(docc00_t), C(ind02_t), C(unionmme_t)",analytic_sample_1617_retention.csv
2016-2017,1617,race_ethnicity,stayed_state_local,illinois,-1.9627221873379543,inf,1.0,-inf,inf,28,1.0,"age_t, I(age_t**2), C(sex_t), C(race_t), C(grade92_t), np.log(earnwke_t), C(docc00_t), C(ind02_t), C(unionmme_t), C(ethnic_t)",analytic_sample_1617_retention.csv
