pair,pair_code,term_group,term,coef_pct_points,std_err_pct_points,p_value,ci_low_pct_points,ci_high_pct_points,nobs,r_squared,weight_var
2008-2009,0809,age,I(age_t ** 2),-0.0056683823659870285,0.009361749619233082,0.5448579663665927,-0.024017074451965437,0.01268030971999138,693,0.22212089943418367,earnwt_t
2008-2009,0809,age,age_t,0.5498797499625343,0.8819539745226858,0.5329698219416503,-1.1787182761238861,2.2784777760489545,693,0.22212089943418367,earnwt_t
2008-2009,0809,earnings,np.log(earnwke_t),6.416112214090461,2.315156030424685,0.005582404927312253,1.8784897758673604,10.95373465231356,693,0.22212089943418367,earnwt_t
2008-2009,0809,education,C(grade92_t)[T.33],-6.866671580429218,28.58319415212846,0.810148409189069,-62.88870268171689,49.155359520858454,693,0.22212089943418367,earnwt_t
2008-2009,0809,education,C(grade92_t)[T.35],-36.86902418380386,36.938781868199975,0.3182252784422498,-109.26770627825697,35.52965791064926,693,0.22212089943418367,earnwt_t
2008-2009,0809,education,C(grade92_t)[T.36],-29.649520460269024,39.30910518588104,0.45068953019181157,-106.69395088909252,47.39490996855447,693,0.22212089943418367,earnwt_t
2008-2009,0809,education,C(grade92_t)[T.37],-27.750049520297193,32.7516913848514,0.3968357292636987,-91.9421850673767,36.44208602678232,693,0.22212089943418367,earnwt_t
2008-2009,0809,education,C(grade92_t)[T.38],35.103907282706444,35.33666725789184,0.32050869231579493,-34.15468787643731,104.3625024418502,693,0.22212089943418367,earnwt_t
2008-2009,0809,education,C(grade92_t)[T.39],-17.33104911703396,26.984009726976566,0.520697187219579,-70.21873634038653,35.55663810631861,693,0.22212089943418367,earnwt_t
2008-2009,0809,education,C(grade92_t)[T.40],-20.52395071624439,27.519164316450883,0.4557847718392416,-74.46052166112793,33.412620228639156,693,0.22212089943418367,earnwt_t
2008-2009,0809,education,C(grade92_t)[T.41],-25.80236691274153,28.91955598317577,0.3722794590843833,-82.48365508865587,30.878921263172813,693,0.22212089943418367,earnwt_t
2008-2009,0809,education,C(grade92_t)[T.42],-6.243933823122005,28.08047062752984,0.8240347461628671,-61.28064492201535,48.792777275771336,693,0.22212089943418367,earnwt_t
2008-2009,0809,education,C(grade92_t)[T.43],-19.011827934903312,27.32572081349981,0.4865863769392902,-72.56925658095949,34.54560071115286,693,0.22212089943418367,earnwt_t
2008-2009,0809,education,C(grade92_t)[T.44],-18.28678448613269,27.497610901254692,0.5060301814531847,-72.18111151348786,35.60754254122248,693,0.22212089943418367,earnwt_t
2008-2009,0809,education,C(grade92_t)[T.45],-4.493362826890468,28.40847254950507,0.8743229890282238,-60.17294587971518,51.18622022593424,693,0.22212089943418367,earnwt_t
2008-2009,0809,education,C(grade92_t)[T.46],-5.260281684107437,30.51637817387117,0.8631421842170428,-65.07128384349912,54.550720475284244,693,0.22212089943418367,earnwt_t
2008-2009,0809,ethnicity_hispanic,C(ethnic_t)[T.2.0],-0.6362054311063431,20.17033994944057,0.9748375914655106,-40.169345287939315,38.896934425726634,693,0.22212089943418367,earnwt_t
2008-2009,0809,ethnicity_hispanic,C(ethnic_t)[T.3.0],16.623642512886416,16.333145433330106,0.308779790226166,-15.38873429069545,48.63601931646828,693,0.22212089943418367,earnwt_t
2008-2009,0809,ethnicity_hispanic,C(ethnic_t)[T.4.0],-11.217666536088187,29.262104498328885,0.701459288528253,-68.5703374646603,46.13500439248392,693,0.22212089943418367,earnwt_t
2008-2009,0809,ethnicity_hispanic,C(ethnic_t)[T.5.0],22.52816227356549,16.8706135353584,0.181762044369136,-10.537632652830936,55.59395719996192,693,0.22212089943418367,earnwt_t
2008-2009,0809,ethnicity_hispanic,C(ethnic_t)[T.MISSING],6.100478627390701,12.965335995557437,0.6379819656072299,-19.31111297136264,31.51207022614404,693,0.22212089943418367,earnwt_t
2008-2009,0809,industry,C(ind02_t)[T.3580.0],-8.2793100326924,20.350214072224436,0.6841244615480715,-48.16499669193248,31.606376626547682,693,0.22212089943418367,earnwt_t
2008-2009,0809,industry,C(ind02_t)[T.3870.0],-53.45438712591171,33.208001206793824,0.10746686681912318,-118.54087348979026,11.632099237966841,693,0.22212089943418367,earnwt_t
2008-2009,0809,industry,C(ind02_t)[T.4870.0],92.64794067643099,18.015029235947903,2.7065386207735315e-07,57.339132193536976,127.95674915932503,693,0.22212089943418367,earnwt_t
2008-2009,0809,industry,C(ind02_t)[T.5370.0],111.53993795344084,17.49772055196388,1.8351165877829021e-10,77.24503586004532,145.83484004683635,693,0.22212089943418367,earnwt_t
